date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回
2013-05-03,1,2013,,3586.0,7791,46441,13855,140198,132407,0.62,0.61,,88783,130246,2013年01月01日至2013年03月31日,220310,360508,220310,360508,254133,51374,1985222,2605640,620418,620418,366285,86010,,,0.62,0.61,150029,216724,305507,,,,8922,,,14805.0,2645208.0,2605640.0,24763.0
2013-08-14,2,2013,,2923.0,-730,16789,9472,31476,32206,0.41,0.4,,65847,133404,2013年04月01日至2013年06月30日,143996,175472,143996,175472,188957,17963,1955784,2534171,578387,578387,389430,94761,,,0.41,0.4,161265,141073,206920,,,,8298,,,18700.0,2593571.0,2534171.0,40700.0
2013-11-11,3,2013,,-364.0,95,-24996,11392,-72658,-72753,0.52,0.52,,29922,157207,2013年07月01日至2013年09月30日,188508,115850,188508,115850,241180,-22386,2000505,2660016,659511,659511,418331,100702,,,0.52,0.52,160422,188872,218794,,,,8782,,,22921.0,2713832.0,2660016.0,30895.0
2014-03-06,4,2013,,6145.0,-3994,54155,51643,143685,133968,2.19,2.18,,234975,556005,2013年01月01日至2013年12月31日,798829,942514,798829,942514,957953,69706,7971787,10488145,2516358,2516358,1558405,387008,,16520.0,2.18,2.17,615392,792684,1027659,,2809.0,,36092,,,86313.0,10707174.0,10488145.0,132716.0
2014-05-09,1,2014,,0.0,-2647,28065,9277,106791,109438,0.73,0.73,,41152,138078,2014年01月01日至2014年03月31日,264750,371541,264750,371541,278560,27342,2117296,2825940,708644,708644,430084,102982,,,0.72,0.72,189024,264750,305902,,,,10000,2117296.0,2117296.0,32574.0,2886552.0,2825940.0,28038.0
2014-08-08,2,2014,,0.0,-8693,-35815,11300,-123174,-114481,0.63,0.63,,59466,134801,2014年第2季,235023,111849,235023,111849,329076,-34587,1987215,2701978,714763,714763,385687,95710,,,0.63,0.63,155176,235023,294489,,,,10072,,,32918.0,2772528.0,2701978.0,37632.0
2014-11-11,3,2014,,0.0,-6369,17389,14973,105864,112233,0.59,0.59,,44102,155435,2014年第3季,222983,328847,222983,328847,244713,22372,2168372,2810367,641995,641995,397282,92288,,,0.59,0.59,149559,222983,267085,,,,9990,,,26431.0,2883831.0,2810367.0,47033.0
2015-03-10,4,2014,,0.0,-9577,55288,29944,366999,353331,2.59,2.59,,208139,575740,2014年度,969759,1336758,969759,1336758,1133737,44161,8440781,11191138,2750357,2750357,1616620,391401,,28001.0,2.57,2.57,649479,969759,1177898,,4756.0,,41071,,,111194.0,11454800.0,11191138.0,152468.0
2015-05-12,1,2015,,,-3168,-27240,6189,-76603,-73435,0.76,0.76,-76603.0,64319,156677,2015年01月01日至2015年03月31日,284407,207804,284407,207804,380417,-31691,2163111,2971584,808473,808473,428056,95127,,,0.76,0.76,176252,284407,348726,,,,10640,,,24640.0,3025593.0,2971584.0,29369.0
2015-08-07,2,2015,,,1611,-12128,8723,-91721,-93332,0.57,0.57,-91721.0,73025,162657,2015年第2季,219858,128137,219858,128137,306368,-13485,1845273,2553914,708641,708641,402273,87202,,,0.57,0.57,152414,219858,292883,,,,10080,,,18178.0,2603648.0,2553914.0,31556.0
2015-11-11,3,2015,,,2328,69669,7076,350643,389935,0.87,0.87,350643.0,73433,171031,2015年第3季,334903,685546,334903,685546,341420,66916,2173554,2951981,778427,778427,437007,102231,,,0.87,0.87,163745,334903,408336,,,41620.0,9829,,,15998.0,3002987.0,2951981.0,35008.0
2016-03-10,4,2015,6698.0,,-5782,41530,28382,157791,197640,2.85,2.85,151093.0,271290,661649,2015年度,1101578,1259369,1101578,1259369,1342789,30079,8232909,11276599,3043690,3043690,1700901,389091,7830.0,,2.84,2.84,650161,1101578,1372868,1132.0,,40765.0,39833,,,,,,
2016-05-11,1,2016,,,-6127,-7919,8424,-132641,-102445,0.99,0.99,-132641.0,79069,152430,2016年01月01日至2016年03月31日,383314,250673,383314,250673,470037,-7654,2168969,3071065,902096,902096,432059,96958,,,0.99,0.99,182671,383314,462383,,,24069.0,8159,,,,,,
2016-08-09,2,2016,,,-4283,-2658,6679,-7591,-1149,0.64,0.64,-7591.0,76586,158287,2016年第2季,254054,246463,254054,246463,334489,-3849,1760563,2513797,753234,753234,418745,104898,,,0.64,0.64,155560,254054,330640,,,2159.0,7870,,,,,,
2016-11-08,3,2016,,,-1614,-39406,8637,-185567,-250946,0.76,0.76,-185567.0,70222,159145,2016年第3季,302481,116914,302481,116914,411143,-38440,1893974,2700048,806074,806074,394931,85301,,,0.76,0.76,150485,302481,372703,,,-66993.0,7671,,,,,,
