date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,62253,-55614,450558,184982,126329,1.94,1.94,,534226,,,9446,,10663923,2013年01月01日至2013年03月31日,2268424,2453406,2021859,2206841,2428819,373831,33467063,48374210,14907147,14907147,12478328,,,1.94,1.94,1814405,2268424,2802650,,3600.0,,30559,246565,246565
2013-08-08,2,2013,,-26598,143114,529849,-25125,0,2.22,2.22,,673743,,,11789,,10302571,2013年04月01日至2013年06月30日,2600649,2575524,2302861,2277736,2615280,659112,33950070,49548404,15598334,15598334,12983054,,,2.22,2.22,2680483,2600649,3274392,,-1473.0,,25640,297788,297788
2013-11-08,3,2013,,-25693,-58066,410966,-103474,-76399,2.16,2.16,,626792,,,57673,,11276756,2013年07月01日至2013年09月30日,2559367,2455893,2241968,2138494,2810682,375477,35442955,52372791,16929836,16929836,14119154,,,2.16,2.16,2842398,2559367,3186159,,1382.0,,35096,317399,317399
2014-03-20,4,2013,,40777,-586079,1712551,-72378,155668,7.73,7.73,,2050503,,,89512,,45111247,2013年01月01日至2013年12月31日,9242293,9169915,8036752,7965390,10196565,1096231,137188780,200610839,63422059,63422059,53225494,,-319772.0,7.72,7.72,8114247,9242293,11292796,,-50949.0,,119753,1205541,1204525
2014-05-08,1,2014,,-15457,1013077,326509,-1739,26818,2.86,2.86,,508396,,,65126,,10896579,2014年01月01日至2014年03月31日,3208147,3206408,2969808,2968069,2340779,1375764,34054819,49787544,15732725,15732725,13391946,,-12097.0,2.85,2.85,2495367,3208147,3716543,,1003.0,,28948,238339,238339
2014-08-05,2,2014,,-757,-58122,378987,-66094,-70790,2.11,2.11,,644293,,561.0,25918,,11387861,2014年第2季,2490977,2424883,2195076,2128982,2813278,321992,34861759,51652948,16791189,16791189,13977911,,4481.0,2.11,2.11,2590050,2490977,3135270,,-411.0,,24791,295901,295901
2014-11-06,3,2014,,-30782,-78677,406313,41452,71486,2.39,2.39,,640357,,-3294.0,61124,,12400872,2014年第3季,2797242,2838694,2481301,2522753,3072174,365425,36890516,54609078,17718562,17718562,14646388,,0.0,2.39,2.39,2245516,2797242,3437599,,-4042.0,,23335,315941,315941
2015-03-18,4,2014,,-66394,444925,1520972,-55742,189485,8.74,8.74,,2367021,,14639.0,149227,,46404462,2014年度,10242755,10187013,9086015,9030537,10597280,2012496,141050853,207989021,66938168,66938168,56340888,,-237724.0,8.72,8.72,9936426,10242755,12609776,,-44252.0,,102628,1156740,1156476
2015-05-05,1,2015,77.0,8917,-55030,392012,-62446,-67756,2.03,2.03,-62523.0,488744,,,279014,,11033043,2015年第1季,2367042,2304596,2109156,2046710,2263668,592118,33004716,48248674,15243958,15243958,12980290,77.0,,2.02,2.02,1947247,2367042,2855786,,,3684.0,23878,257886,257886
2015-08-04,2,2015,-780.0,-23316,-23959,311155,-129035,-88522,2.09,2.09,-128255.0,650591,77.0,,343720,-16815.0,12054368,2015年第2季,2470828,2341793,2171000,2041965,2516045,605374,34747867,51391231,16643364,16643364,14127319,-857.0,,2.08,2.08,2072951,2470828,3121419,,,-398.0,25542,299828,299828
