date,season,year,不重分類至損益之項目總額,停業單位損益合計,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,17455,276,276,-1036.0,6282,7318,-0.11,,,0.0,,26,,9298,2013年01月01日至2013年03月31日,-22278,-15996,-17390,-12333,-33076,10798,197780,203275,5495,5495,38571,3443,,,,,25830,-22278,-22278,,,6959,197780,203275,-4888,-3663
2013-08-09,2,2013,,,7852,263,263,-752.0,4561,5313,0.0,,,0.0,,0,,13718,2013年04月01日至2013年06月30日,491,5052,185,3856,260,231,210678,252635,41957,41957,41697,1847,,,,,26132,491,491,,,7884,210678,252635,306,1196
2013-11-08,3,2013,,,-3059,866,866,307.0,-1832,-2139,-0.27,-0.27,,0.0,,11,,13313,2013年07月01日至2013年09月30日,-43990,-45822,-43380,-44854,-33512,-10478,147358,172688,25330,25330,58842,658,,,,,44871,-43990,-43990,,,8296,147358,172688,-610,-968
2014-03-26,4,2013,,,29517,917,917,-2226.0,13416,14861,-0.3,-0.3,,0.0,61.0,-376,,46549,2013年01月01日至2013年12月31日,-49088,-35672,-47741,-36813,-49425,337,655680,766219,110539,110539,159964,6763,,720.0,-0.3,-0.3,106652,-49088,-49088,,,29721,655680,766219,-1347,1141
2014-05-08,1,2014,,,12434,460,460,-491.0,2977,3468,-0.11,-0.11,,0.0,,-218,,15100,2014年01月01日至2014年03月31日,-21701,-18724,-17445,-15048,-28438,6737,191140,207446,16306,16306,44744,656,,,-0.11,-0.11,28988,-21701,-21701,,,5939,191140,207446,-4256,-3676
2014-08-08,2,2014,,0.0,-8061,572,572,744.0,-4515,-5259,0.04,0.04,,0.0,,-108,,11048,2014年第2季,-3301,-7816,-6493,-10127,15455,-18756,117869,176702,58833,58833,43378,657,,,,,31673,-3301,-3301,,,11159,117869,176702,3192,2311
2014-11-05,3,2014,,,14885,478,478,-660.0,3882,4664,-0.08,-0.08,,,-122.0,11,,8738,2014年第3季,-16003,-12121,-13314,-10214,-24772,8769,111002,113664,2662,2662,27434,433,,,,,18263,-16003,-16003,,,6605,111002,113664,-2689,-1907
2015-03-26,4,2014,,,41350,2032,2032,-1222.0,7903,12905,-0.36,-0.36,,0.0,-220.0,-525,,42629,2014年度,-66417,-58514,-57708,-51965,-80368,13951,542286,588336,46050,46050,126418,4302,,-3560.0,-0.36,-0.36,79487,-66417,-66417,,,28906,542286,588336,-8709,-6549
2015-05-05,1,2015,,,-4519,686,686,,-2645,-3245,-0.5,-0.5,-2645.0,0.0,,-229,140.0,9797,2015年01月01日至2015年03月31日,-10604,-13249,-8033,-10135,-261,-10343,148051,172361,24310,24310,24571,1063,,,-0.5,-0.5,13711,-10604,-10604,,-460.0,6281,148051,172361,-2571,-3114
2015-08-07,2,2015,,,-3439,698,698,,-1800,-2119,-0.09,-0.09,-1800.0,0.0,,-352,19.0,8221,2015年第2季,-15422,-17222,-15110,-16555,-5718,-9704,159206,187315,28109,28109,33827,1774,,,-0.09,-0.09,23832,-15422,-15422,,-300.0,6611,159206,187315,-312,-667
2015-11-10,3,2015,,,20229,549,549,,3830,4462,-0.08,-0.08,3830.0,0.0,,-327,0.0,6958,2015年第3季,-16674,-12844,-12936,-9853,-31335,14661,93234,92819,-415,-415,30920,1152,,,-0.08,-0.08,22810,-16674,-16674,,632.0,5790,93234,92819,-3738,-2991
2016-03-23,4,2015,-72.0,,2909,2575,2575,,-4083,-4858,-0.33,-0.33,-4011.0,0.0,,-453,159.0,30527,2015年度,-60109,-64192,-52503,-55772,-39168,-20941,505889,582285,76396,76396,115564,5333,-87.0,,-0.33,-0.33,79704,-60109,-60109,-15.0,-688.0,25972,505889,582285,-7606,-8420
2016-05-06,1,2016,,,-4231,653,653,,-2255,-2627,-0.01,-0.01,-2255.0,0.0,,-240,0.0,5862,2016年01月01日至2016年03月31日,-1256,-3511,-1236,-3051,8941,-10197,112654,151961,39307,39307,30366,1191,,,-0.01,-0.01,23313,-1256,-1256,,-372.0,6379,112654,151961,-20,-460
2016-08-05,2,2016,,,-7193,683,683,,-3696,-4305,-0.05,-0.05,-3696.0,0.0,,-394,0.0,7959,2016年第2季,9585,5889,8281,5306,23685,-14100,121790,179388,57598,57598,33913,1620,,,-0.05,-0.05,24334,9585,9585,,-609.0,7196,121790,179388,1304,583
2016-11-04,3,2016,,,-20528,707,707,,-6304,-7409,-0.19,-0.19,-6304.0,0.0,,-441,0.0,7024,2016年第3季,-32714,-39018,-30901,-36299,-7018,-25696,80655,106518,25863,25863,32881,1591,,,-0.19,-0.19,24266,-32714,-32714,,-1105.0,5434,80655,106518,-1813,-2719
