date,season,year,不重分類至損益之項目總額,什項支出,停業單位淨利（淨損）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他營業收入淨額,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產重分類淨損益,銀行存款利息,銷貨成本合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,1160,,9120,6799,6219,,30967,9293,580,3875,11176,1.06,,1143,,,,40665,16,17433,17433,,116738,2013年01月01日至2013年03月31日,,172421,181714,149431,158724,183609,29477,3533970,4129621,595651,595651,412042,,,215505,,,1.05,,79799,172421,213086,,1899,,,3875,9137,0,0,,,4098654,0,22990,22990
2013-08-08,2,2013,,4617.0,,49908,30477,15436,,16161,6015,2636,5970,7013,1.56,,76229,0.0,12405.0,,84530,3.0,30325.0,30325,,150018,2013年04月01日至2013年06月30日,,239179,245194,219211,224716,218969,104740,4236412,4936492,700080,700080,481111,,,231760,,,1.53,,99333,239179,323709,,1001.0,,,5970,0,21704.0,,,,4920331,,19968,20478
2013-11-12,3,2013,,1246.0,,-18334,8328,6378,,10408,-6647,1950,3666,-8004,0.71,0.71,6011,0.0,0.0,,11039,-8.0,34025.0,34025,,122571,2013年07月01日至2013年09月30日,,104646,97999,99668,92968,95332,20353,3307552,3838259,530707,530707,435375,,,218147,,,0.7,0.7,94657,104646,115685,,-1365.0,,,3666,0,23099.0,,,3307552.0,3827851,,4978,5031
2014-03-26,4,2013,,4893.0,,67780,39743,20219,,26613,6654,7119,20944,18766,4.15,4.15,116281,0.0,12405.0,,159749,18.0,103296.0,103296,,530091,2013年01月01日至2013年12月31日,,652427,659081,591180,596386,622301,189875,14591725,17015101,2423376,2423376,1801075,,,889299,,-11392.0,4.08,4.08,381685,652427,812176,,738.0,,10471.0,20944,0,54079.0,,7119.0,,16988488,,61247,62695
2014-05-07,1,2014,,0.0,,10029,7879,3680,,1635,10921,4199,5596,12788,1.06,1.06,35392,,,,62627,12.0,31205.0,31205,,126249,2014年01月01日至2014年03月31日,,214601,225522,174237,184363,233711,43517,3378091,4065932,687841,687841,454130,,62627.0,228321,,,1.04,1.04,99560,214601,277228,,1879.0,,,5596,0,25363.0,,4199.0,,4064297,,40364,41159
2014-08-14,2,2014,,0.0,,-28255,10899,7139,,30029,-11070,3760,7422,-12925,0.88,,0,57389.0,0.0,,55630,-12.0,27856.0,27856,,148027,2014年第2季,,167489,156419,143712,133539,220041,3078,3550873,4253551,702678,702678,482637,,,240161,,,0.86,,94449,167489,223119,,-1867.0,,,7422,29134,0.0,,,,4223522,,23777,22880
2014-11-13,3,2014,,0,,53417,10923,7629,,13051,6196,3294,6077,7886,0.99,0.99,0,29295,0,,47473,11,30088,30088,,135287,2014年第3季,,183204,189400,161629,168909,142326,88351,3527320,4141364,614044,614044,471718,,,241574,,,0.97,0.97,94857,183204,230677,,1701,,,6077,82712,0,,,3527320,4128313,,21575,20491
2015-02-16,4,2014,,0.0,0.0,44030,22784,8141,,54144,49016,14643,26178,57620,4.29,4.29,-61433,,0.0,,190282,36.0,118701.0,118701,,606903,2014年度,,783988,833004,692255,741746,814933,159337,14690323,17428035,2737712,2737712,1922779,,,931003,,1519.0,4.19,4.19,384873,783988,974270,,10159.0,,2226.0,26178,103237,,,14643.0,,17373891,,91733,91258
2015-05-08,1,2015,,,,-55172,4457,1400,,57256,-23846,3057,5960,-27202,0.16,0.16,-213898,,,-23846.0,6583,,12740.0,12740,-9.0,148697,2015年01月01日至2015年03月31日,6583.0,6661,-17185,29197,8935,57179,-43935,4040273,4561338,521065,521065,463886,,,220568,,,0.15,0.15,94621,6661,13244,,,-3365.0,,5960,158726,,,3057.0,,4504082,,-22536,-26120
2015-08-06,2,2015,,,,37335,4540,941,,9322,-15906,3599,6108,-10991,0.29,,73138,,,-15906,38534,,10600,10600,-6,118731,2015年第2季,,25522,9616,53817,34499,17689,46367,4329485,4769266,439781,439781,422092,-6816,,221287,,,0.28,,82074,25522,64056,,,-1907,,6108,-35803,,,,,4759944,,-28295,-24883
