date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,加工成本,加工收入淨額,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,-1935,13510,30736,0.0,85358,6601,6289.0,6601,6289,102869,0.35,0.35,,31992,1401.0,2986,,129236,2013年01月01日至2013年03月31日,148884,234242,151383,233741,137124,43752,2829204,3164668,335464,335464,198340,13036,,,0.35,0.35,56068,148884,180876,,16977.0,,3480,2822603,4030.0,3162827,3158379,418,-2499,501
2013-08-12,2,2013,,-3556,-2205,46230,0.0,-84769,13672,11897.0,13672,11897,-75780,0.59,0.59,,43119,-18402.0,1963,,146729,2013年04月01日至2013年06月30日,252706,167937,256537,171255,253366,42459,3092179,3556232,464053,464053,210687,12331,,,0.59,0.59,51627,252706,295825,,-12969.0,,3529,3078507,-2277.0,3562904,3544335,20846,-3831,-3318
2013-11-08,3,2013,,4682,-38797,40795,0.0,-88790,13033,12908.0,13033,12908,-108760,0.55,0.55,,46632,-3760.0,1846,,146453,2013年07月01日至2013年09月30日,225728,136938,227158,139867,273118,-758,3233156,3725700,492544,492544,219426,17021,,,0.55,0.55,55952,225728,272360,,-19048.0,,4602,3220123,1080.0,3717531,3712792,3659,-1430,-2929
2014-03-21,4,2013,,539036,16089,178392,0.0,514607,48802,46142.0,48802,46142,-50601,1.89,1.89,,144220,1675.0,11772,,545215,2013年01月01日至2013年12月31日,788513,1303120,797029,1308683,743041,189692,12321077,13877507,1556430,1556430,813389,61223,,18158.0,1.89,1.89,206951,788513,932733,,-6339.0,,16561,12272275,4633.0,13865218,13831365,29220,-8516,-5563
2014-05-07,1,2014,,-133110,141921,47154,,-45841,7591,7029.0,7591,7029,84365,0.64,0.64,,41454,17725.0,19984,,126063,2014年01月01日至2014年03月31日,253737,207896,256461,208771,90630,204561,2790997,3075729,284732,284732,194102,13972,,,0.64,0.64,54067,253737,295191,,14821.0,,4498,2783406,1192.0,3073584,3068700,3692,-2724,-875
2014-08-08,2,2014,,169668,-42777,208661,,46202,5736,5522.0,5736,5522,-106007,0.39,0.39,,107219,-36110.0,4420,,152462,2014年第2季,153724,199926,156114,204065,95365,165578,3338787,3651020,312233,312233,216868,13880,,,0.39,0.39,50526,153724,260943,,-18651.0,,4726,3333051,1274.0,3652609,3645498,5837,-2390,-4139
2014-10-29,3,2014,,-282936,55834,65206,,-254136,11675,10337.0,11675,10337,33071,0.38,0.38,,22499,1466.0,3113,,115358,2014年第3季,150749,-103387,151710,-104123,54716,118532,2988558,3224605,236047,236047,181331,11648,,,0.38,0.38,54325,150749,173248,,5737.0,,5621,2976883,850.0,3220835,3214268,5717,-961,736
2015-03-17,4,2014,,-228064,212765,376196,,-102352,36016,32649.0,36016,32649,160381,1.75,1.75,,199854,-7098.0,29066,,514374,2014年度,692088,589736,699992,595294,293857,598085,12151849,13213126,1061277,1061277,767420,50905,,1517.0,1.75,1.75,202141,692088,891942,,29088.0,,19942,12115833,4706.0,13201883,13180477,16700,-7904,-5558
2015-04-29,1,2015,,-100727,-32464,39401,,-212286,20501,15256.0,20501,15256,-125789,0.12,0.12,-212286.0,11058,,1485,-8003.0,106189,2015年第1季,47048,-165238,49151,-162569,54748,3358,2530219,2742195,211976,211976,157228,10245,,,0.12,0.12,40794,47048,58106,,,-22233.0,5064,2509718,2548.0,2736910,2726939,7423,-2103,-2669
2015-08-06,2,2015,,-56316,-7569,30587,,-135553,9855,6033.0,9855,6033,-95114,0.12,0.12,-135553.0,11459,,2486,-800.0,158413,2015年第2季,46370,-89183,46369,-88361,37179,20650,3253337,3503339,250002,250002,212823,7086,,,0.12,0.12,47324,46370,57829,,,-16677.0,4854,3243482,1684.0,3502721,3497306,3731,1,-822
2015-11-05,3,2015,,-5036,72836,28202,,183860,4663,4428.0,4663,4428,207504,0.81,0.81,183860.0,74417,,3582,18203.0,114774,2015年第3季,324509,508369,325023,504561,299247,99679,2916332,3388599,472267,472267,173020,9378,,,0.81,0.81,48868,324509,398926,,,36811.0,4941,2911669,,3390726,3384171,6555,-514,3808
2016-03-17,4,2015,-18109.0,-72341,-9987,159159,,-142076,46527,,46527,36579,-82996,1.69,1.69,-123967.0,150446,,24532,16593.0,488855,2015年度,671924,529848,675219,530405,668428,153942,11421918,12804649,1382731,1382731,714303,35633,-21818.0,,1.69,1.69,189815,671924,822370,-3709.0,,-14777.0,19762,11375391,7491.0,12791568,12768070,16007,-3295,-557
2016-05-05,1,2016,,79666,-47614,70321,,1537,5518,5833.0,5518,5833,-88965,0.58,0.58,1537.0,48614,,1439,-4861.0,134240,2016年01月01日至2016年03月31日,233517,235054,233951,236978,262462,19669,2616524,3071091,454567,454567,192105,8251,,,0.58,0.58,49614,233517,282131,,,-15697.0,4477,2611006,1466.0,3073877,3065258,7153,-434,-1924
2016-08-08,2,2016,,-30218,-18478,24693,,-39508,5439,,5439,4979,-13027,0.52,0.52,-39508.0,43846,,8461,1779.0,157979,2016年第2季,208814,169306,209398,169621,242040,10620,3092290,3551532,459242,459242,217202,9575,,,0.52,0.52,49648,208814,252660,,,-1958.0,4056,3086851,45934.0,3593724,3546553,1237,-584,-315
2016-11-08,3,2016,,-108053,-52667,24895,,-233986,7352,,7352,7171,-146131,0.41,0.41,-233986.0,34331,,25348,-5193.0,117627,2016年第3季,165134,-68852,165734,-66287,205571,-6106,2841696,3225573,383877,383877,178306,10870,,,0.41,0.41,49809,165134,199465,,,-25391.0,3682,2834344,42320.0,3263105,3218402,2383,-600,-2565
