date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,壞帳轉回利益,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資性不動產利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,遞延所得稅費用（利益）,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回
2013-05-09,1,2013,,-1396.0,-416,57180,7605,,86396,7605,16615,165640.0,86812,0.92,,52709.0,0.0,,79324,2317,0.0,2317,295265,2013年01月01日至2013年03月31日,,279109,365505,279109,365505,307946,50487,6957064,8049661,1092597,1092597,784651,79324.0,349622,,,,0.88,139764,279109,358433,,,0.0,,,,2656,,,16615,419,,0.0,6957064.0,6957064.0,6770.0,7890418.0,7890418.0,7884021.0,-373.0
2013-08-07,2,2013,,,938,36421,71052,13964.0,41576,7485,17904,78294.0,70384,1.24,49603.0,32719.0,0.0,,99935,2242,,2242,309645,2013年04月01日至2013年06月30日,,376161,417737,376161,417737,384285,91811,7369484,8586836,1217352,1217352,833067,99935.0,388121,,,,1.17,135301,376161,476096,,,29746.0,,297.0,0.0,1834,,,17904,1571,,,7369484.0,7369484.0,13614.0,8529294.0,8529294.0,8508542.0,7138.0
2013-11-06,3,2013,,,3244,-7146,22451,7941.0,-17798,9601,14565,,-46774,1.77,-110.0,0.0,7718.0,,153260,3497,,3497,344000,2013年07月01日至2013年09月30日,,554481,536683,554481,536683,703504,4237,9091763,10702181,1610418,1610418,906914,153260.0,417815,,,5019.0,1.68,145099,554481,707741,,,-25732.0,,1712.0,0.0,457,,,14565,0,1597.0,,9091763.0,9091763.0,,,,,
2014-03-19,4,2013,,,4446,107351,124709,22770.0,167222,34232,65304,,204223,4.84,48139.0,99836.0,0.0,,441772,10211,,10211,1273558,2013年01月01日至2013年12月31日,,1518331,1685553,1518331,1685553,1783136,176967,31462617,36653661,5191044,5191044,3407908,395706.0,1549548,,-8108.0,19568.0,4.6,584802,1518331,1960103,,,33339.0,,,301.0,7633,,,65304,183,0.0,46066.0,,31462617.0,,,,,
2014-05-07,1,2014,,74.0,489,4268,20909,8002.0,-12494,11269,17869,,-15642,0.78,,995.0,0.0,,65882,2894,,2894,227839,2014年01月01日至2014年03月31日,,246282,233788,246282,233788,301962,10202,7178439,8217401,1038962,1038962,737000,65882.0,338407,,,1638.0,0.75,170754,246282,312164,,,-2659.0,,,0.0,2697,0.0,,17869,650,,,,7178439.0,,,,,
2014-08-06,2,2014,,,-5640,-2859,30349,15811.0,-66579,11920,17759,,-73421,1.18,1508.0,0.0,12039.0,,89367,2516,,2516,306520,2014年第2季,,370708,304129,370708,304129,447828,12247,8601761,10002751,1400990,1400990,953162,89367.0,421621,,,1110.0,1.13,225021,370708,460075,,,-12482.0,,994.0,0.0,8362,,,17759,0,176.0,,,8601761.0,,,,10002751.0,
2014-11-05,3,2014,,,-2371,1637,8618,2607.0,90932,6458,7319,,112413,1.12,-1508.0,0.0,1273.0,,118320,3572,,3572,342829,2014年第3季,,361225,452157,361225,452157,473037,6508,9411722,10842709,1430987,1430987,957950,118320.0,433706,,,1061.0,1.1,181415,361225,479545,,,19110.0,,117.0,,4178,,,7319,0,1385.0,,,9411722.0,,,,10842709.0,
2015-03-18,4,2014,,,-8149,37380,73747,33901.0,144625,35198,50085,,189560,4.28,0.0,19720.0,,,403801,10520,,10520,1259763,2014年度,,1376388,1521013,1376388,1521013,1708627,71562,34906664,40326918,5420254,5420254,3711627,403801.0,1646923,,-5495.0,4648.0,4.11,804941,1376388,1780189,,,31291.0,,581.0,0.0,17475,,,50085,0,396.0,,,34906664.0,,,,40326918.0,
2015-05-08,1,2015,,,-483,-10720,16208,9312.0,-48440,5765,7132,,-57779,1.43,,0.0,14270.0,-48440.0,123966,2339,,2339,371180,2015年01月01日至2015年03月31日,,461498,413058,461498,413058,584769,695,9893121,11512103,1618982,1618982,1034213,,454869,,,1131.0,1.4,208164,461498,585464,,,,-9822.0,209.0,0.0,1991,,,7132,1350,,,,,,,,,
2015-08-10,2,2015,,,-615,4942,57075,12138.0,-46749,6416,7361,,-55583,1.22,37367.0,3481.0,0.0,-46749.0,110972,1771,,1771,393773,2015年第2季,110972.0,396225,349476,396225,349476,450770,56427,11022760,12587951,1565191,1565191,1114421,,491668,,,1154.0,1.2,228980,396225,507197,,,,-9449.0,67.0,,1874,,,7361,0,480.0,,,11022760.0,,,,12587951.0,
