date,season,year,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,工程成本,工程收入淨額,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,3129.0,4298,16748,14121,,154178,149880,-0.53,,,-25786.0,,,,-11261,,,27824,2013年01月01日至2013年03月31日,-303875,-149697,-249958,-89609,1092.0,1126.0,-312697,-2439,1073371,930376,-142995,-142995,169702,45507,96371,-303875,-315136,0.0,79.0,158.0,33308,5326.0,11314.0,,1072279.0,4638.0,946008.0,929250.0,12120.0,-53917,-60088
2013-08-13,2,2013,-2954.0,-868,23705,32888,,62700,63568,-0.45,,,-30974.0,0.0,0.0,,-18812,,,31704,2013年04月01日至2013年06月30日,-266787,-204087,-216068,-243140,0.0,0.0,-309051,23452,1576870,1450728,-126142,-126142,182909,51120,100085,-266787,-285599,0.0,625.0,0.0,33141,0.0,9598.0,,1576870.0,1979.0,1468618.0,1450728.0,15911.0,-50719,39053
2013-11-12,3,2013,30757.0,392,-28353,13193,,-27621,-28013,-0.91,,,3180.0,0.0,0.0,,24575,,,26830,2013年07月01日至2013年09月30日,-497354,-524975,-434681,-460045,0.0,0.0,-426362,-46417,1363766,1130091,-233675,-233675,192687,70745,95112,-497354,-472779,0.0,1516.0,0.0,31257,-893.0,-7993.0,,1363766.0,7142.0,1227101.0,1130091.0,89868.0,-62673,-64930
2014-03-25,4,2013,35149.0,7392,30651,85571,,259810,252418,-2.7,,83153.0,,1335.0,1376.0,,4545,-367.0,,106504,2013年01月01日至2013年12月31日,-1499383,-1239573,-1288119,-1132892,1335.0,1376.0,-1487280,-7558,5164791,4367557,-797234,-797234,690046,217014,366528,-1499383,-1494838,,2694.0,158.0,123413,0.0,14817.0,5163456.0,5163456.0,19572.0,4514508.0,4366181.0,128755.0,-211264,-106681
2014-05-13,1,2014,2277.0,-1499,-57680,13884,,-11608,-10109,-0.92,,-47577.0,,,,,-5038,-7543.0,,24219,2014年01月01日至2014年03月31日,-661381,-672989,-547459,-555559,0.0,0.0,-584468,-81951,1352507,940738,-411769,-411769,172699,39509,108971,-661381,-666419,,245.0,0.0,30612,160.0,7741.0,,1352507.0,7124.0,951295.0,940738.0,3433.0,-113922,-117430
2014-08-13,2,2014,2532.0,6334,-33509,12648,,-43560,-49894,-0.77,,0.0,16557.0,364.0,375.0,,-343,-4692.0,,31804,2014年第2季,-508090,-551650,-462781,-483499,364.0,375.0,-457244,-51189,1667370,1410139,-257231,-257231,200013,38307,129902,-508090,-508433,,2698.0,-19746.0,25636,-4566.0,-12590.0,,1667006.0,10845.0,1421215.0,1409764.0,606.0,-45309,-68151
2014-11-12,3,2014,2015.0,-1544,24612,8804,,78743,80287,-0.91,,51145.0,0.0,0.0,745.0,,-68613,-7355.0,,31868,2014年第3季,-598166,-519423,-542797,-492677,0.0,745.0,-665701,-1078,1796745,1435795,-360950,-360950,304751,28502,244381,-598166,-666779,0.0,5193.0,13.0,27139,-16997.0,2341.0,,1796745.0,7449.0,1449043.0,1435050.0,6544.0,-55369,-26746
2015-03-13,4,2014,,3589,-1083258,49132,,145150,141561,-7.1,-7.1,,,,,,-7636,-40871.0,,119519,2014年度,-4748516,-4603366,-4244654,-4144582,,,-3586018,-1170134,6993896,4510759,-2483137,-2483137,1102881,161273,822089,-4748516,-4756152,,,,95137,,,,,,,,,-503862,-458784
2015-08-06,2,2015,,58876,-679890,15895,127753.0,-2675,-56674,-1.8,-1.8,,,,,-2675.0,0,-8567.0,-4877.0,24030,2015年上半年度,-1096151,-1098826,-1083297,-1063649,,,-377473,-718678,2078556,1741126,-337430,-337430,167796,32804,110962,-1096151,-1096151,,,,46116,,,,,,,,,-12854,-35177
