date,season,year,不動產、廠房及設備重估價利益,不動產、廠房及設備重估價損失,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,保證合約損失,停工損失,停業單位損益合計,停業單位淨利（淨損）,停業單位稅後損益,備供出售金融資產未實現評價損益,公允價值調整利益－投資性不動產,公允價值調整損失－投資性不動產,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利息收入,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,利息費用,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構淨投資避險無效而認列於損益之利益,國外營運機構淨投資避險無效而認列於損益之損失,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,天然氣銷貨收入（天然氣業）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,手續費支出合計,持有至到期日金融資產利息收入,指定按公允價值衡量之金融負債信用風險變動影響數,按攤銷後成本衡量之金融負債利益,按攤銷後成本衡量之金融負債損失,按攤銷後成本衡量之金融資產利息收入,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列關聯企業及合資之權益工具投資利益(損失),採用權益法認列關聯企業及合資之確定福利計畫再衡量數,採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,採用權益法認列關聯企業及合資之重估增值,採用權益法認列關聯企業及合資國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,歸因於所規避風險之被避險項目之利益－公允價值避險,歸因於所規避風險之被避險項目之損失－公允價值避險,母公司業主（淨利／損）,母公司業主（綜合損益）,沖銷逾期應付款利益,減損損失合計,減損迴轉利益合計,無形資產重估價利益,無形資產重估價損失,無活絡市場債務工具投資利息收入,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),現金流量避險有效而自權益轉列之利益,現金流量避險有效自權益轉列之損失,現金流量避險無效而認列於損益之利益,現金流量避險無效而認列於損益之損失,生物資產當期公允價值減出售成本之變動之利益,生物資產當期公允價值減出售成本之變動之損失,當期原始認列生物資產之利益,當期原始認列生物資產之損失,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資性不動產利益,處分投資性不動產損失,處分投資損失,處分無形資產利益,處分無形資產損失,虧損性合約損失,負債性特別股股息,財務成本淨額,賠償損失,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,避險工具之利益－公允價值避險,避險工具之損失－公允價值避險,重估增值,金融資產重分類淨損益,銀行存款利息,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-29,1,2013,,,,,,,,,,,,,,,,,-1269,1932,,,26339,,,,,,,26947,0.1,,,,,,,-248,,,,,,,,-608.0,,,,,,,,,,,,2013年01月01日至2013年03月31日,,9306,35645,,,,9765,36114,,,,,,,10458,-1400,471254,559491,88237,88237,77779,,,,,,,,,,6455,,,,,,71324,9306,,9058,,,,,,,,,,,,,,2063,,,,,,,,,,471254,,,559491,,-459.0,-469
2013-08-09,2,2013,,,,,,,,,,,,,,,,,-5577,6099,,,14231,,2164.0,,,,,14231,0.04,,,,,,,1002,,,,,,,,,,,,,,,,,,,,2013年04月01日至2013年06月30日,,5835,20066,,,,4297,18772,,,,,,,8479,-1642,527256,614949,87693,87693,79214,,,,,,,,,,6214,,,,,,73000,5835,,6837,,,,,,,,,,,,,,2164,,,,,,,,,,527256,,,614949,,1538.0,1294
2013-11-11,3,2013,,,,,,,,,,,-158.0,,,,,,-2318,1410,,,-11045,,2285.0,,,,,-10887,-0.64,,,,,,,-4108,,,,,,,,,,,,,,,,,,,,2013年07月01日至2013年09月30日,,-78699,-89744,,,,-78129,-88917,,,,,,,-79614,-3193,424379,455513,31134,31134,110748,,,,,,,,,,8375,,,,,,102373,-78699,,-82807,,,,,,,,,,,,,,2285,,,,,,,,,,424379,,,455513,,-570.0,-827
2014-03-24,4,2013,,,,,,,,,,,-708.0,,,,,,-53547,14288,,,43217,,9140.0,,,,,43946,-1.64,,,,,,,-22475,,,,,,,,,,,,,,,,,,,,2013年01月01日至2013年12月31日,,-205292,-162075,,,,-190606,-147321,,,,,,,-179368,-48399,2041399,2261166,219767,219767,399135,,,,,,,,,,30080,,-25.0,,,,369055,-205292,,-227767,,-4.0,,,,,,,,,,,,9140,,,,,,,,,,2041399,,,2261166,,-14686.0,-14754
2014-05-07,1,2014,,,,,,,,0.0,,,0.0,,,,,,1901,4671,,,14857,,,,,,,14857,-0.58,-0.58,,,,,,-2888,,,,,,,,,,,,,,,,,,,,2014年01月01日至2014年03月31日,,-70392,-55535,,,,-70392,-55535,,,,,,,-77408,4128,336556,338398,1842,1842,79250,,,,,,,,,,8014,,,,-0.58,-0.58,71236,-70392,,-73280,,,,,,,,,,,,,,2444,,,,,,,,,,336556,,,338398,,0.0,0
2014-08-08,2,2014,,,,,,,,15805.0,0.0,15805.0,-3349.0,,,,,,1189,1052,,,-22167,,2909.0,,,,,-18818,-0.6,,,,,,,-3137,,,,,,,,,,,,,,,,,,,,2014年第2季,,-84294,-106461,,,,-84294,-106461,,,,,,,-102568,-668,331715,309652,-22063,-22063,80505,,,,,,,,,,5100,,,,-0.71,,75405,-100099,-0.71,-103236,,,,,,,,,,,,,,2909,,,,,,,,,,331715,,,309652,,0.0,0
2014-11-10,3,2014,,,,,,,,0.0,,,0.0,,,,,,-181673,3001,,,16291,,2313.0,,,,,16291,-1.56,,,,,,,-35612,,,,,,,,,,,,,,,,,,,,2014年第3季,,-221516,-205225,,,,-221516,-205225,,,,,,,-76143,-180985,337919,329685,-8234,-8234,67909,,,,,,,,,,5177,,,,-1.56,,62732,-221516,-1.56,-257128,,,,,,,,,,,,,,2313,,,,,,,,,,337919,,,329685,,0.0,0
2015-03-04,4,2014,,,,,,,,15805.0,,,-3349.0,,,,,,-262216,43178,,0.0,47138,,9966.0,,,,,51327,-3.72,,,,,0.0,,-53470,,,,,,,,,,,,,,,,,,,,2014年度,0.0,-509953,-462815,,,,-509953,-462815,,,,,,,-350224,-229004,1344899,1297857,-47042,-47042,303182,,,,,,,,,,20067,,-1012.0,,-3.84,,283115,-525758,-3.84,-579228,,-172.0,,,,,,,,,,,,9966,,,,,,,0.0,,,1344899,,,1297857,0.0,0.0,0
2015-05-08,1,2015,,,0.0,0.0,,,,0.0,,,0.0,,,,0.0,,7823,7580,,,-12448,,1469.0,0.0,0.0,,,-12448,0.11,0.11,,,,,-12448.0,238,,,0.0,,,,0.0,,,,0.0,,,0.0,,,,,,2015年01月01日至2015年03月31日,,15578,3130,0.0,,,15578,3130,,,,,,,1882,13934,196832,240389,43557,43557,41675,0.0,,,,,,,,,60,0.0,,,0.11,0.11,41615,15578,,15816,0.0,,0.0,,,,,,,,,,,1469,,,,,,0.0,,,,196832,,,240389,,0.0,0
2015-08-07,2,2015,,,0.0,0.0,339.0,,,0.0,,0.0,1498.0,,,0.0,0.0,0.0,21292,16465,,,-7359,16465.0,1173.0,0.0,0.0,0.0,0.0,-8857,0.04,0.04,1228.0,0.0,,,-7359.0,217,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2015年第2季,,5244,-2115,0.0,0.0,0.0,5244,-2115,,,,,,0.0,-31123,36584,199300,211960,12660,12660,43783,0.0,0.0,0.0,0.0,0.0,,,,,65,0.0,,,0.04,0.04,43718,5244,,5461,0.0,,0.0,0.0,1574.0,21977.0,,,0.0,,,,0.0,1173,,,,0.0,0.0,0.0,,16465.0,,199300,,,211960,,0.0,0
2015-11-06,3,2015,,,0.0,0.0,,,,0.0,,,-5364.0,,,,,,1973,5750,,,21765,,1258.0,0.0,0.0,,,27129,-0.08,-0.08,,,0.0,0.0,21765.0,-402,,,0.0,,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,2015年第3季,0.0,-10157,11608,0.0,,,-10157,11608,,,,,,,-17024,6465,182102,211986,29884,29884,46908,0.0,,,,,,,,,24,0.0,,,0.0,0.0,46884,-10157,,-10559,0.0,,0.0,,,,,,,,,,,1258,,,,,,0.0,0.0,,182102.0,182102,211986.0,211986.0,211986,0.0,,0
