date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,9420.0,15877,5846,41255,38355,0.27,,15390,,9340,123594,2013年01月01日至2013年03月31日,,44958,86213,46244,87499,42696,17652,5142571,5310947,168376,168376,125680,15390.0,2086,,0.22,44958,60348,6520.0,,13411,5142571,5142571,9879,5322422,5322422,5310947,1596.0,-1286,-1286
2013-08-09,2,2013,,48480.0,-42,12563,59830,13675,0.34,,28238,,-6050,141963,2013年04月01日至2013年06月30日,,55803,115633,55453,115283,90900,-6859,6518944,6759450,240506,240506,149606,28238.0,7643,,0.28,55803,84041,2325.0,,13330,6518944,6518944,55496,6814946,6814946,6759450,,350,350
2013-11-08,3,2013,,-4500.0,-33003,8884,-25058,-24769,0.06,,13088,,9057,144368,2013年07月01日至2013年09月30日,,8989,-16069,9394,-15664,55680,-33603,6465865,6667676,201811,201811,146131,13088.0,1763,,0.06,8989,22077,-4211.0,,18541,6465865,6465865,6215,6701863,6701863,6667676,27972.0,-405,-405
2014-03-25,4,2013,,47100.0,-28456,43495,82604,42776,0.68,,57069,,24683,581735,2013年01月01日至2013年12月31日,,108947,191551,112324,194928,193209,-27193,25959931,26742710,782779,782779,589570,57069.0,7835,,0.57,108947,166016,7272.0,,66915,25959931,25959931,62243,26868817,26868817,26742710,63864.0,-3377,-3377
2014-05-08,1,2014,,2400.0,12321,27586,30192,33484,0.29,,26467,,24848,197813,2014年01月01日至2014年03月31日,,53748,83940,53906,84098,41148,39067,8943130,9184230,241100,241100,199952,26467.0,2139,,0.25,53748,80215,5692.0,,25688,8943130,8943130,16922,9243096,9243096,9184230,41944.0,-158,-158
2014-08-08,2,2014,,4800,10007,13535,-30459,-42161,0.29,,20480,,20414,230645,2014年第2季,,91600,61141,69367,40471,98066,14014,12149909,12483621,333712,333712,235646,20480,5001,,0.26,91600,112080,-6902,,29942,12149909,12149909,28589,12541455,12541455,12483621,29245,22233,20670
2014-10-31,3,2014,,-13500.0,-15153,16682,21596,41483,0.51,,40054,,41113,255493,2014年第3季,,145797,167393,128156,145836,185167,684,15075409,15518764,443355,443355,258188,40054.0,2695,,0.48,145797,185851,6387.0,,41958,15075409,15075409,75786,15611339,15611339,15518764,16789.0,17641,21557
2015-03-06,4,2014,,-6300.0,17097,82341,110744,140855,1.29,,96327,,126902,983939,2014年度,,347352,458096,301924,399819,359276,84403,49898659,51257415,1358756,1358756,999480,96327.0,15541,,1.16,347352,443679,23811.0,,141937,49898659,49898659,179325,51571661,51571661,51257415,134921.0,45428,58277
2015-05-14,1,2015,0.0,0.0,-18332,25940,-22005,-25961,0.18,-22005.0,17222,0.0,73091,222033,2015年01月01日至2015年03月31日,17222.0,28425,6420,51538,32225,11801,33846,13749287,13984962,235675,235675,223874,,1841,,0.17,28425,45647,,-3956.0,46853,13749287,13749287,22344,14023705,14023705,13984962,16399.0,-23113,-25805
2015-08-11,2,2015,,0.0,-24050,29508,-12260,-14270,0.29,-12260.0,33614,,30030,221166,2015年第2季,33614.0,136693,124433,84623,74806,186639,-16332,18735494,19145738,410244,410244,223605,,2439,,0.28,136693,170307,,-2010.0,51820,18735494,18735494,28007,19198241,19198241,19145738,24496.0,52070,49627
2015-11-12,3,2015,,0.0,4540,17407,195348,231187,0.35,195348.0,41187,,31558,272526,2015年第3季,41187.0,115549,310897,100087,275069,156835,-99,20943955,21375310,431355,431355,274520,,1994,,0.34,115549,156736,,35839.0,53604,20943955,20943955,48162,21430317,21430317,21375310,6845.0,15462,35828
2016-03-25,4,2015,-10468,0,-74481,101885,147480,187282,1.20,157948,104635,,173333,936672,2015年度,104635,432744,580224,340518,473272,542998,-5619,75720531,77225239,1504708,1504708,961710,,25038,-10468,1.16,432744,537379,,29334,206356,75720531,75720531,127229,77414039,77414039,77225239,61571,92226,106952
2016-05-12,1,2016,,,-38754,20069,-88470,-105368,0.27,-88470.0,28746,,47064,265293,2016年01月01日至2016年03月31日,28746.0,144107,55637,73523,-8980,208177,-35324,19957013,20433012,475999,475999,267822,,2529,,0.27,144107,172853,,-16898.0,63703,19957013,19957013,31290,20472184,20472184,20433012,7882.0,70584,64617
2016-08-12,2,2016,,,-26241,36655,-39958,-42225,1.24,-39958,149283,,22711,325888,2016年第2季,149283,383013,343055,337023,325958,573033,-40737,25648425,26549930,901505,901505,328472,,2584,,1.14,383013,532296,,-2267,73862,25648425,25648425,16698,26572339,26572339,26549930,5711,45990,17097
