date,season,year,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額
2013-04-24,1,2013,,232,9446,2569,1809,24431,760,64.0,29434,1.42,9678.0,0.0,,13553,20922,2013年01月01日至2013年03月31日,,86754,111185,86754,111185,88356,11951,272252,435033,162781,162781,74425,,25337,,,1.41,28166,86754,100307,,5003.0,,64,0.0,,272252.0,272252.0,,,435033.0
2013-07-30,2,2013,,0,-4475,1460,431,5751,1029,1031.0,6930,1.2,0.0,4475.0,,20705,12827,2013年04月01日至2013年06月30日,,76102,81853,76102,81853,100853,-4046,308934,481759,172825,172825,71972,20705.0,28896,,,1.19,30249,76102,96807,,1179.0,,1031,0.0,,308934.0,308934.0,,,481759.0
2013-10-24,3,2013,,634,-8698,2148,377,-15018,1771,1764.0,-18095,1.27,0.0,8064.0,,16614,18469,2013年07月01日至2013年09月30日,,94833,79815,94833,79815,119761,-8314,340716,533511,192795,192795,73034,16614.0,23761,,,1.27,30804,94833,111447,,-3077.0,,1764,0.0,0.0,340716.0,340716.0,,533511.0,533511.0
2014-01-23,4,2013,,2499,-1877,10365,4820,22807,5545,4469.0,28383,5.52,622.0,0.0,,90894,72579,2013年01月01日至2013年12月31日,,394413,417220,394413,417220,481288,4019,1315394,2110809,795415,795415,314127,90894.0,110675,,-905.0,5.46,130873,394413,485307,,4671.0,,4469,0.0,,1315394.0,1315394.0,4247.0,2115056.0,2110809.0
2014-04-22,1,2014,,867,-1568,2591,1020,23718,1571,1543.0,28576,0.92,11603.0,0.0,,9245,16375,2014年01月01日至2014年03月31日,,68257,91975,68257,91975,78022,-520,326126,479996,153870,153870,75848,9245.0,26276,,,0.91,33197,68257,77502,,4858.0,,1543,-12304.0,0.0,,,,,479996.0
2014-07-25,2,2014,,502,-9305,4461,2237,-21700,2224,1010.0,-26146,1.88,0.0,7631.0,,45945,16082,2014年第2季,,139834,118134,139834,118134,191633,-5854,399070,677163,278093,278093,86460,45945.0,40068,,,1.86,30310,139834,185779,,-4446.0,,1010,,1172.0,,,,,677163.0
2014-10-28,3,2014,,433,18834,2757,1056,20326,1701,1178.0,24490,1.75,15513.0,0.0,,40668,18307,2014年第3季,,130495,150821,130495,150821,150750,20413,393666,612556,218890,218890,68140,40668.0,22572,,,1.75,27261,130495,171163,,4164.0,,1178,3754.0,0.0,,,,,
2015-01-28,4,2014,,2051,37584,21198,13949,68748,7249,4700.0,82812,6.74,49183.0,,,123573,73130,2014年度,,501780,570528,501780,570528,571271,54082,1525738,2408259,882521,882521,311250,123573.0,113786,,17.0,6.67,124334,501780,625353,,14081.0,,4700,,9548.0,,,,,
2015-04-27,1,2015,,120,-3647,6926,5529,-13210,1397,775.0,-15915,1.12,0.0,3477.0,-13210.0,10218,14023,2015年01月01日至2015年03月31日,10218.0,83304,70094,83304,70094,91018,2504,335685,499081,163396,163396,72378,,22584,,,1.11,35771,83304,93522,,,-2705.0,775,,50.0,,,,,
2015-07-28,2,2015,,179,-11976,4981,3070,-16680,1911,,-20097,0.73,0.0,11797.0,-16680.0,28061,14450,2015年第2季,,54114,37434,54114,37434,90004,-7829,314670,473770,159100,159100,69096,,22873,,,0.72,31773,54114,82175,,,-3417.0,834,,0.0,,,,,
2015-10-27,3,2015,,261,55137,2875,2129,76597,746,,92286,2.06,55398.0,,76597.0,26540,16832,2015年第3季,,153253,229850,153253,229850,122311,57482,368910,561544,192634,192634,70323,,19116,,,2.05,34375,153253,179793,,,15689.0,530,0.0,0.0,,,,,
2016-01-28,4,2015,-134.0,840,55005,24024,18467,45037,5557,,54423,5.89,55895.0,,45171.0,89555,61816,2015年度,,436946,481983,436946,481983,450212,76289,1418993,2158720,739727,739727,289515,,92075,-162.0,,5.8,135624,436946,526501,-28.0,,9252.0,2740,,50.0,,,,,
2016-04-27,1,2016,,169,-2108,4776,3662,-23920,1114,,-28819,0.61,,1939.0,-23920.0,9174,16352,2016年01月01日至2016年03月31日,,44790,20870,44790,20870,51645,2319,298988,418822,119834,119834,68189,,19102,,,0.61,32735,44790,53964,,,-4899.0,349,,0.0,,,,,
2016-07-28,2,2016,,233,-8453,5388,3042,3321,2346,,4001,1.31,,8220.0,3321.0,47269,14891,2016年第2季,,96627,99948,96627,99948,147389,-3493,388173,605780,217607,217607,70218,,22734,,,1.31,32593,96627,143896,,,680.0,428,,0.0,,,,,
2016-10-28,3,2016,,316,-22179,4879,3903,-35802,976,,-43135,1.92,0.0,21863.0,-35802.0,47702,17224,2016年第3季,,141102,105300,141102,105300,206813,-18009,439699,717205,277506,277506,70693,,21128,,,1.91,32341,141102,188804,,,-7333.0,709,,0.0,,,,,
