date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構淨投資避險,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,採用權益法認列之關聯企業及合資之其他綜合損益之份額－其他,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,採用權益法認列之關聯企業及合資之其他綜合損益之份額－現金流量避險中屬有效避險部分之避險工具利益（損失）,採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,採用權益法認列之關聯企業及合資之其他綜合損益之份額－與待出售非流動資產直接相關之權益,採用權益法認列之關聯企業及合資之其他綜合損益之份額－透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）,採用權益法認列之關聯企業及合資之其他綜合損益之份額－重估增值,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,財務成本淨額,賠償損失,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估價之利益（損失）,銀行存款利息,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,2116,0.0,,201663,17471,1978,0.0,0.0,112774,15493,27828,0.0,112774,2.35,,26576,10463,,18523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2291,2291,332793,2013年01月01日至2013年03月31日,8473,,262750,375524,0.0,262750,375524,87676,193597,2415209,2991812,576603,578593,490917,0.0,18523.0,37232,,0.0,2.34,120892,262750,281273,0.0,0.0,91.0,0,27828,,230264,0.0,0.0,,2415209,2415209,,2991812,2991812,0.0,
2013-08-09,2,2013,,8221,0.0,0.0,-59681,52931,26997,0.0,0.0,59099,25934,6558,0.0,59099,2.07,,187721,121,,55507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3765,3765,429727,2013年04月01日至2013年06月30日,-788,,252962,312061,0.0,252962,312061,318012,-9543,3804856,4731778,926922,927831,609819,0.0,55507.0,58153,,0.0,2.05,121939,252962,308469,0.0,0.0,0.0,1391,6558,,137652,0.0,0.0,,3804856,3804856,,4731778,4731778,,
2013-11-09,3,2013,,2925,0.0,0.0,-51140,61522,31872,0.0,0.0,-30143,29650,5457,0.0,-30143,0.34,,41937,112,,23672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029,1029,341856,2013年07月01日至2013年09月30日,899,,41740,11597,0.0,41740,11597,59458,5954,2113558,2673112,559554,558767,499309,0.0,23672.0,47416,,0.0,0.34,110037,41740,65412,0.0,0.0,0.0,-278,5457,,-6556,0.0,0.0,,2113558,2113558,,2673112,2673112,,
2014-03-28,4,2013,,18331,0.0,0.0,172210,150194,63541,0.0,0.0,152093,86653,45648,0.0,152093,5.1,,298389,10706,,111742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8180,8180,1500567,2013年01月01日至2013年12月31日,12208,,611640,763733,0.0,611640,763733,438446,284936,10355648,12982502,2626854,2625352,2186906,0.0,111742.0,204277,,0.0,5.08,482062,611640,723382,0.0,0.0,0.0,4926,45648,,493856,0.0,0.0,,10355648,10355648,,12982502,12982502,,
2014-05-13,1,2014,,7186,0.0,0.0,-216419,43793,26668,0.0,0.0,33539,17125,11506,0.0,33539,-1.93,0.0,4880,12405,,-22505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472,1472,391849,2014年01月01日至2014年03月31日,12454,,-236550,-203011,0.0,-236550,-203011,-76395,-182660,2339919,2823236,483317,483268,559663,0.0,-22505.0,48996,,0.0,-1.93,118818,-236550,-259055,0.0,0.0,327.0,0,11506,,0,204680.0,0.0,17125.0,2339919,2339919,,2823236,2823236,,
2014-08-14,2,2014,,8467,0.0,0.0,-54129,37824,21799,0.0,0.0,-50170,16025,18092,0.0,-50170,0.28,,7810,11,,19959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2657,2657,551371,2014年第2季,-2480,,33861,-16309,0.0,33861,-16309,85560,-31740,3625329,4452065,826736,829227,743667,0.0,19959.0,58052,,0.0,0.28,134244,33861,53820,0.0,0.0,0.0,12,18092,,0,37840.0,0.0,16025.0,3625329,3625329,,4452065,4452065,,
2014-11-12,3,2014,,1612,0.0,0.0,109135,23351,10651,0.0,0.0,85026,12700,14118,0.0,85026,-0.27,17062.0,0,-23,,5202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234,234,329795,2014年第3季,-249,,-33286,51740,0.0,-33286,51740,-146686,118602,2003421,2387981,384560,384786,531472,0.0,5202.0,45811,,0.0,-0.27,155866,-33286,-28084,0.0,0.0,0.0,276,14118,,93961,0.0,0.0,12700.0,2003421,2003421,,2387981,2387981,,
2015-03-27,4,2014,,15214,0.0,0.0,-176426,130935,66643,0.0,0.0,154999,64292,71071,0.0,154999,-2.71,,6729,12475,,3926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4893,4893,1673099,2014年度,9278,,-332282,-177283,0.0,-332282,-177283,-216687,-111669,9920967,12117829,2196862,2200059,2416746,0.0,3926.0,206324,,0.0,-2.71,537323,-332282,-328356,0.0,0.0,0.0,3431,71071,,-151052,0.0,0.0,64292.0,9920967,9920967,,12117829,12117829,,
2015-05-05,1,2015,,3190,,0.0,-19724,25241,13832,0.0,,-30978,11409,31758,,-30978,0.06,,7580,9533,-30978.0,15945,,,,,,,,,,,222,222,335463,2015年01月01日至2015年03月31日,11300,15945.0,7220,-23758,,7220,-23758,49184,-26019,2413781,2961223,547442,545675,496491,,,38120,,,0.06,122908,7220,23165,,,0.0,-457,31758,,-9411,0.0,,11409.0,2413781,2413781,,2961223,2961223,,
2015-08-09,2,2015,,3472,,0.0,-16912,21038,10667,0.0,,-48887,10371,26797,,-48887,1.12,,27045,-20739,-48887.0,17700,,,,,,,,,,,3777,3777,494232,2015年第2季,-20753,17700.0,137769,88882,,137769,88882,174363,-18894,3089824,3928282,838458,838472,664109,,,39466,,,0.9,130411,137769,155469,,,0.0,-257,26797,,13348,0.0,,10371.0,3089824,3089824,,3928282,3928282,,
