date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,21455,1399,24505,6140,350718,332508,0.11,0.11,,42793,,-3245.0,33579,,218041,2013年01月01日至2013年03月31日,99264,449982,66626,402315,94049,48008,3057956,3668761,610805,610805,522896,127434,,,0.11,0.11,177421,99264,142057,,,,11475,32638,47667
2013-08-09,2,2013,,-18496,-23248,31957,6915,144297,166493,0.13,0.13,,38759,,-3465.0,8449,,261253,2013年04月01日至2013年06月30日,100192,244489,75627,210749,133497,5454,3008423,3716228,707805,707805,581223,144000,,,0.13,0.13,175970,100192,138951,,235.0,,11704,24565,33740
2013-11-12,3,2013,,32319,-58659,44619,7083,-96879,-128946,0.12,0.12,,23025,,-339.0,-22989,,254217,2013年07月01日至2013年09月30日,82772,-14107,67845,-22617,154375,-48578,2866820,3579080,712260,712260,564968,135642,,,0.12,0.12,175109,82772,105797,,-87.0,,11549,14927,8510
2014-03-28,4,2013,,73795,-122975,140248,28675,587207,489200,0.69,0.69,,109179,,15226.0,35196,,1002179,2013年01月01日至2013年12月31日,499230,1086437,402387,964416,601902,6507,12273755,15217618,2943863,2943863,2370636,579133,,11246.0,0.69,0.69,789324,499230,608409,,2260.0,,45962,96843,122021
2014-05-13,1,2014,,-8076,-5005,29444,5997,119146,122210,0.02,0.02,,43810,,5116.0,-36,,248251,2014年01月01日至2014年03月31日,46199,165345,10394,124582,79103,10906,2752210,3424405,672195,672195,599089,122939,,,0.02,0.02,227899,46199,90009,,104.0,,13497,35805,40763
2014-08-13,2,2014,,-8829,-661,28528,5872,-125669,-197583,0.34,0.34,,55502,,80540.0,10089,,291283,2014年第2季,218662,92993,196252,83291,248633,25531,3036886,3930279,893393,893393,650632,144194,,,0.33,0.33,215155,218662,274164,,-203.0,,12425,22410,9702
2014-11-12,3,2014,,-16195,-204590,43336,3424,63961,173831,0.14,0.14,,52426,,-93505.0,46430,,315560,2014年第3季,-11706,52255,82399,137293,167102,-126382,3219742,4082500,862758,862758,699080,159537,,,0.14,0.14,223983,-11706,40720,,170.0,,11558,-94105,-85038
2015-03-17,4,2014,,-58358,287493,141051,18019,495398,583146,1.51,1.51,,351289,,-6191.0,48270,,1242006,2014年度,851650,1347048,879336,1354666,774009,428930,12708071,16291585,3583514,3583514,2827524,651781,,-27341.0,1.5,1.5,933737,851650,1202939,,-4142.0,,47884,-27686,-7618
2015-05-13,1,2015,,11788,219893,47564,8251,-138835,-143127,0.65,0.65,-138835.0,115410,,,13342,-7714.0,354901,2015年01月01日至2015年03月31日,409585,270750,380704,249782,253418,271577,3259302,4212419,953117,953117,707950,165483,,,0.65,0.65,187566,409585,524995,,,-218.0,9222,28881,20968
2015-08-06,2,2015,,100977,-3656,55541,8418,13968,-79808,0.47,0.47,13968.0,81108,,,6975,-7333.0,370574,2015年第2季,303707,317675,272585,289684,333744,51071,3307240,4408078,1100838,1100838,775512,183661,,,0.46,0.46,221277,303707,384815,,,-132.0,7789,31122,27991
2015-11-10,3,2015,,-125764,-25283,73088,8855,245041,392593,0.44,0.44,245041.0,81812,,,-3721,-21209.0,359650,2015年第3季,303936,548977,255868,485895,348951,36797,3486520,4615949,1129429,1129429,789333,178098,,,0.44,0.44,251585,303936,385748,,,579.0,7287,48068,63082
2016-03-24,4,2015,-13020.0,-2770,181655,220908,34484,-147464,-111454,2.19,2.19,-134444.0,426562,-28.0,,34607,-21126.0,1481601,2015年度,1428070,1280606,1274281,1139908,1444333,410299,13743373,18334953,4591580,4591580,3181731,734341,-15654.0,,2.16,2.16,965789,1428070,1854632,-2662.0,,-906.0,26871,153789,140698
