date,season,year,不動產、廠房及設備減損損失,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他減損損失,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營建工程成本合計,營建工程收入合計,營建成本,營建收入,營建收入（營建業適用）淨額,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,,-4638,-2455,4669,,176731,181369,-0.22,,5984,,-1043,,292849,2013年01月01日至2013年03月31日,-97509,79222,-96103,80628,,,,,,,-59490,-32035,922554,1279115,356561,356561,416051,4121,,,-0.22,119081,-97509,-91525,,,,33206,,72417,1396776,1279115,45244,-1406,-1406
2013-08-12,2,2013,,,,-8559,1649,5732,,77244,85803,0.37,,21456,,-370,,305236,2013年04月01日至2013年06月30日,160542,237786,160768,238012,,,,,,,207273,-25275,1336634,1962446,625812,625812,418539,4666,,,0.37,108637,160542,181998,,0.0,,32286,,103110,2082824,1962446,17268,-226,-226
2013-11-11,3,2013,,,,-630,19731,5012,,-33104,-54560,0.37,,27540,22086.0,-367,,310923,2013年07月01日至2013年09月30日,163901,130797,163584,130480,,0.0,0.0,0.0,0.0,0.0,205335,-13894,1336695,1972435,635740,635740,430405,4240,,,0.37,115242,163901,191441,,0.0,,38270,1336695.0,118899,2114183,1972435,22849,317,317
2014-03-27,4,2013,,,,15091,95642,28610,,318836,298727,0.64,,136134,,-2258,,1311452,2013年01月01日至2013年12月31日,279441,598277,280756,599592,,140868.0,161784.0,140868.0,161784.0,161784.0,439275,-23700,4949346,7174876,2225530,2225530,1786255,18211,,5018.0,0.64,456592,279441,415575,,0.0,,145694,4808478.0,441714,7559876,7013092,105070,-1315,-1315
2014-05-12,1,2014,,,,-4754,3833,4606,,-21124,-16370,-0.2,,24508,,-56,,242853,2014年01月01日至2014年03月31日,-89064,-110188,-89064,-110188,,3922.0,4058.0,3922.0,4058.0,4058.0,-34511,-30045,983316,1315692,332376,332376,366887,4042,,,,119992,-89064,-64556,,0.0,,38428,979394.0,108882,1434770,1311634,14254,0,0
2014-08-12,2,2014,,,,-15137,6108,5878,,-109094,-93957,0.32,,62541,,-67,,284035,2014年第2季,140534,31440,140534,31440,,3675.0,4072.0,3675.0,4072.0,4072.0,236634,-33559,1265852,1914830,648978,648978,412344,5158,,,0.32,123151,140534,203075,,0.0,,45478,1262177.0,116357,2067891,1910758,40776,0,0
2014-11-12,3,2014,,,,-5880,-506355,5748,,124036,131439,-0.9,,34696,-1523.0,1825,,283722,2014年第3季,-395539,-271503,-395539,-271503,506355.0,9143.0,6259.0,9143.0,6259.0,6259.0,182253,-543096,1223225,1863249,640024,640024,457771,5722,,,0.0,168327,-395539,-360843,,0.0,,44314,1214082.0,77250,1964174,1856990,29934,0,0
2015-03-30,4,2014,,,-12745.0,-4200,-479086,28473,,78964,117997,-1.15,,189190,-25590.0,1610,,1202548,2014年度,-501008,-422044,-501008,-422044,491831.0,25838.0,21996.0,25838.0,21996.0,21996.0,311149,-622967,4874506,6963352,2088846,2088846,1777697,22851,,-9243.0,0.0,552298,-501008,-311818,,0.0,,173964,4848668.0,364619,7418267,6941356,112292,0,0
2015-05-14,1,2015,,,,872,-1756,4580,,9756,8884,-0.22,9756.0,26792,,-59,,251289,2015年01月01日至2015年03月31日,-94390,-84634,-94390,-84634,,0.0,0.0,0.0,0.0,0.0,-23398,-44200,857099,1210635,353536,353536,376934,9483,,,,116162,-94390,-67598,,,,46965,857099.0,59612,1290434,1210635,20187,0,0
2015-08-10,2,2015,,,,-18546,-8294,6434,,-22446,-3900,-0.02,-22446.0,48904,,-82,,284757,2015年第2季,-9723,-32169,-9723,-32169,,196.0,2843.0,196.0,2843.0,2843.0,88019,-48838,1150797,1655160,504363,504363,416344,5858,,,,125729,-9723,39181,,,,46896,1150601.0,57897,1738147,1652317,27933,0,0
