date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,加工成本,加工收入淨額,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,,,-14910,9072,9072,,140986,12443,15707,12443,15707,140986,-0.78,-0.78,,35061,331310,2013年01月01日至2013年03月31日,-93518,47468,-93518,47468,-5582,-52875,980730,1567417,586687,586687,592269,59492,-0.78,-0.78,201467,-93518,-58457,47037,968287,1551710,0,0
2013-08-12,2,2013,,,0.0,0.0,-81781,23167,23167,0.0,11558,4957,9574,4957,9574,11558,-0.28,-0.28,,2828,372972,2013年04月01日至2013年06月30日,-35888,-24330,-35888,-24330,83486,-116546,1209355,1951547,742192,742192,658706,79760,-0.28,-0.28,205974,-35888,-33060,57932,1204398,1941973,0,0
2013-11-12,3,2013,,,0.0,0.0,79888,21146,21146,0.0,-89106,41848,50448,41848,50448,-89106,1.43,1.43,,19527,347943,2013年07月01日至2013年09月30日,187766,98660,187766,98660,168265,39028,1342658,2179679,837021,837021,668756,75868,1.38,1.38,244945,187766,207293,62006,1300810,2129231,0,0
2014-03-26,4,2013,,,0.0,0.0,-112076,68014,68014,0.0,114911,63317,81092,63317,81092,114911,2.7,2.7,,78080,1487532,2013年01月01日至2013年12月31日,344076,458987,344076,458987,679843,-257687,5361158,8657546,3296388,3296388,2616545,292254,2.67,2.67,836759,344076,422156,213625,5297841,8576454,0,0
2014-05-13,1,2014,,,0.0,0.0,101081,14408,14408,0.0,11387,11116,14744,11116,14744,11387,0.57,0.57,,80554,315193,2014年01月01日至2014年03月31日,75308,86695,75308,86695,93027,62835,1188757,1969145,780388,780388,687361,71923,0.57,0.57,300245,75308,155862,52654,1177641,1954401,0,0
2014-08-14,2,2014,,,0.0,0.0,26211,16961,16961,0.0,-94475,19925,26644,19925,26644,-94475,1.29,1.29,,55230,401205,2014年第2季,169550,75075,169550,75075,254165,-29385,1774773,2821018,1046245,1046245,792080,98140,1.25,1.25,292735,169550,224780,72557,1754848,2794374,0,0
2014-11-14,3,2014,,,0.0,0.0,-260727,22016,22016,0.0,40607,39544,54209,39544,54209,40607,0.07,0.07,,-77034,434194,2014年第3季,8661,49268,8661,49268,230649,-299022,1557320,2470740,913420,913420,682771,77079,0.07,0.07,171498,8661,-68373,60311,1517776,2416531,0,0
2015-03-25,4,2014,,,0.0,0.0,-403918,94141,94141,0.0,153768,86132,116339,86132,116339,153768,3.03,3.03,,176212,1581635,2014年度,424900,578668,424900,578668,1189086,-587974,6456784,10659866,4203082,4203082,3013996,385960,2.99,2.99,1046401,424900,601112,278197,6370652,10543527,0,0
2015-05-12,1,2015,-108202.0,-108202.0,0.0,0.0,-477392,44017,44017,0.0,-285664,3362,4885,3362,4885,-177462,-2.84,-2.84,-177462.0,53156,372773,2015年01月01日至2015年03月31日,-419651,-705315,-419651,-705315,143860,-510355,1321019,2203342,882323,882323,738463,89651,-2.84,-2.84,276039,-419651,-366495,76980,1317657,2198457,0,0
2015-08-12,2,2015,-64602.0,-64602.0,0.0,0.0,116397,53413,53413,0.0,-40375,15808,24485,15808,24485,24227,0.88,0.88,24227.0,-15392,491369,2015年第2季,134230,93855,134230,93855,23820,95018,1702582,2585932,883350,883350,859530,101430,0.88,0.88,266731,134230,118838,74792,1686774,2561447,0,0
2015-11-11,3,2015,396481.0,396481.0,0.0,0.0,-514480,40872,40872,0.0,164926,19160,28836,19160,28836,-231555,-1.98,-1.98,-231555.0,10906,544580,2015年第3季,-300555,-135629,-300555,-135629,262557,-552206,1607807,2801892,1194085,1194085,931528,96777,-1.98,-1.98,290171,-300555,-289649,78598,1588647,2773056,0,0
2016-03-24,4,2015,212808.0,212808.0,0.0,0.0,-856369,184867,184867,0.0,-321863,42260,64357,42260,64357,-534671,-1.38,-1.38,-534671.0,99321,2043609,2015年度,-207629,-529492,-207629,-529492,880655,-988963,6506526,10973860,4467334,4467334,3586679,389700,-1.38,-1.38,1153370,-207629,-108308,317461,6464266,10909503,0,0
2016-05-11,1,2016,-65676.0,-65676.0,0.0,0.0,288029,48432,48432,0.0,11790,4012,6582,4012,6582,77466,1.9,1.9,77466.0,139396,439250,2016年01月01日至2016年03月31日,289324,301114,289324,301114,162756,265964,1244084,2232843,988759,988759,826003,101169,1.9,1.9,285584,289324,428720,70497,1240072,2226261,0,0
2016-08-11,2,2016,-32432.0,-32432.0,0.0,0.0,187398,31090,31090,,-63016,25952,36901,25952,36901,-30584,0.52,0.52,-30584.0,156497,494321,2016年第2季,78619,15603,78619,15603,106557,128559,1620332,2628730,1008398,1008398,901841,114419,0.52,0.52,293101,78619,235116,89929,1594380,2591829,0,0
2016-11-10,3,2016,-204506.0,-204506.0,0.0,0.0,-59762,34499,34499,,-243181,18079,27977,18079,27977,-38675,-0.28,-0.28,-38675.0,-59047,507976,2016年第3季,-42998,-286179,-42998,-286179,23037,-125082,1360857,2303080,942223,942223,919186,111506,-0.28,-0.28,299704,-42998,-102045,99819,1342778,2275103,0,0
