date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨折讓,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,-31238,,,41395,36592,96641,127879,1.19,,38283,,,,,,36376,2013年01月01日至2013年03月31日,196016,292657,,196016,292657,162582,71717,1683447,1996646,313199,313199,150617,15658,,,1.07,98583,196016,234299,,,,,6270,,4056.0,2000702.0,1996646.0,0.0,0.0
2013-08-09,2,2013,,,0,0.0,0.0,20966,33904,69357,68092,0.94,,31108,,,1265.0,-1438.0,,36846,2013年04月01日至2013年06月30日,157903,227260,,157903,227260,142905,46106,1699025,1998288,299263,299263,156358,20750,,,0.86,98762,157903,189011,,0.0,,,7326,,,,1998288.0,0.0,0.0
2013-11-07,3,2013,,,0,,,-36084,27165,-48230,-49748,0.76,,59670,,,2088.0,3568.0,,34795,2013年07月01日至2013年09月30日,128205,79975,,128205,79975,199109,-11234,1589282,1936568,347286,347286,148177,18909,,,0.7,94473,128205,187875,,570.0,,,5883,,,,,,
2014-03-19,4,2013,,,-64531,,,64284,130530,124586,194538,3.84,,180504,,,-4522.0,7590.0,,245374,2013年01月01日至2013年12月31日,645526,770112,,645526,770112,649832,176198,6646782,7876598,1229816,1229816,579984,101413,,-1667.0,3.48,233197,645526,826030,,-768.0,,,26206,,,,7876598.0,0.0,0.0
2014-05-08,1,2014,,,-14715,,,52247,23916,-7967,4289,1.0,,31430,,,2962.0,7808.0,,33539,2014年01月01日至2014年03月31日,171069,163102,,171069,163102,124421,78078,1497747,1777259,279512,279512,155091,27588,,,0.93,93964,171069,202499,,503.0,,,5893,,,,,0.0,0.0
2014-08-07,2,2014,,,44638,,,-40573,17834,-15819,-57048,0.75,,17414,,,-4107.0,8652.0,,31365,2014年第2季,130396,114577,,130396,114577,167116,-19306,1651459,1964141,312682,312682,145566,25885,,,0.71,88316,130396,147810,,-698.0,,,5219,,,,1964141.0,0.0,0.0
2014-11-11,3,2014,,,-42994,,,42157,75964,29981,72786,1.3,,45535,,,228.0,3611.0,,33453,2014年第3季,228247,258228,,228247,258228,158367,115415,1752720,2069242,316522,316522,158155,26889,,,1.22,97813,228247,273782,,39.0,,,6317,,,,,0.0,0.0
2015-03-25,4,2014,,,-18578,,,144375,137134,99528,120006,3.5,,223111,,,-3086.0,21413.0,,216101,2014年度,610787,710315,,610787,710315,553904,279994,6419789,7572577,1152788,1152788,598884,133490,,661.0,3.28,249293,610787,833898,,-525.0,,,22928,,,,7572577.0,0.0,0.0
2015-05-07,1,2015,0.0,0.0,3452,,,-20550,27667,-33898,-28107,0.45,-33898.0,29817,0.0,0.0,,7006.0,-10886.0,28477,2015年01月01日至2015年03月31日,80840,46942,0.0,80840,46942,102549,8108,1387625,1632741,245116,245116,142567,24402,0.0,,0.44,89688,80840,110657,0.0,,-1643.0,0.0,6015,0.0,,,,0.0,0.0
2015-08-12,2,2015,,,17428,,,-22846,23553,-25833,-44768,0.55,-25833.0,41754,,,,17459.0,-1004.0,26625,2015年第2季,98143,72310,,98143,72310,126501,13396,1497474,1768538,271064,271064,144563,22264,,,0.53,95674,98143,139897,,,-2511.0,,4770,,,,,0.0,0.0
