date,season,year,不重分類至損益之項目總額,停業單位損益合計,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,,,,45437,33031,,,-79925.0,-108535.0,529907,638442,1.15,1.15,,102698,,-1342.0,313319,2013年01月01日至2013年03月31日,608208,1138115,606027,1135934,651819,59087,8578415,10002068,1423653,1423653,691909,0.0,26899,,,1.14,1.14,351691,608208,710906,,,18039,,8578415,110301.0,,10202646.0,10002068,90277.0,2181.0,2181.0
2013-08-08,2,2013,,0.0,0.0,0.0,29227,46677,,,-40042.0,-63920.0,312078,375998,1.03,,,181625,,-6720.0,386271,2013年04月01日至2013年06月30日,539551,851629,538846,850924,673720,47456,8739538,10227083,1487545,1487545,773783,0.0,27220,,,1.01,,360292,539551,721176,,,21728,,8739538,,,,10227083,,705.0,705.0
2013-11-08,3,2013,,,,,65143,35208,35208.0,,-69365.0,51062.0,-249299,-300361,1.18,1.18,,95497,,-6176.0,373026,2013年07月01日至2013年09月30日,610754,361455,622443,373144,626615,79636,8796360,10232663,1436303,1436303,740323,0.0,30631,,,1.18,1.18,336666,610754,706251,,,14539,8796360.0,8796360,,10232663.0,10232663.0,10232663,,-11689.0,-11689.0
2014-02-25,4,2013,,,,,105224,340365,,-331332.0,-331332.0,-193924.0,947390,1146581,4.52,4.52,,524869,,-26234.0,1470724,2013年01月01日至2013年12月31日,2366848,3314238,2374586,3321696,2546399,345318,34869022,40771697,5902675,5902675,3024944,0.0,116080,,-5267.0,4.46,4.46,1438140,2366848,2891717,,,74037,,34869022,,,40771697.0,40771697,,-7738.0,-7458.0
2014-05-06,1,2014,,,,,5557,131685,,,0.0,-1021.0,4985,6006,1.09,1.09,,137159,,-5583.0,420494,2014年01月01日至2014年03月31日,582214,587199,573054,578039,619559,99814,8363886,9829805,1465919,1465919,846360,0.0,32375,,,1.08,1.08,393491,582214,719373,,,31845,,8363886,,,,9829805,,9160.0,9160.0
2014-08-08,2,2014,,,9873.0,,-47335,148830,148830.0,,0.0,81766.0,-399210,-480976,1.0,1.0,,195917,,-2314.0,467706,2014年第2季,535951,136741,526078,126868,665486,66382,8700050,10337899,1637849,1637849,972363,,33705,,,0.99,0.99,470952,535951,731868,,,32799,8700050.0,8700050,,,,10337899,,,9873.0
2014-11-07,3,2014,,,,,66130,266734,266734.0,-128791.0,-128791.0,-131224.0,640682,771906,1.5,1.5,,144226,,-4540.0,532398,2014年第3季,787462,1428144,787462,1428144,639323,292365,9351383,11205218,1853835,1853835,1085721,,40451,,,1.49,1.49,512872,787462,931688,,,35959,,9351383,,,11205218.0,11205218,,0.0,0.0
2015-03-06,4,2014,,,,,70975,752900,,-128791.0,-128791.0,-206017.0,1005841,1229074,5.02,5.02,,584116,,-20199.0,1899666,2014年度,2655905,3661746,2636872,3642713,2573499,666522,35771112,42433278,6662166,6662166,3959876,0.0,147783,,-17216.0,4.95,4.95,1912427,2655905,3240021,,,137154,,35771112,,,42433278.0,42433278,,19033.0,19033.0
2015-05-04,1,2015,,,,,78927,128391,,,,,-256421,-308941,1.02,1.02,-256421.0,91903,,0.0,420101,2015年01月01日至2015年03月31日,537675,281254,537675,281254,459353,170225,8560319,9992899,1432580,1432580,973227,,36873,,,1.01,1.01,516253,537675,629578,,-52520.0,37093,,8560319,,,,9992899,,0.0,0.0
2015-08-10,2,2015,,,0.0,,92470,170199,170199.0,,,,-389209,-468926,0.99,0.99,-389209.0,211953,,0.0,451110,2015年第2季,521797,132588,521797,132588,509837,223913,8747120,10233359,1486239,1486239,976402,,38000,,,0.98,0.98,487292,521797,733750,,-79717.0,38756,8747120.0,8747120,,,,10233359,,,0.0
2015-11-09,3,2015,,,,,115912,96002,96002.0,0.0,0.0,,1191216,1435200,1.81,1.81,1191216.0,232765,,0.0,425388,2015年第3季,948821,2140037,948821,2140037,1000963,180623,9920099,11944209,2024110,2024110,1023147,,38072,,,1.79,1.79,559687,948821,1181586,,243984.0,31291,,9920099,,,11944209.0,11944209,,0.0,0.0
2016-02-23,4,2015,-12051.0,,,,330263,484544,,0.0,0.0,,7263,23270,5.39,5.39,19314.0,697949,0.0,0.0,1725262,2015年度,2832666,2839929,2832666,2839929,2859914,670701,36589453,43382817,6793364,6793364,3933450,,150910,-14519.0,,5.31,5.31,2057278,2832666,3530615,-2468.0,3956.0,144106,,36589453,,,43382817.0,43382817,,0.0,0.0
2016-05-09,1,2016,,,,,89346,114594,,,,,-467205,-562898,1.28,1.28,-467205.0,113595,,,377976,2016年01月01日至2016年03月31日,670349,203144,670349,203144,618579,165365,8437996,9944897,1506901,1506901,888322,,36543,,,1.26,1.26,473803,670349,783944,,-95693.0,38575,,8437996,,,9944897.0,9944897,,,
