date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃收入合計,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分無形資產利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,違約金收入,遞延所得稅費用（利益）,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,-1088,-1304,2439,,,,,8186,,,9274,-0.1,,,,4957,34814,2013年01月01日至2013年03月31日,,-19847,-11661,-15543,-7357,,,,-9977,-4913,55761,97601,41840,41840,51817,4957.0,,,,,17003,-19847,-14890,,,0.0,,,,,,6048,,,,0.0,-4304,-4304
2013-07-30,2,2013,,,-6380,-2202,27,,,,,-3658,,,2722,-0.36,,,,9361,43053,2013年04月01日至2013年06月30日,,-60958,-64616,-55156,-58814,,,,-19029,-32568,67817,115914,48097,48097,67126,,,,,-0.36,24073,-60958,-51597,,,0.0,,,,,,30393,,,,,-5802,-5802
2013-10-29,3,2013,,-5373.0,2462,1973,11,,577799.0,3535.0,9403.0,-1107,,444.0,-3569,3.27,,2.0,,25197,22810,2013年07月01日至2013年09月30日,,526121,525014,496438,495331,,59439.0,101563.0,549778,1540,62974,110966,47992,47992,76013,25197.0,,,0.0,3.26,53203,526121,551318,,,0.0,,0.0,,,,444,-3398.0,,,,29683,29683
2014-03-10,4,2013,,,-635,-3132,11598,927.0,577799.0,22118.0,358204.0,9228,5421.0,,10097,2.61,,,,39515,122118,2013年01月01日至2013年12月31日,,414858,424086,396041,405269,,184491.0,,483879,-29506,206609,358204,151595,151595,245515,,,-234.0,,2.6,123397,414858,454373,5250.0,,0.0,,,,,,37972,,,,,18817,18817
2014-05-12,1,2014,,,-92,9180,168,96.0,,6104.0,,8885,72.0,1021.0,8977,-0.16,,,,56,10315,2014年01月01日至2014年03月31日,,-25072,-16187,-24481,-15596,,0.0,,-33343,8327,6104,9613,3509,3509,36852,56.0,,,,-0.16,26537,-25072,-25016,,,0.0,,,,,,1021,,,,,-591,-591
2014-08-13,2,2014,,-3259.0,898,17909,8425,,,4808.0,7423.0,-7349,8425.0,1612.0,-8247,-0.22,0.0,,,700,34594,2014年第2季,,-33194,-40543,-32669,-40018,,0.0,,-57216,24722,4808,7423,2615,2615,59831,700.0,,,,,25237,-33194,-32494,,,0.0,,,,0.0,,1612,14650.0,,,,-525,-525
2014-11-12,3,2014,,422.0,-7499,-21198,5060,,0.0,4224.0,7841.0,968,218.0,1185.0,8467,-0.52,,0.0,,610,37575,2014年第3季,,-80803,-79835,-79430,-78462,,0.0,,-62870,-17323,4224,7841,3617,3617,66487,610.0,,,,-0.52,28912,-80803,-80193,4842.0,,0.0,,,0.0,0.0,,1185,-20776.0,,,,-1373,-1373
2015-03-23,4,2014,,,-4852,-23474,22283,,0.0,19271.0,36590.0,26071,,11277.0,31723,-1.34,,,,386,107008,2014年度,,-206419,-180348,-202885,-176814,,563.0,,-193565,-12468,19834,36590,16756,16756,210321,,,-800.0,,-1.34,103313,-206419,-206033,,,0.0,,,,,,11277,,,,,-3534,-3534
2015-05-11,1,2015,,,4774,-10982,2001,,,6122.0,11414.0,-4480,,13996.0,-9254,-0.37,,,-4480.0,327,13038,2015年01月01日至2015年03月31日,327.0,-56634,-61114,-55938,-60418,,,,-33330,-22977,6122,11414,5292,5292,38622,,,,,-0.37,25584,-56634,-56307,,,,0.0,,,,,13996,,,,,-696,-696
2015-08-12,2,2015,,,-426,1564,1946,,,9550.0,47909.0,-12008,,14184.0,-11582,-0.37,,,-12008.0,4965,31364,2015年第2季,4965.0,-57309,-69317,-56224,-68232,,29595.0,,-41670,-10674,39145,47909,8764,8764,50434,,,,,,19070,-57309,-52344,,,,0.0,,,,,14184,,,,,-1085,-1085
