date,season,year,不動產、廠房及設備減損損失,不動產、廠房及設備減損迴轉利益,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他減損迴轉利益,其他綜合損益（淨額）,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資性不動產利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產減損損失,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,,7014,156898,569,0.0,,7014,1.56,290,,,0,842,2013年01月01日至2013年03月31日,151781,158795,152266,158844,,,-5426,157207,36401,38365,1964,1964,7390,1.56,6548,151781,151781,0.0,,0.0,,0.0,153981.0,,260,2627.0,,,-485,-49
2013-08-09,2,2013,,,,1504,1379,5319,0.0,,1504,0.03,-180,,,0,402,2013年04月01日至2013年06月30日,3371,4875,3255,4511,0.0,,-3283,6654,79134,81511,2377,2377,5660,0.03,5258,3371,3371,0.0,,191.0,,113.0,0.0,,44,1255.0,,,116,364
2013-11-07,3,2013,,,,3826,10579,2163,0.0,,3826,0.08,0,137.0,,0,168,2013年07月01日至2013年09月30日,8109,11935,7748,11422,0.0,,-4628,12737,2720,2863,143,143,4771,0.08,4603,8109,8109,0.0,,,0.0,7449.0,0.0,,5,3267.0,,0.0,361,513
2014-03-19,4,2013,,,0.0,14562,164830,9806,,0.0,14562,1.58,110,,,-1079,3675,2013年01月01日至2013年12月31日,154839,169401,154454,168405,4370.0,0.0,-20566,174326,159474,166161,6687,6687,27253,1.58,23578,154839,153760,0.0,,,274.0,8145.0,152902.0,,310,8317.0,,,385,996
2014-05-07,1,2014,,,,-5159,-3902,804,0.0,,-5159,-0.08,0,1202.0,,0,562,2014年01月01日至2014年03月31日,-8241,-13400,-8208,-13279,,,-5002,-3239,6939,7551,612,612,5614,-0.08,5052,-8241,-8241,0.0,,,,,0.0,59.0,141,-2641.0,,,-33,-121
2014-08-06,2,2014,,,,2762,2045,4301,0.0,,2762,0.03,-1175,,,0,1026,2014年第2季,2864,5626,2835,5548,1550.0,,-3451,6315,22186,24233,2047,2047,5498,0.03,4472,2864,2864,0.0,,0.0,,594.0,0.0,,31,4176.0,,,29,78
2014-11-05,3,2014,0.0,,,3427,5106,2509,,,3427,0.04,2195,0.0,,0,967,2014年第3季,4373,7800,4335,7705,0.0,,-3183,7556,54319,56916,2597,2597,5780,0.04,4813,4373,4373,0.0,,,956.0,1866.0,0.0,,59,2001.0,,,38,95
2015-03-18,4,2014,,,,5812,20111,8822,,,5812,0.13,2072,,,0,4699,2014年度,12592,18404,12542,18257,1700.0,,-16014,28606,144431,152754,8323,8323,24337,0.13,19638,12592,12592,0.0,,,987.0,15096.0,0.0,,327,5630.0,,,50,147
2015-05-13,1,2015,,,,-1928,-1205,875,,,-1928,-0.08,1071,0.0,-1928.0,0,902,2015年01月01日至2015年03月31日,-7937,-9865,-7931,-9826,750.0,,-7368,-569,28089,27870,-219,-219,7149,-0.08,6247,-7937,-7937,,0.0,,439.0,,,13.0,239,,1074.0,,-6,-39
2015-08-12,2,2015,,,,5350,2440,3197,,,5350,0.02,0,668.0,5350.0,0,702,2015年第2季,1741,7091,1710,6964,505.0,,-3774,5515,27037,28733,1696,1696,5470,0.02,4768,1741,1741,,0.0,,181.0,1525.0,,,122,2269.0,,,31,127
2015-11-11,3,2015,,,,-4322,6805,19408,,,-4322,0.22,0,562.0,-4322.0,1129,1364,2015年第3季,21834,17512,21663,17449,0.0,1155.0,-3190,26153,15944,17705,1761,1761,4951,0.22,3587,21834,22963,,0.0,477.0,0.0,6418.0,,,60,0.0,683.0,,171,63
2016-03-23,4,2015,,248.0,,-3523,11271,24361,,,-3523,0.11,247,,-3523.0,1263,4463,2015年度,11447,7924,11206,7790,0.0,248.0,-22480,35190,98761,103961,5200,5200,27680,0.11,23217,11447,12710,,0.0,223.0,0.0,10873.0,,,442,-320.0,,,241,134
2016-05-11,1,2016,,,,-11180,3260,392,,,-11180,0.01,22,,-11180.0,0,483,2016年01月01日至2016年03月31日,495,-10685,341,-10603,1409.0,,-2991,3486,14829,17233,2404,2404,5395,0.01,4912,495,495,,0.0,16.0,0.0,6599.0,,0.0,166,,1968.0,,154,-82
2016-08-09,2,2016,,,,-1667,5013,3053,,,-1667,0.05,0,0.0,-1667.0,0,730,2016年第2季,4620,2953,4526,2934,1129.0,,-3446,8066,15001,16912,1911,1911,5357,0.05,4627,4620,4620,,0.0,281.0,0.0,3802.0,,,0,2059.0,,,94,19
2016-11-09,3,2016,,,,-3589,6401,2251,,,-3589,0.04,0,0.0,-3589.0,0,1069,2016年第3季,3638,49,3500,21,777.0,0.0,-5014,8652,3769,4577,808,808,5822,0.04,4753,3638,3638,,0.0,160.0,0.0,4936.0,,,0,2082.0,0.0,,138,28
