date,season,year,不動產、廠房及設備減損損失,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業成本,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,勞務成本,勞務成本合計,勞務收入合計,勞務收入淨額,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,無形資產減損損失,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產減損損失,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,,9658,62319,16649,10216,2241,12987,,148760,4801,3839,,380403.0,869950,,99662,0.61,0.61,1257.0,,961.0,,24902,39440.0,16989,,615991,2013年01月01日至2013年03月31日,,139135,287895,144251,290065,,,71919,92118,2623647,3518510,894863,895824,823905,106623,,,0.61,0.61,101291,139135,164037,1632,,,,25695,3839,35367,,,2241003,,2648477,2635573,12904.0,-5116,-2170
2013-08-12,2,2013,,,1778.0,1735,34194,46174,14055,10536,27750,,51241,4699,4027,,363076.0,1066265,,44368,0.79,0.79,4356.0,,961.0,,38219,5138.0,22746,,779728,2013年04月01日至2013年06月30日,,184984,236225,187335,232662,3806.0,,124116,99087,2728747,3822234,1093487,1094448,970332,101264,,,0.79,0.79,89340,184984,223203,27420,,,1969.0,-3365,4027,40756,,,2355135,,2774187,2728219,45968.0,-2351,3563
2013-11-12,3,2013,,,2044.0,12989,71671,22608,4038,1966,17835,,-55406,5166,4896,,407365.0,1032918,,-64965,0.88,0.88,-2140.0,,1921.0,,24890,-3430.0,33365,,711131,2013年07月01日至2013年09月30日,,207007,151601,209176,157402,1446.0,,109149,122748,2591127,3607040,1015913,1017834,908685,99533,,,0.88,0.88,98021,207007,231897,13404,,,413.0,5100,4896,72614,,,2181796,,2569159,2556287,12872.0,-2169,-5801
2014-03-20,4,2013,0.0,,17859.0,54788,283638,105966,42191,24478,79829,-358.0,231948,20214,18164,,1591858.0,4139240,,149065,3.51,3.51,3500.0,,3843.0,,116030,27815.0,79272,,2921557,2013年01月01日至2013年12月31日,,823700,1055648,830540,1063171,9440.0,0.0,489018,450712,11386706,15657262,4270556,4274399,3785381,410060,,638.0,3.49,3.49,453764,823700,939730,43561,,,3128.0,30785,18164,279780,,9440.0,9770370,,11463254,11438193,25061.0,-6840,-7523
2014-05-08,1,2014,,,,-47931,86438,10984,3784,7909,24880,,46558,5410,5381,,378645.0,939043,,75921,0.84,0.84,-7003.0,,0.0,,28420,18568.0,11590,,669432,2014年01月01日至2014年03月31日,,200231,246789,201560,248099,,,125020,103631,2978497,3967354,988857,988857,863837,92954,,,0.83,0.83,101451,200231,228651,1790,,,285.0,40870,5381,52856,,,2591943,,3005878,3003431,2447.0,-1329,-1310
2014-08-11,2,2014,,,1255.0,-2380,79464,37533,5810,5445,18822,,-120564,5288,2244,,411085.0,1036805,,-92838,0.7,0.7,909.0,,0.0,,85674,-25346.0,32301,,711920,2014年第2季,,171490,50926,171120,50572,607.0,,110110,147054,2540153,3563233,1023080,1023080,912970,98260,,,0.7,0.7,102790,171490,257164,26435,,,-1.0,5788,2244,74628,,,2123623,,2515832,2507606,8226.0,370,354
2014-11-11,3,2014,,,1689.0,-8732,-70048,23882,11809,6906,16359,,80695,6057,1548,,409528.0,984848,,88850,0.18,0.18,-2077.0,,0.0,,25969,577.0,9462,,713241,2014年第3季,,44561,125256,43208,123889,0.0,,108782,-38252,2762774,3791469,1028695,1028695,919913,100479,,,0.18,0.18,106193,44561,70530,6016,,,414.0,7730,1548,-73598,,,2346340,,2794019,2790262,3757.0,1353,1367
2015-03-19,4,2014,,,21692.0,-65756,255461,126154,66906,40930,129365,-181.0,205384,22971,11175,,1684393.0,4057625,,280657,3.07,,-3419.0,,0.0,,178482,-2895.0,119540,,2934871,2014年度,,747071,952455,744717,950606,60607.0,,435573,489980,11590230,15809321,4219091,4219091,3783518,397214,,-6441.0,3.05,,451433,747071,925553,36277,,,-229638.0,65773,11175,45768,,60607.0,9864907,,11645589,11622331,23258.0,2354,1849
2015-05-05,1,2015,,,1117.0,9744,75760,19746,13985,7257,16686,,-50703,5651,3198,,438386.0,1002004,,-57986,0.64,0.64,-7370.0,,,-50703.0,25438,,14252,-2461.0,670406,2015年01月01日至2015年03月31日,,154949,104246,156759,105451,874.0,,73827,106560,2833556,3787066,953510,953510,879683,97451,,,0.64,0.64,111826,154949,180387,110,,,-8241.0,17078,3198,59802,,,2387913,,2771912,2768376,3536.0,-1810,-1205
2015-08-11,2,2015,,,862.0,-4896,53628,29956,15556,18567,41663,,-81630,7384,4039,,449319.0,1031548,,-68314,0.73,0.73,10769.0,,,-81630.0,56735,,38828,-8420.0,728995,2015年第2季,,179263,97633,179879,98251,0.0,,117625,118373,2859870,3922832,1062962,1062962,945337,102475,,,0.73,0.73,113867,179263,235998,7016,,,252.0,13487,4039,30486,,,2391984,,2854582,2849621,4961.0,-616,-618
