date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業成本,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,壞帳轉回利益,工程成本,工程收入淨額,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額
2013-05-03,1,2013,,,-5179,2350,32990,7292,20025.0,943,-690.0,14187,94387.0,94633,20930,0.71,0.71,25698.0,3788175.0,3946699,,26434,,-874.0,18825,,28426,2013年01月01日至2013年03月31日,137493,151680,137493,151680,3788175.0,3946699,120324,43603,4487370,4710861,223491,223491,103167,,,,0.71,0.71,74741,137493,163927,,,,10562,584783.0,668586
2013-08-06,2,2013,,,-13977,-3088,4881,4881,,947,,-10566,,95432,10981,0.51,,0.0,,4468253,,-550,,-7183.0,31445,,28618,2013年04月01日至2013年06月30日,99225,88659,99225,88659,,4468253,76727,21948,5102675,5277572,174897,174897,98170,,,,0.51,,69552,99225,98675,,387.0,,11290,,712940
2013-11-08,3,2013,,,23851,-4822,8769,8769,,1365,,23230,,109000,-8323,0.48,,0.0,,4324490,,16959,,7443.0,27771,,28240,2013年07月01日至2013年09月30日,92960,116190,92960,116190,,4324490,93704,16215,4987478,5176723,189245,189245,95541,0.0,,,0.48,,67301,92960,109919,,-259.0,,15503,,741868
2014-03-17,4,2013,,0.0,27151,-7098,50068,24370,,4995,,29260,,399758,36213,2.25,2.25,25698.0,,16336628,,90372,,4266.0,102508,,115409,2013年01月01日至2013年12月31日,435531,464791,435531,464791,,16336628,433804,92099,18738663,19567517,828854,828854,395050,0.0,,-42501.0,2.25,2.25,279641,435531,525903,,-4131.0,,53379,,2826136
2014-05-08,1,2014,,,-11589,-2019,3542,3542,,1755,,-17032,,99419,-1094,0.35,0.35,0.0,,3530973,,10343,,-4446.0,23821,,26915,2014年01月01日至2014年03月31日,68160,51128,68160,51128,,3530973,67557,10946,4171043,4345270,174227,174227,106670,,,,0.35,0.35,79755,68160,78503,,-97.0,,14398,,713123
2014-08-11,2,2014,,,111,-3792,3496,3496,,1707,,-12592,,108012,-13852,0.26,,0.0,,3685679,,11901,,695.0,28159,,26785,2014年第2季,49826,37234,49826,37234,,3685679,48311,13416,4456412,4598248,141836,141836,93525,,,,0.26,,66740,49826,61727,,-454.0,,14447,,802850
2014-10-30,3,2014,,,9207,71823,14013,14013,,1299,,26478,,113875,13587,0.31,,0.0,,3149731,,4524,,4311.0,29486,,24561,2014年第3季,60521,86999,60521,86999,,3149731,-35705,100750,3975853,4022835,46982,46982,82687,,,,0.31,,58126,60521,65045,,627.0,,14572,,757930
2015-03-17,4,2014,,0.0,11657,70921,39541,39541,,6287,,32414,,442586,16304,1.32,1.32,0.0,,13861552,,40267,,3687.0,108680,,112500,2014年度,255683,288097,255683,288097,,13861552,136175,159775,16771011,17282772,511761,511761,375586,664.0,,1986.0,1.32,1.32,262422,255683,295950,,1220.0,,59367,,2972347
2015-05-07,1,2015,,,-8020,-3852,1845,1845,,1694,,-14748,,115914,-5830,0.16,0.16,0.0,,3312387,-14748.0,2065,,,25430,-1143.0,30657,2015年01月01日至2015年03月31日,31683,16935,31683,16935,,3312387,25740,8008,4040691,4153643,112952,112952,87212,1634.0,,,0.16,0.16,54921,31683,33748,,,-245.0,15415,,723648
2015-08-11,2,2015,,,-22527,-43102,32370,32370,,1315,,-39738,,117819,-8927,0.27,0.27,,,2874804,-39738.0,15794,,,24478,-8646.0,31200,2015年第2季,52295,12557,52295,12557,,2874804,71448,-3359,3466466,3627311,160845,160845,89397,1105.0,,,0.27,0.27,57092,52295,68089,,,-362.0,17105,,633373
2015-10-30,3,2015,,,-59301,4877,19824,19824,,1180,,-54430,,121318,21026,0.24,0.24,,,2729808,-54430.0,3485,,,24321,-15120.0,33760,2015年第3季,45638,-8792,45638,-8792,,2729808,17188,31935,3248547,3359313,110766,110766,93578,1716.0,,,0.24,0.24,58102,45638,49123,,,1035.0,17087,,507007
2016-03-23,4,2015,-36871.0,0.0,-65233,-44148,62693,62693,,7391,,-146179,,466746,-5079,0.9,0.9,0.0,,12902109,-109308.0,54648,-1709.0,,97661,-33670.0,160134,2015年度,173233,27054,173233,27054,,12902109,179940,47941,15070912,15660137,589225,589225,409285,6483.0,-42364.0,,0.89,0.89,242668,173233,227881,-7202.0,,5326.0,68265,,2283891
2016-05-03,1,2016,,,-97863,126578,3723,3723,,1975,,-71503,,100338,-9515,0.12,0.12,0.0,,3170991,-71503.0,23620,,,15213,10878.0,36039,2016年01月01日至2016年03月31日,22483,-49020,22483,-49020,,3170991,-81936,128039,3705851,3719150,13299,13299,95235,1636.0,,,0.12,0.12,57560,22483,46103,,,-24997.0,17475,,445846
2016-08-08,2,2016,,,-16052,-4205,5102,5102,,3360,,-34325,,105875,-10562,0.13,0.13,,,3363654,-34325.0,16589,,,18707,-7711.0,34983,2016年第2季,25573,-8752,25573,-8752,,3363654,39665,2497,3887453,4013090,125637,125637,85972,1976.0,,,0.13,0.13,49013,25573,42162,,,0.0,17107,,540201
2016-11-04,3,2016,,,17872,-21079,8094,8094,,2600,,1265,,111456,-19159,0.11,0.11,,,4341837,1265.0,14963,,,17327,2552.0,30134,2016年第3季,21372,22637,21372,22637,,4341837,51483,-15148,4833953,4971701,137748,137748,86265,2140.0,,,0.11,0.11,53991,21372,36335,,,0.0,19490,,515808
