date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-15,1,2013,,0.0,109484,62322,11522,155103,46073,0.51,0.51,,90728,,-454.0,28032,,146812,2013年01月01日至2013年03月31日,509193,664296,512334,666594,537400,62521,8095481,9002056,906575,906575,369175,,,,,0.46,0.46,222363,509193,599921,,0.0,,39355,,,9002056,,-3141,-2298
2013-08-12,2,2013,,,-75472,120569,10899,-19102,15920,0.51,0.51,,103147,,40450.0,-5214,,151028,2013年04月01日至2013年06月30日,496944,477842,504768,485485,508979,91112,7940144,8839943,899799,899799,390820,,,,,0.43,0.43,239792,496944,600091,,0.0,,35142,,,8839943,,-7824,-7643
2013-11-12,3,2013,,,59453,94289,27828,37248,-22840,0.51,0.51,,48451,,635.0,7785,,147871,2013年07月01日至2013年09月30日,503946,541194,508587,546292,455503,96894,7098055,7915101,817046,817046,361543,,,,,0.47,0.47,213672,503946,552397,,0.0,,33008,,,7915101,,-4641,-5098
2014-03-24,4,2013,,,79918,286194,72960,252117,83696,2.12,2.12,,322753,,65102.0,22786,,631485,2013年01月01日至2013年12月31日,2100150,2352267,2117078,2368404,2186843,236060,31416143,35119213,3703070,3703070,1516227,,,,28918.0,1.89,1.89,884742,2100150,2422903,,5517.0,,145880,342593.0,35465453.0,35119213,3647.0,-16928,-16137
2014-05-05,1,2014,,,-90270,104888,15493,-91553,-2747,0.43,0.43,,62687,,1464.0,32107,,148396,2014年01月01日至2014年03月31日,428179,336626,431553,339255,374764,116102,7633222,8365359,732137,732137,357373,,,,,0.37,0.37,208977,428179,490866,,0.0,,36386,,,8365359,,-3374,-2629
2014-08-12,2,2014,,,-34586,110744,18251,-63609,-31530,0.42,0.42,,74294,,1941.0,15741,,181800,2014年第2季,419557,355948,422733,359746,385119,108732,8813835,9581773,767938,767938,382819,566.0,,,,0.38,0.38,201019,419557,493851,,0.0,,36004,,,9581773,,-3176,-3798
2014-11-10,3,2014,,,-20577,127039,29906,9923,39350,0.29,0.29,,46772,,-2622.0,39014,,182462,2014年第3季,287621,297544,288574,297934,169460,164933,7914006,8502917,588911,588911,419451,-6228.0,,,,0.27,0.27,236989,287621,334393,,0.0,,31026,,,8502917,,-953,-390
2015-03-25,4,2014,,,381484,-152187,86746,409696,72027,1.06,1.06,,233820,,-310.0,128141,,667626,2014年度,1054482,1464178,1061592,1469373,1359561,-71259,33004388,35892185,2887797,2887797,1528236,-5698.0,,,-39699.0,0.96,0.96,860610,1054482,1288302,,-1892.0,,133959,330334.0,36231417.0,35892185,8898.0,-7110,-5195
2015-05-11,1,2015,,,111084,50495,17482,78885,-16974,0.4,0.4,78885.0,54769,,,17141,-953.0,147667,2015年01月01日至2015年03月31日,398445,477330,402171,481401,395575,57639,7679836,8434705,754869,754869,359294,,-14272.0,,,0.38,0.38,211627,398445,453214,,,0.0,27479,,,8434705,,-3726,-4071
2015-08-12,2,2015,,,-19515,59732,17633,-41073,-24415,0.36,0.36,-41073.0,123184,,,26558,272.0,141676,2015年第2季,355999,314926,362072,321439,401357,77826,7435693,8243216,807523,807523,406166,,2585.0,,,0.35,0.35,264490,355999,479183,,,0.0,26097,,,8243216,,-6073,-6513
2015-11-13,3,2015,,,-72680,7828,31023,-2578,72792,0.15,0.15,-2578.0,17925,,,-40168,-2690.0,153108,2015年第3季,144399,141821,151927,150003,190501,-28177,6160562,6692316,531754,531754,341253,,0.0,,,0.15,0.15,188145,144399,162324,,,0.0,26860,,,6692316,,-7528,-8182
2016-03-28,4,2015,-38638.0,,27588,102510,89362,-39593,-14132,1.27,1.27,-955.0,268977,366.0,,-85925,-2724.0,647094,2015年度,1245679,1206086,1269089,1230981,1511137,3519,28019608,31053412,3033804,3033804,1522667,,-11687.0,-46993.0,,1.23,1.23,875573,1245679,1514656,-7989.0,,0.0,102428,,,31053412,,-23410,-24895
2016-05-09,1,2016,,,276868,8998,18295,115890,-160944,0.21,0.21,115890.0,33257,,,-28635,-34.0,126985,2016年01月01日至2016年03月31日,206671,322561,212344,331018,268342,-28414,5408506,6029433,620927,620927,352585,,0.0,,,0.17,0.17,225600,206671,239928,,,0.0,27072,,,6029433,,-5673,-8457
2016-08-08,2,2016,,,-40566,39650,17714,-80226,-38706,0.69,0.69,-80226.0,75665,,,59636,-954.0,136432,2016年第2季,689496,609270,687284,604757,671014,94147,6134668,7167110,1032442,1032442,361428,,0.0,,,0.63,0.63,224996,689496,765161,,,0.0,22853,,,7167110,,2212,4513
2016-11-08,3,2016,,,276110,-20481,68241,174101,-103309,0.3,0.3,174101.0,43414,,,46175,1300.0,120982,2016年第3季,299052,473153,299394,474289,269361,73105,5226832,5834073,607241,607241,337880,,0.0,,,0.27,0.27,216898,299052,342466,,,0.0,20830,,,5834073,,-342,-1136
