date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他營業收入淨額,其他綜合損益（淨額）,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本合計,租賃收入,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,375,-1247,12995,,3532,109664,138578,6867,0.13,0.13,,3706,,-2367.0,2357,,146216,2013年01月01日至2013年03月31日,9832,13364,12760,16115,-347,13885,793990,976777,182787,182787,183134,36918,,,,,,0.13,0.13,9832,13538,,1343.0,,220,684326,838199,-2928,-2751
2013-08-12,2,2013,,-189,653,7984,,4771,115860,160600,3702,0.49,0.49,,8714,,1801.0,-761,,165554,2013年04月01日至2013年06月30日,48851,53622,49238,53839,50253,7312,949763,1226494,276731,276731,226478,60924,,,,,,0.49,0.49,48851,57565,,543.0,,564,833903,1065894,-387,-217
2013-11-07,3,2013,,204,-767,10630,,-2135,135370,157165,-2862,0.14,0.14,,3785,,56.0,-4400,,173957,2013年07月01日至2013年09月30日,16233,14098,13871,11743,15328,4690,853469,1077984,224515,224515,209187,35230,,,,,,0.14,0.14,16233,20018,,-467.0,,773,718099,920819,2362,2355
2014-03-28,4,2013,,311,-13365,41548,228.0,9995,487423,611125,9498,0.95,0.95,,18034,,792.0,-3932,,718581,2013年01月01日至2013年12月31日,95183,105178,94809,104260,93448,19769,3872250,4868450,996200,996200,902752,184171,,-260.0,,,,0.95,0.95,95183,113217,,346.0,,4482,3384827,4257097,374,918
2014-05-09,1,2014,,461,762,6769,,4643,116778,145755,4883,0.12,0.12,,1794,,15.0,-1715,,137897,2014年01月01日至2014年03月31日,8898,13541,11689,16186,5219,5473,704959,900799,195840,195840,190621,52724,,,,,,0.12,0.12,8898,10692,,716.0,,343,588181,755044,-2791,-2645
2014-08-11,2,2014,,-65,147,8007,,-4712,122695,155854,-5260,0.53,0.53,,12798,,-203.0,-1095,,174257,2014年第2季,54688,49976,53425,48931,60798,6688,992455,1273088,280633,280633,219835,45578,,,,,,0.53,0.53,54688,67486,,-816.0,,371,869760,1117234,1263,1045
2014-11-07,3,2014,,-9,-129,14780,,3818,129722,162444,4215,0.14,0.14,,-1264,,-758.0,645,,170104,2014年第3季,18183,22001,14306,17912,2619,14300,783379,1015472,232093,232093,229474,59370,,,,,,0.14,0.14,18183,16919,,-370.0,,996,653657,853028,3877,4089
2015-03-26,4,2014,,316,-3780,48453,15.0,5140,522277,641286,14450,0.97,0.97,,18042,,815.0,-5957,,716239,2014年度,98236,103376,97177,101638,80555,35723,3610818,4629303,1018485,1018485,937930,221691,,-11968.0,,,,0.97,0.97,98236,116278,,-1527.0,,2993,3088541,3988002,1059,1738
2015-05-08,1,2015,,99,-856,5473,,-3061,138230,174088,-3411,0.05,0.05,-3061.0,5954,,,-4122,-2.0,150008,2015年01月01日至2015年03月31日,3627,566,4966,2089,10221,-640,550966,753583,202617,202617,192396,42388,,,,,,0.05,0.05,3627,9581,,,-253.0,1135,412736,579495,-1339,-1523
2015-08-12,2,2015,,107,-496,6723,,-3742,149687,178841,-3496,0.18,0.18,-3742.0,-411,,,-574,-652.0,134977,2015年第2季,16379,12637,17710,14085,11242,4726,586985,787466,200481,200481,189239,54262,,,,,,0.18,0.18,16379,15968,,,-299.0,927,437298,608625,-1331,-1448
2015-11-10,3,2015,,-395,1210,8963,,9288,139924,176695,11424,0.2,0.2,9288.0,3659,,,-148,-428.0,199270,2015年第3季,22985,32273,20178,29175,17642,9002,729869,991975,262106,262106,244464,45194,,,,,,0.2,0.2,22985,26644,,,1313.0,1023,589945,815280,2807,3098
2016-03-23,4,2015,-19595.0,8,-3922,33311,13593.0,-19234,586933,701957,1814,0.65,0.65,361.0,16382,670.0,,-7369,-775.0,694865,2015年度,64882,45648,65417,46615,64122,17142,2954744,3903721,948977,948977,884855,189990,-24120.0,,11312.0,,,0.65,0.65,64882,81264,-3855.0,,686.0,4878,2356499,3188171,-535,-967
