date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,324144,,15003,17973,474377,137579,0.18,,,,43566,12654.0,24086,,72744,2013年01月01日至2013年03月31日,,217806,692183,165752,517796,215782,45590,5479937,5981395,501458,501458,285676,13540,,,0.18,,199392,217806,261372,,,,11472,52054,174387.0
2013-08-13,2,2013,,58702,,37715,6122,151118,36321,0.61,0.61,,,166121,56095.0,42531,,69896,2013年04月01日至2013年06月30日,,610603,761721,553454,679224,697504,79220,6089619,7093569,1003950,1003950,306446,18027,,,0.61,0.61,218523,610603,776724,,,,7148,57149,82497.0
2013-11-12,3,2013,,38034,,-16610,63425,-27296,-78069,0.73,0.73,,,110614,12739.0,38484,,68754,2013年07月01日至2013年09月30日,,722105,694809,660412,626638,756478,76241,5522942,6591330,1068388,1068388,311910,18590,,,0.73,0.73,224566,722105,832719,,,,9058,61693,68171.0
2014-03-25,4,2013,,695891,,34713,366168,955701,144307,2.15,,,,447017,136363.0,218658,,277567,2013年01月01日至2013年12月31日,,2161270,3116971,1950675,2647093,2025273,583014,23038625,26288575,3249950,3249950,1224677,66444,,2278.0,2.15,,880666,2161270,2608287,,23138.0,,36525,210595,469878.0
2014-05-13,1,2014,,-171911,,7551,13446,-172314,112656,0.14,,,,37415,-136216.0,-6113,,71805,2014年01月01日至2014年03月31日,,156209,-16105,131043,18195,185530,8094,5730792,6201713,470921,470921,285391,14195,,,0.14,,199391,156209,193624,,-23157.0,,6790,25166,-34300.0
2014-08-12,2,2014,,72712,,-33280,22750,-36332,-110601,0.05,0.05,,,204854,1876.0,91677,,71579,2014年第2季,,116363,80031,45244,2984,247875,73342,5594895,6120493,525598,525598,277723,14733,,,0.05,0.05,191411,116363,321217,,319.0,,7805,71119,77047.0
2014-11-13,3,2014,,-38780,,14022,126801,105698,103430,0.21,0.21,,,34360,49456.0,85062,,71012,2014年第3季,,248939,354637,189933,297632,66432,216867,6051003,6417824,366821,366821,300389,23606,,,0.21,0.21,205771,248939,283299,,8408.0,,9018,59006,57005.0
2015-03-24,4,2014,,15321,,6195,180512,148384,328215,0.31,,,,263247,-145974.0,156113,,287418,2014年度,,490681,639065,292518,439236,443861,310067,22747713,24340264,1592551,1592551,1148690,69927,,-70750.0,0.31,,791345,490681,753928,,-21572.0,,32753,198163,199829.0
2015-05-12,1,2015,,134552,,-21746,13166,73436,-68737,0.32,,,73436.0,60394,,89251,8468.0,73156,2015年第1季,,326806,400242,292522,332275,316490,70710,4403208,5008775,605567,605567,289077,9483,,,0.32,,206438,326806,387200,,,847.0,9961,34284,67967.0
2015-08-13,2,2015,,386339,176173.0,-11954,26625,300757,48644,0.96,,0.0,300757.0,194475,,176498,-134232.0,73805,2015年第2季,0.0,918302,1219059,869804,1042886,926403,186374,4744308,6010623,1266315,1266315,339912,10540,,,0.96,,255567,918302,1112777,,,-6.0,4795,48498,
2015-11-12,3,2015,,-546301,,27900,107097,-311684,210175,0.16,,,-311684.0,37512,,-251591,12250.0,63254,2015年第3季,,209955,-101729,143586,-3587,366749,-119282,4076386,4731722,655336,655336,288587,9263,,,,,216070,209955,247467,,,-12192.0,2688,66369,-98142.0
2016-03-24,4,2015,-22653.0,-60889,,-10326,166554,-164202,180376,1.62,,,-141549.0,332389,,23095,-290035.0,278655,2015年度,,1652077,1487875,1472319,1324895,1825518,158948,16983683,20024959,3041276,3041276,1215758,39837,-26396.0,,1.62,,897266,1652077,1984466,-3743.0,,-28999.0,20375,179758,162980.0
2016-05-12,1,2016,,-6395,,129371,7699,-141920,-203914,0.64,,,-141920.0,63575,,41865,75987.0,66243,2016年01月01日至2016年03月31日,,600518,458598,582319,447591,486452,177641,3772222,4570011,797789,797789,311337,10795,,,0.64,,234299,600518,664093,,,7598.0,1294,18199,11007.0
2016-08-11,2,2016,,-62008,31010.0,2425,71081,-107343,102450,0.36,,,-107343.0,153647,,96353,-139115.0,64302,2016年第2季,,377486,270143,324107,239133,361970,169163,3885207,4541295,656088,656088,294118,9749,,,0.36,,220067,377486,531133,,,8670.0,696,53379,
2016-11-08,3,2016,,405197,,-29779,80836,245703,-154142,0.63,,,245703.0,111124,,174576,-13916.0,66961,2016年第3季,,629544,875247,571867,682345,516136,224532,4181963,5004150,822187,822187,306051,10259,,,0.63,,228831,629544,740668,,,-8564.0,1101,57677,192902.0
