date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,,-1692,40168,,63328,63328,0.39,,40646,-198,,194033,2013年01月01日至2013年03月31日,471,90095,153423,88974,152526,93600,37141,3102461,3618914,516453,515982,422382,40646.0,104589,,,0.38,123760,90095,130741,,,1137,10091,,3648323,3618914,19318,1121,897
2013-08-08,2,2013,,0.0,,16066,41727,0.0,45826,45826,0.85,,57512,-155,,205809,2013年04月01日至2013年06月30日,-335,196546,242372,197080,231536,197393,56665,3352222,4010798,658576,658911,461518,,102656,,,0.84,153053,196546,254058,,,973,13182,4029920.0,4029920,4010798,5940,-534,10836
2013-11-07,3,2013,,0.0,23554.0,-8220,86532,,-1653,-25207,0.49,,46222,236,,229506,2013年07月01日至2013年09月30日,-885,111388,109735,112220,111425,80169,77441,3427922,3991023,563101,563986,483817,,103929,,,0.48,150382,111388,157610,,,1107,8969,4015488.0,4015488,3991023,15496,-832,-1690
2014-03-17,4,2013,,0.0,325554.0,13778,242858,,453423,118392,2.14,,155305,369,,831974,2013年01月01日至2013年12月31日,-772,497412,950835,494549,936958,399952,252765,13138848,15371621,2232773,2233545,1833593,,422338,,9477.0,2.11,579281,497412,652717,,0.0,4240,47034,15460374.0,15460374,15371621,41719,2863,13877
2014-04-28,1,2014,,0.0,396841.0,48059,67668,,390575,-6266,0.44,,40564,422,,190935,2014年01月01日至2014年03月31日,224,90212,480787,102662,494403,15658,115118,3025788,3488548,462760,462536,446878,,103979,,,0.43,151964,90212,130776,,0.0,1031,8387,3512987.0,3512987,3488548,16052,-12450,-13616
2014-08-07,2,2014,,0.0,284170.0,-16924,44751,0.0,246492,-37678,0.29,,29523,340,,213653,2014年第2季,-27,57105,303597,67419,313142,59563,27065,3569217,4095460,526243,526270,466707,,112358,,,0.29,140696,57105,86628,,,1102,9768,4111591.0,4111591,4095460,6363,-10314,-9545
2014-10-30,3,2014,,0.0,121918.0,19028,87728,,168418,46500,0.7,,33957,6,,212465,2014年第3季,84,171069,339487,165054,339451,99436,105590,3867442,4444393,576951,576867,477431,,112251,,,0.7,152715,171069,205026,,,1172,7588,4453386.0,4453386,4444393,1405,6015,36
2015-03-19,4,2014,,0.0,1104516.0,96986,257841,,1188351,81944,1.71,,135812,1055,,824828,2014年度,50,410009,1598360,401263,1585906,194820,351001,13705924,15774260,2068336,2068286,1873466,,443684,,2278.0,1.7,604954,410009,545821,,387.0,4881,36841,15844822.0,15844822,15774260,33721,8746,12454
2015-05-04,1,2015,,0.0,65781.0,90581,28797,,43693,-22088,0.1,43693.0,18227,-718,,170410,2015年01月01日至2015年03月31日,-151,16596,60289,22822,67264,-81915,116738,3061763,3407221,345458,345609,427524,,116870,,,0.1,140244,16596,34823,,,1922,9038,3425466.0,3425466,3407221,9207,-6226,-6975
2015-08-06,2,2015,,0.0,480164.0,1401,48535,0.0,430437,-49727,-0.23,430437.0,4694,-2114,,159331,2015年第2季,582,-58612,371825,-53505,396234,-99881,45963,3047489,3377114,329625,329043,428924,,114875,,,-0.23,154718,-58612,-53918,,,1859,8890,3396748.0,3396748,3377114,10744,-5107,-24409
