date,season,year,不動產、廠房及設備減損迴轉利益,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分不動產、廠房及設備損失,財務成本淨額,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,6764,,,-6677.0,32600,,,39277,0.98,,,,32977,38856,2013年01月01日至2013年03月31日,63097,95697,63097,95697,,99540,-3466,783456,971890,188434,188434,88894,,5301,,,0.98,44737,63097,96074,,,,10230,,,,4299.0,,976880.0,971890,691.0,0.0,
2013-08-13,2,2013,,,1659,,,-4375.0,21361,,,25736,1.1,,,,46372,55326,2013年04月01日至2013年06月30日,77063,98424,77063,98424,,131095,-7660,934913,1188476,253563,253563,122468,,5475,,,1.1,61667,77063,123435,,,,9319,,,,5011.0,,1195837.0,1188476,2350.0,0.0,
2013-11-12,3,2013,,,-5517,,,5455.0,-10383,,,-15838,1.77,,,,-14226,53176,2013年07月01日至2013年09月30日,123642,113259,123642,113259,,122713,-13297,889038,1105719,216681,216681,93968,,1262,,,1.66,39530,123642,109416,,,,7780,,,,2606.0,,1117822.0,1105719,9497.0,0.0,
2014-03-17,4,2013,,,7192,,,-5279.0,77459,,,84672,5.39,,,,105453,197097,2013年01月01日至2013年12月31日,376787,454246,376787,454246,,506533,-24293,3664921,4568214,903293,903293,396760,,25856,,-1934.0,5.34,173807,376787,482240,,,,31485,,,3664921.0,16303.0,,4598740.0,4568214,14223.0,0.0,
2014-05-12,1,2014,,,5817,,,0.0,-1338,,,-1338,1.34,,,,58871,50138,2014年01月01日至2014年03月31日,97085,95747,97085,95747,,158093,-2137,1003717,1260034,256317,256317,98224,,3310,,,1.33,44776,97085,155956,,,,7954,,,1003717.0,3462.0,,1264923.0,1260034,1427.0,0.0,
2014-08-12,2,2014,,,8064,,,,-39530,,,-39530,1.49,,,,51378,56505,2014年第2季,108395,68865,108395,68865,,159261,512,1064996,1332870,267874,267874,108613,51378.0,8627,,,1.49,43481,108395,159773,,0.0,,7552,,1064996.0,1064996.0,6627.0,1342980.0,1342980.0,1332870,3483.0,,
2014-11-11,3,2014,,,2450,,,,54517,,,54517,1.34,,,,28029,55162,2014年第3季,97347,151864,97347,151864,,129560,-4184,1028858,1265508,236650,236650,107090,28029.0,10439,,,1.34,41489,97347,125376,,0.0,,6634,,1028858.0,1028858.0,6418.0,1275130.0,1275130.0,1265508,3204.0,,
2015-03-16,4,2014,,,20951,,,-320.0,88275,,,86715,5.79,,,,175805,222049,2014年度,420152,508427,420152,508427,,598788,-2831,4304554,5343991,1039437,1039437,440649,175805.0,33673,,1880.0,5.78,184927,420152,595957,,0.0,,23782,,4304554.0,4304554.0,22114.0,5376982.0,5376982.0,5343991,10877.0,,
2015-05-12,1,2015,,,34595,,,,-24429,,,-24429,2.08,,,-24429.0,42680,62549,2015年01月01日至2015年03月31日,150792,126363,150792,126363,,164913,28559,1206484,1489941,283457,283457,118544,,7697,,,2.08,48298,150792,193472,,,,6036,,,1206484.0,4652.0,,1498416.0,1489941,3823.0,0.0,
2015-08-11,2,2015,,,6752,,,,-38128,,,-38128,2.19,,,-38128.0,62596,43565,2015年第2季,159271,121143,159271,121143,,221469,398,1181511,1513101,331590,331590,110121,,6878,,,2.19,59678,159271,221867,,,,6354,,,1181511.0,4239.0,,1528839.0,1513101,11499.0,0.0,
