date,season,year,不動產、廠房及設備減損迴轉利益,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,其他利息收入,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,分期付款銷貨收入,利息收入合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,天然氣銷貨成本（天然氣業）,天然氣銷貨收入（天然氣業）,專櫃銷貨收入（百貨業適用）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,投資性不動產減損迴轉利益,投資收入（投資公司適用）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－其他,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,採用權益法認列關聯企業及合資之權益工具投資利益(損失),推銷費用合計,旅遊服務收入合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損迴轉利益合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本,租賃成本合計,租賃收入,租賃收入合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分無形資產損失,財務成本淨額,重估增值,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,,,0,15637,2537,30599,10467,7930,0,,103823,0,2537,0,85965,0.35,,0,0,0,0,,21338,,0,,,2221.0,2221.0,,,21579,-21579,,,,152315,0,2013年01月01日至2013年03月31日,0,120200,224023,,83740,146650,30599,0,132636,8902,1305256,1643325,338069,338069,205433,1498,,,7323,7323,,9570,51620,120200,141538,,,,,,,,10585,,,1297933,1297933,0,1633755,1633755,1633755,0,0.0,36460,77373
2013-08-13,2,2013,,,,-24671.0,0,4789,0,25835,2308,2308,0,,-72275,0,0,0,-77757,0.33,1507.0,0,0,0,0,,26912,,0,,,693.0,0.0,693.0,16083.0,0,16083,,,,146261,0,2013年04月01日至2013年06月30日,0,92377,20102,,78672,47805,0,0,82394,36895,1126751,1426197,299446,299446,217052,1618,,,7295,7295,10498.0,10498,69173,92377,119289,,,,,343.0,,,7331,,,1119456,1119456,0,1415699,1415699,1415699,0,0.0,13705,-27703
2013-11-12,3,2013,,,,-24749.0,0,14106,1274,16213,6245,0,0,,-30494,0,1274,0,-43102,0.41,-1146.0,0,0,0,0,,31495,,0,,,-1498.0,0.0,-1498.0,-8925.0,0,-8925,,,,173911,0,2013年07月01日至2013年09月30日,0,122811,92317,,96349,87909,0,0,149577,4729,1226871,1592991,366120,366120,216543,1537,,,7255,7255,10943.0,10943,41095,122811,154306,4971.0,,,,7390.0,,0.0,8804,,,1219616,1219616,0,1582048,1582048,1582048,0,0.0,26462,4408
2014-03-26,4,2013,,,,-76446.0,0,50843,0,103452,12565,0,0,0.0,-20455,0,6761,0,-91199,1.11,0.0,0,0,0,0,,167473,,0,,,2132.0,0.0,2132.0,0.0,1058,-1058,,,,621185,0,2013年01月01日至2013年12月31日,0,363223,342768,,263475,295460,27006,0,445796,84900,4688234,5996151,1307917,1307917,862121,6107,,17769.0,27878,27878,41961.0,41961,234829,363223,530696,5804.0,,,,0.0,,0.0,30059,,6761.0,4660356,4660356,0,5954190,5954190,5954190,0,0.0,99748,47308
2014-05-13,1,2014,,,,,0,-8915,2856,0,14343,11487,0,,96724,0,2856,0,101605,0.36,,0,0,0,0,,48365,,0,,,3665.0,3665.0,,,5853,-5853,,,,148714,0,2014年01月01日至2014年03月31日,0,127870,224594,,85357,134380,0,0,177191,-956,1119594,1498954,379360,379360,202169,1639,,369.0,6265,6265,,10950,51816,127870,176235,,,,,,,,9446,,,1113329,1113329,0,1488004,1488004,1488004,0,0.0,42513,90214
2014-08-13,2,2014,,,,-21092.0,0,13863,0,18513,3691,3691,0,,3005,0,0,0,-7807,0.29,-1922.0,0,0,0,0,,49917,,0,,,-2894.0,0.0,-2894.0,-21734.0,0,-21734,,,,167880,0,2014年第2季,0,90980,93985,,67927,107267,0,0,146854,-5957,1201783,1577945,376162,376162,229308,1595,,-157.0,6298,6298,10951.0,10951,59833,90980,140897,,,,,657.0,,,6427,,,1195485,1195485,0,1566994,1566994,1566994,0,0.0,23053,-13282
2014-11-13,3,2014,,,,-7711.0,0,5717,3576,9173,10812,0,0,,76870,0,3576,0,69759,0.17,6154.0,0,0,0,0,,31816,,0,,,1393.0,0.0,1393.0,-8883.0,0,-8883,,,,193012,0,2014年第3季,0,48462,125332,,41433,91559,0,0,75752,4526,1117555,1437274,319719,319719,243967,1582,,1.0,6277,6277,10951.0,10951,49373,48462,80278,7236.0,,,,4692.0,,0.0,6576,,,1111278,1111278,0,1426323,1426323,1426323,0,0.0,7029,33773
2015-03-30,4,2014,,,,-55781.0,0,-726,0,70096,23252,0,0,0.0,182124,0,13722,0,186586,1.12,15202.0,0,0,0,0,,172115,,0,,,8284.0,0.0,8284.0,0.0,38227,-38227,,,,680761,0,2014年度,0,361118,543242,,266931,401692,0,0,504709,28524,4869090,6296547,1427457,1427457,922748,6766,,-12020.0,25943,25943,43818.0,43818,235221,361118,533233,9530.0,,,,887.0,,0.0,26597,,13722.0,4843147,4843147,0,6252729,6252729,6252729,0,0.0,94187,141550
2015-05-13,1,2015,,,-42.0,,0,6363,4793,66438,44200,39407,0,,13060,0,4793,0,7854,0.5,,0,0,0,0,13102.0,53655,,0,,0.0,,,,,32372,-32372,-1115.0,,0.0,164298,0,2015年01月01日至2015年03月31日,0,203231,216291,,118298,130152,0,0,184677,72209,1253800,1654449,400649,400649,215972,1501,-42.0,,6355,6355,,10998,50173,203231,256886,,,,,,66438.0,,6057,,,1247445,1247445,0,1643451,1643451,1643451,0,0.0,84933,86139
2015-08-13,2,2015,,0.0,-149.0,-7403.0,0,1165,0,1419,4052,4052,0,,-116807,0,0,0,-116142,0.36,-4158.0,0,0,0,0,-116658.0,43858,,0,0.0,0.0,,,,-14113.0,0,-14113,-1681.0,-1681.0,0.0,153806,0,2015年第2季,0,113211,-3596,0.0,84660,15571,0,0,168494,-11425,1265316,1650888,385572,385572,217078,1723,-149.0,,6212,6212,11205.0,11205,61549,113211,157069,,0.0,0.0,,464.0,-1362.0,,2783,0.0,,1259104,1259104,0,1639683,1639683,1639683,0,0.0,28551,-19167
2015-11-12,3,2015,,,3.0,7725.0,0,-21050,12101,11538,16333,0,0,,2918,0,12101,0,17235,0.47,19638.0,0,0,0,0,2915.0,50274,,0,,0.0,,,,-1739.0,0,-1739,6730.0,6730.0,0.0,182000,0,2015年第3季,0,155462,158380,,111976,124038,0,0,182414,23322,1368706,1801487,432781,432781,250367,1794,3.0,,6191,6191,11010.0,11010,66573,155462,205736,4232.0,,,526.0,0.0,-901.0,0.0,2810,,,1362515,1362515,0,1790477,1790477,1790477,0,0.0,43486,34342
2016-03-30,4,2015,,,-35062.0,136242.0,0,-14157,0,-56725,22340,0,0,,-128058,0,16121,0,-83140,1.12,14856.0,0,0,0,0,-92996.0,146177,,0,,0.0,,,,0.0,63919,-63919,4301.0,4301.0,0.0,656584,0,2015年度,0,459738,331680,,266646,188977,0,0,719246,-113331,5002047,6632768,1630721,1630721,911475,6780,-35062.0,,25009,25009,44218.0,44218,248111,459738,605915,6219.0,,,878.0,0.0,63783.0,0.0,15027,,16121.0,4977038,4977038,0,6588550,6588550,6588550,0,0.0,193092,142703
2016-05-12,1,2016,,,0.0,,0,-6175,3296,0,10593,7297,0,,-14359,0,3296,0,-6672,0.37,,0,0,0,0,-14359.0,18692,,0,,0.0,,,,,12432,-12432,-1512.0,,0.0,152933,0,2016年01月01日至2016年03月31日,0,122961,108602,,88980,71736,0,0,145828,-4175,1191232,1547878,356646,356646,210818,1942,0.0,,6376,6376,,11023,55943,122961,141653,,,,,,0.0,,2336,,,1184856,1184856,0,1536855,1536855,1536855,0,0.0,33981,36866
2016-08-12,2,2016,13586.0,0.0,-5098.0,-21557.0,0,5407,0,38726,6550,6550,0,,17915,0,0,0,17585,0.42,1716.0,0,0,0,0,23013.0,41838,1908.0,0,0.0,0.0,,,,0.0,15259,-15259,21.0,21.0,0.0,163532,0,2016年第2季,0,131753,149668,0.0,98720,112966,15494,0,145989,27602,1133917,1563041,429124,429124,283135,2122,-5098.0,,6372,6372,11207.0,11207,117481,131753,173591,,0.0,0.0,,41.0,0.0,,2415,0.0,,1127545,1127545,0,1551834,1551834,1551834,0,0.0,33033,36702
2016-11-11,3,2016,,,26.0,-9057.0,0,10181,4274,6243,11780,0,0,,-43489,0,4274,0,-51036,0.47,-4425.0,0,0,0,0,-43515.0,63215,,0,,0.0,,,,-4635.0,0,-4635,-2660.0,-2660.0,0.0,172864,0,2016年第3季,0,168902,125413,,111277,82032,0,0,221987,10130,1176633,1641204,464571,464571,242584,1989,26.0,,6360,6360,11027.0,11027,67731,168902,232117,7506.0,,,445.0,0.0,1166.0,0.0,3258,,,1170273,1170273,0,1630177,1630177,1630177,0,,57625,43381
