date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,處分不動產、廠房及設備損失,處分投資性不動產利益,財務成本淨額,金融資產重分類淨損益,銷貨成本合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-04,1,2013,,430,617.0,10362,3258,1118,,,8360,2140,657,7743,0.84,0.0,,11284,,110651,2013年01月01日至2013年03月31日,0.0,58111,66471,56906,63595,56432,12963,194745,397862,203117,203117,146685,,,,36034,58111,69395,,45.0,10837.0,657,,194745.0,397862.0,,1205,2876
2013-08-11,2,2013,,225,-307.0,-225,2801,695,,,5472,2106,1130,5779,0.52,,,-9907,,99595,2013年04月01日至2013年06月30日,,-37772,-32300,-34764,-27635,-49125,1446,147462,255015,107553,107553,156678,,,0.51,57083,-37772,-47679,,,0.0,1130,,147462.0,255015.0,,-3008,-4665
2013-11-06,3,2013,,804,-783.0,-804,8719,7704,,,-5665,1015,1181,-4882,-0.9,,,9548,,133085,2013年07月01日至2013年09月30日,,-61746,-67411,-60718,-68085,-58932,6734,155296,249704,94408,94408,153340,,,-0.9,20255,-61746,-52198,,,0.0,1181,,,,,-1028,674
2014-02-22,4,2013,,3885,-1214.0,6949,19876,13753,,,9714,6123,5382,17537,-0.54,,,13755,,479071,2013年01月01日至2013年12月31日,,-42904,-33190,-36539,-29403,-50592,21443,693776,1296755,602979,602979,653571,,-6609.0,-0.54,174500,-42904,-29149,,,10834.0,5382,,,,,-6365,-3787
2014-05-03,1,2014,,972,1092.0,-1008,4243,2337,,,-417,1906,1948,-1509,0.24,,,7961,,155451,2014年01月01日至2014年03月31日,,13714,13297,16528,16256,20388,1287,267541,495682,228141,228141,207753,,,,52302,13714,21675,,36.0,0.0,1948,,267541.0,495682.0,,-2814,-2959
2014-08-01,2,2014,,920,2225.0,-16937,7593,6850,,,-4402,743,1740,-6627,-0.49,,,318,,143871,2014年第2季,,-46365,-50767,-32825,-36717,-34963,-11084,221552,368202,146650,146650,181613,,,-0.49,37742,-46365,-46047,,16017.0,0.0,1740,,221552.0,368202.0,,-13540,-14050
2014-11-10,3,2014,,4124,-1611.0,-8330,5935,1653,,,6704,4282,5078,8315,-1.26,,,-4729,,129100,2014年第3季,,-87805,-81101,-84951,-78873,-85061,-7473,196523,263547,67024,67024,152085,,,-1.26,22985,-87805,-92534,,4206.0,0.0,5078,,,,,-2854,-2228
2015-02-09,4,2014,,15965,1706.0,-36701,17247,12296,,2348.0,9128,4951,8296,12278,-1.09,,,5859,,569252,2014年度,,-98600,-89472,-73815,-65471,-64991,-27750,919484,1573905,654421,654421,719412,,-7204.0,-1.09,150160,-98600,-92741,,20736.0,0.0,8296,,,,,-24785,-24001
2015-05-01,1,2015,,652,0.0,-735,3148,1340,0.0,,-4170,1808,2476,-4170,0.67,,-4170.0,11608,0.0,166587,2015年第1季,,39839,35669,44989,41081,51510,-63,273561,525611,252050,252050,200540,,,,33953,39839,51447,,83.0,,2476,0.0,273561.0,525611.0,0.0,-5150,-5412
2015-08-10,2,2015,,1080,0.0,-1129,7524,5350,0.0,,-4710,2174,3851,-4710,-0.21,,-4710.0,3332,0.0,152884,2015年第2季,,-16928,-21638,-14094,-18532,-16140,2544,206609,374792,168183,168183,184323,,,,31439,-16928,-13596,,49.0,,3851,0.0,206609.0,374792.0,0.0,-2834,-3106
