date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息費用,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,4396,,,4991,6913,23077,1379.0,146316,422170,16766,1.27,1.27,,31658,,1915.0,25182,,2013年01月01日至2013年03月31日,186971,210048,186971,210048,182922,35707,361932,877797,515865,515865,332943,,,1.27,1.27,186971,218629,,,1379,215616,455627,,
2013-08-09,2,2013,,-16486,,,7422,6991,-73702,1370.0,148163,378278,-69053,0.41,0.41,,29958,,11837.0,-41227,,2013年04月01日至2013年06月30日,60299,-13403,60299,-13403,118441,-28184,360735,803340,442605,442605,324164,,,0.41,0.41,60299,90257,,,1370,212572,425062,,
2013-11-07,3,2013,,7694,,,1953,7713,-3945,1389.0,151066,388917,-11270,0.65,0.65,,26397,,-369.0,-32735,,2013年07月01日至2013年09月30日,95752,91807,95752,91807,146607,-24458,376134,849737,473603,473603,326996,,,0.65,0.65,95752,122149,,,1389,225068,460820,,
2014-03-20,4,2013,,-7694,,,-13854,30124,-25724,5396.0,582471,1515718,-21855,2.69,2.69,,113034,,4511.0,-83650,,2013年01月01日至2013年12月31日,396115,370391,396115,370391,581925,-72776,1432991,3278270,1845279,1845279,1263354,,-826.0,2.69,2.69,396115,509149,,-140.0,5396,850520,1762552,,
2014-05-08,1,2014,,9891,,,7869,8583,17803,1094.0,139953,380372,6408,1.47,1.47,,34572,,1504.0,45360,,2014年01月01日至2014年03月31日,217252,235055,217252,235055,191106,60718,356499,859905,503406,503406,312300,,,1.47,1.47,217252,251824,,,1094,216546,479533,,
2014-08-12,2,2014,,-3297,,,-10521,8693,-1172,,138252,337153,-3511,0.53,0.53,,18194,,5636.0,-19848,,2014年第2季,78695,77523,78695,77523,119578,-22689,344167,779265,435098,435098,315520,,,0.53,0.53,78695,96889,,,1013,205915,442112,,
2014-11-11,3,2014,,-9891,,,8249,8050,-10145,1056.0,142374,352483,603,1.21,1.21,,27407,,-857.0,43455,,2014年第3季,178925,168780,178925,168780,147634,58698,351187,811014,459827,459827,312193,,,1.21,1.21,178925,206332,,,1056,208813,458531,,
2015-03-26,4,2014,,24477,0.0,0.0,8954,32593,75597,4026.0,553136,1386643,22286,4.4,4.4,,110387,,28006.0,90276,,2014年度,648235,723832,648235,723832,630825,127797,1380771,3233820,1853049,1853049,1222224,,998.0,4.4,4.4,648235,758622,,170.0,4026,827635,1847177,0.0,0.0
2015-05-07,1,2015,,79087,,,15383,7217,85680,762.0,135214,373838,-394,2.45,2.45,85680.0,40491,,,136026,6987.0,2015年01月01日至2015年03月31日,360403,446083,360403,446083,243030,157864,339801,880080,540279,540279,297249,,,2.45,2.45,360403,400894,,,762,204587,506242,,
2015-08-12,2,2015,,-100552,,,75916,8112,-114522,684.0,134869,302512,-562,1.86,1.86,-114522.0,28887,,,83853,-13408.0,2015年第2季,273942,159420,273942,159420,135632,167197,317756,734152,416396,416396,280764,,,1.86,1.86,273942,302829,,,684,182887,431640,,
2015-11-10,3,2015,,-6351,,,34905,7436,-3830,606.0,140386,319385,2845,1.49,1.49,-3830.0,29580,,,71848,-324.0,2015年第3季,219180,215350,219180,215350,135177,113583,332721,766498,433777,433777,298600,,,1.49,1.49,219180,248760,,,606,192335,447113,,
2016-03-29,4,2015,-21434.0,-23195,,,124180,29952,-38105,2578.0,544159,1288105,6168,6.79,6.79,-16671.0,116890,-6688.0,,347675,356.0,2015年度,1000285,962180,1000285,962180,617946,499229,1299170,3080924,1781754,1781754,1163808,-17766.0,,6.79,6.79,1000285,1117175,-3020.0,,2578,755011,1792819,,
2016-05-06,1,2016,,5541,,,-10817,7657,5160,,131389,332302,-817,1.48,1.48,5160.0,30090,,,67965,436.0,2016年01月01日至2016年03月31日,217303,222463,217303,222463,183016,64377,297827,766764,468937,468937,285921,,,1.47,1.47,217303,247393,,,428,166438,434462,,
2016-08-09,2,2016,,-5300,,,1624,7093,-8376,,134022,298533,-340,1.32,1.32,-8376.0,52421,,,100149,-2736.0,2016年第2季,194239,185863,193782,185406,138103,108557,308163,718055,409892,409892,271789,,,1.32,1.32,194239,246660,,,309,174141,419522,457.0,457.0
2016-11-08,3,2016,,-1446,,,-12095,6306,-3634,,140724,329913,-2004,1.09,1.09,-3634.0,21570,,,53551,-184.0,2016年第3季,161182,157548,161172,157538,135181,47571,323111,742516,419405,419405,284224,,,1.09,1.09,161182,182752,,,191,182387,412603,10.0,10.0
