date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,重估增值,金融資產重分類淨損益,銀行存款利息,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）
2013-04-29,1,2013,,,2668.0,0.0,-7218.0,,8589,615,297.0,-2227.0,10.0,2140,,,4991.0,0.04,0.04,10812.0,,,,0.0,,,,,11060,2013年01月01日至2013年03月31日,,5671,3444,,5671,3444,-1393,7064,282408,324492,42084,42084,43477,,11181,,308.0,0.04,0.04,21236,5671,5671,,,445.0,2140,,,,10.0,282408,282408,324492,324492,324492,
2013-08-07,2,2013,,,1490,0,0,,-139,7562,5534,1863,1739,2190,,,1863,0.00,0.00,1327,,,,0,,,,,13218,2013年04月01日至2013年06月30日,,-834,1029,,-834,1029,-6067,5233,360355,417723,57368,57368,63435,,15545,,289,0.00,0.00,34672,-834,-834,,,24,2190,,,,1739,360355,360355,417723,417723,417723,
2013-11-07,3,2013,,,,0.0,0.0,,-8191,6993,,-1211.0,,2137,,,-1211.0,0.02,0.02,,,0.0,,,,,,,11930,2013年07月01日至2013年09月30日,0.0,2868,1657,,2868,1657,6203,-3335,362261,419618,57357,57357,51154,,11669,,,0.02,0.02,27555,2868,2868,,,,2137,,,,,362261,362261,419618,419618,419618,
2014-03-13,4,2013,,,,0.0,-158.0,,-43475,8879,,5315.0,,8478,,,5473.0,-1.46,-1.46,,,0.0,,0.0,,,,,91503,2013年01月01日至2013年12月31日,0.0,-197649,-192334,,-197649,-192334,-154575,-43074,1437863,1541741,103878,103878,258453,,52605,,,-1.46,-1.46,114345,-197649,-197649,,,,8478,,,,,1437863,1437863,1541741,1541741,1541741,
2014-05-14,1,2014,,,64.0,0.0,0.0,,8308,2290,1376.0,0.0,601.0,2012,,,0.0,0.17,0.17,7772.0,,,,0.0,,,,,9673,2014年01月01日至2014年03月31日,,22962,22962,,22962,22962,14376,8586,290860,349775,58915,58915,44539,,10668,,313.0,0.17,0.17,24198,22962,22962,,,600.0,2012,,,,601.0,290860,290860,349775,349775,349775,
2014-08-13,2,2014,,,9.0,0.0,0.0,,-8112,2779,2081.0,0.0,384.0,2096,,,0.0,0.03,0.03,-8103.0,,,,0.0,,,,,10181,2014年第2季,,3700,3700,,3700,3700,11129,-7429,374148,431320,57172,57172,46043,,12214,,314.0,0.03,0.03,23648,3700,3700,,,0.0,2096,,,,384.0,374148,374148,431320,431320,431320,
2014-10-30,3,2014,,,,0.0,0.0,,8391,1433,,0.0,,1969,,,0.0,0.05,0.05,,,0.0,,,,,,,12954,2014年第3季,0.0,3900,3900,,3900,3900,-3955,7855,339116,387932,48816,48816,52771,,13397,,,0.05,0.05,26420,3900,3900,,,,1969,,,,,339116,339116,387932,387932,387932,
2015-03-23,4,2014,,,,0.0,99.0,,16804,9694,,99.0,,8015,,,0.0,0.57,0.57,,,0.0,,0.0,,,,,46917,2014年度,0.0,48452,48551,,48452,48551,29969,18483,1393189,1632704,239515,239515,209546,,51955,,,0.56,0.56,110674,48452,48452,,,,8015,,,,,1393189,1393189,1632704,1632704,1632704,
2015-05-07,1,2015,0.0,0.0,114.0,0.0,0.0,,-3656,851,289.0,0.0,237.0,1475,0.0,0.0,0.0,0.27,0.27,-4892.0,,,0.0,0.0,0.0,0.0,,0.0,9030,2015年01月01日至2015年03月31日,,22793,22793,0.0,22793,22793,27073,-4280,365007,434547,69540,69540,42467,0.0,11024,0.0,325.0,0.27,0.27,22413,22793,22793,0.0,0.0,1350.0,1475,,0.0,,237.0,365007,365007,434547,434547,434547,
2015-08-06,2,2015,,,2276.0,0.0,,,-5312,1101,308.0,,468.0,1903,,,,-1.32,-1.32,-3848.0,,,,0.0,,,,,144651,2015年第2季,,-112574,-112574,,-112574,-112574,-106460,-6114,351462,423556,72094,72094,178554,,11505,,325.0,-1.32,-1.32,22398,-112574,-112574,,,572.0,1903,240.0,,,468.0,351462,351462,423556,423556,423556,
2015-11-06,3,2015,,,1138.0,0.0,,,16789,1742,1251.0,,316.0,3343,,,,0.45,0.45,20069.0,,,,0.0,,,,,8457,2015年第3季,,38295,38295,,38295,38295,23107,15188,356979,421864,64885,64885,41778,,11175,,175.0,0.37,0.37,22146,38295,38295,,,48.0,3343,-2190.0,,,316.0,356979,356979,421864,421864,421864,
