date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,,786,28308,3115,3115,32957,2433,0.58,0.58,,,39750,35999.0,-16178,132926,2013年01月01日至2013年03月31日,,189748,222705,186990,218583,214822,14676,3364345,3801138,436793,436793,221971,21131,,,0.58,0.58,67914,189748,229498,,6261.0,,569,3364345,3801138,2758,4122
2013-08-07,2,2013,,-1462,6106,5407,5407,16441,1754,0.49,0.49,,,39318,19584.0,-35670,93298,2013年04月01日至2013年06月30日,,154719,171160,156860,172320,218751,-24714,3041273,3430417,389144,389144,170393,20777,,,0.49,0.49,56318,154719,194037,,3435.0,,557,3041273,3430417,-2141,-1160
2013-11-05,3,2013,,-323,2282,3553,3553,-11989,-697,0.29,0.29,,,30275,-13267.0,-30106,104191,2013年07月01日至2013年09月30日,,88428,76439,92621,81021,144276,-25573,3495849,3826596,330747,330747,186471,21424,,,0.29,0.29,60856,88428,118703,,-2298.0,,1302,3495849,3826596,-4193,-4582
2014-03-13,4,2013,,632,48681,15706,15706,72147,64346,1.59,1.59,,,153931,,-213515,459998,2013年01月01日至2013年12月31日,,512776,584923,511982,581390,819484,-152777,13559569,15175038,1615469,1615469,795985,87613,,21171.0,1.59,1.59,248374,512776,666707,,14002.0,,3649,13559569,15175038,794,3533
2014-05-07,1,2014,,-120,24062,3496,3496,46,-352,0.52,0.52,,,50949,,-76835,130593,2014年01月01日至2014年03月31日,,166996,167042,166235,163719,268436,-50491,3464065,3950465,486400,486400,217964,22347,,,0.52,0.52,65024,166996,217945,,-518.0,,1214,3464065,3950465,761,3323
2014-08-08,2,2014,,-1360,-14870,4354,4354,-15108,-16507,0.13,0.13,,,44515,,-110880,141313,2014年第2季,-766.0,40185,25077,40694,25674,207040,-122340,3640557,4073703,433146,433912,226872,23250,,,0.13,0.13,62309,40185,84700,,-2759.0,,944,3640557,4073703,-509,-597
2014-11-07,3,2014,,1134,21411,3575,3575,15096,17460,0.23,0.23,0.0,,32770,,-80478,154563,2014年第3季,189.0,69664,84760,72633,89688,158902,-56468,3676573,4072280,395707,395518,236616,21933,,,0.23,0.23,60120,69664,102434,,3498.0,,976,3676573,4072280,-2969,-4928
2015-03-17,4,2014,,1421,79457,15089,15089,-27433,24806,1.36,1.36,692.0,,182424,,-358339,594179,2014年度,,421739,394306,435234,406321,871971,-267808,14380316,16182610,1802294,1802986,931015,91101,,-59569.0,1.35,1.35,245735,421739,604163,,-5909.0,,4015,14380316,16182610,-13495,-12015
2015-05-08,1,2015,,-555,-8753,4080,4080,-4806,-5051,0.4,0.4,268.0,-4806.0,42624,,-74716,151670,2015年01月01日至2015年03月31日,,125579,120773,128260,123653,248410,-80207,3409381,3890726,481345,481613,233203,23180,,,0.4,0.4,58353,125579,168203,,,-800.0,818,3409381,3890726,-2681,-2880
2015-08-07,2,2015,,-1600,-16939,5337,5337,-8315,-8089,0.35,0.35,159.0,-8315.0,39140,,-50166,142941,2015年第2季,,109544,101229,112519,104146,211238,-62554,3262627,3694171,431544,431703,220465,21843,,,0.35,0.35,55681,109544,148684,,,-1374.0,786,3262627,3694171,-2975,-2917
2015-11-11,3,2015,,-396,61714,5324,5324,25906,31818,-1.38,-1.38,0.0,25906.0,32834,,-620315,107354,2015年第3季,231.0,-440511,-414605,-442146,-415604,146587,-554264,2596543,2928460,331917,331686,185099,23011,,,-1.38,-1.38,54734,-440511,-407677,,,5516.0,987,2596543,2928460,1635,999
2016-03-15,4,2015,-57066.0,-5109,31911,19876,19876,-54126,10035,-0.29,-0.29,196.0,2940.0,147835,,-807026,453096,2015年度,,-90388,-144514,-91948,-144490,816362,-758915,11298251,12892092,1593841,1594037,777675,90297,-68754.0,,-0.29,-0.29,234282,-90388,57447,-11688.0,,1986.0,3676,11298251,12892092,1560,-24
2016-05-11,1,2016,,-1409,-5608,4285,4285,-1906,-530,0.69,0.69,0.0,-1906.0,51265,,-34161,67324,2016年01月01日至2016年03月31日,,227294,225388,221449,219680,315087,-36528,2480862,2948859,467997,467997,152910,22202,,,0.69,0.69,63384,227294,278559,,,-33.0,1044,2480862,2948859,5845,5708
2016-08-05,2,2016,,-2752,1601,3808,3808,-12747,-11669,1.02,1.02,0.0,-12747.0,74163,,-42065,68794,2016年第2季,,332815,320068,327878,316719,444934,-37956,2396389,2997542,601153,601153,156219,23051,,,1.02,1.02,64374,332815,406978,,,-1674.0,1300,2396389,2997542,4937,3349
2016-11-09,3,2016,,-2204,-12138,4148,4148,-21496,-22892,1.08,1.08,0.0,-21496.0,75396,,-11255,82194,2016年第3季,0.0,352587,331091,347291,327008,448283,-20300,2497019,3122162,625143,625143,176860,27212,,,1.08,1.08,67454,352587,427983,,,-3600.0,1055,2497019,3122162,5296,4083
