date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產減損損失,金融資產減損迴轉利益,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,-7992,82841,2988,645,0.0,122945,645,10038,40104,0.19,0.19,12723.0,0.0,,24587,,-2770.0,,-2770,,140361,2013年01月01日至2013年03月31日,,71900,194845,84337,191418,17127.0,,105662,-9175,1537298,1970668,433370,433370,327708,24587.0,80398,,,0.19,0.19,106949,71900,96487,,,,73.0,0.0,38.0,0.0,10038,0.0,711.0,17127.0,,645,1537298,1537298,2211.0,1981098,1981098,1970668,8219.0,-12437,3427
2013-08-13,2,2013,,-4869,-39255,28749,1692,,-20712,1692,10383,18543,0.34,0.34,25680.0,,,42522,,3907.0,0.0,3907,,195244,2013年04月01日至2013年06月30日,,167109,146397,160352,138716,0.0,,185666,23965,1725874,2282312,556438,556438,370772,42522.0,88539,,,0.34,0.34,86989,167109,209631,,,,127.0,,-1080.0,,10383,-847.0,,0.0,,1692,1725874,1725874,,2282312,2282312,2282312,,6757,7681
2013-11-14,3,2013,,-24264,144489,36325,43151,,130084,2017,9930,-14405,0.41,0.41,8359.0,,,36969,,2316.0,0.0,2316,,176143,2013年07月01日至2013年09月30日,,194847,324931,191839,322411,,17127.0,159954,71862,1683771,2222114,538343,538343,378389,36969.0,85960,,,0.4,0.4,116286,194847,231816,41134.0,,,198.0,,-14282.0,,9930,659.0,,,17127.0,2017,1683771,1683771,,2222114,2222114,2222114,,3008,2520
2014-03-27,4,2013,,-43331,225260,77703,46948,,297037,6096,42409,63542,1.24,1.24,65989.0,0.0,,122776,2440.0,2270.0,0.0,2270,,675139,2013年01月01日至2013年12月31日,,589229,886266,588161,867486,18270.0,0.0,627493,84512,6669666,8768980,2099314,2099314,1471821,122776.0,348378,,6981.0,1.24,1.24,448304,589229,712005,40852.0,,1186.0,,512.0,0.0,13342.0,42409,507.0,,18270.0,0.0,6096,6669666,6669666,,8768980,8768980,8768980,,1068,18780
2014-05-14,1,2014,,-12016,144158,26174,1612,0.0,149695,1612,13078,5537,0.4,0.4,8342.0,0.0,,39249,,8858.0,,8858,,161667,2014年01月01日至2014年03月31日,,198659,348354,191575,339256,0.0,,214342,23566,1771499,2342416,570917,570917,356575,39249.0,83037,,,0.4,0.4,111871,198659,237908,,,,37.0,0.0,11235.0,0.0,13078,0.0,5456.0,0.0,,1612,1771499,1771499,4208.0,2350861,2350861,2342416,4237.0,7084,9098
2014-08-13,2,2014,,-5001,106041,5970,1581,,78717,1581,12743,-27324,0.49,0.49,-641.0,,,70233,,-497.0,0.0,-497,,200845,2014年第2季,,252060,330777,245917,327128,0.0,,327982,-5689,2112761,2842628,729867,729867,401885,70233.0,94160,,,0.49,0.49,106880,252060,322293,,,,-617.0,,0.0,,12743,2227.0,,0.0,,1581,2112761,2112761,,2842628,2842628,2842628,,6143,3649
2014-11-13,3,2014,,-22764,-214389,14685,43739,,-184910,1609,14431,29479,0.3,0.3,-10070.0,,,24707,,0.0,6009.0,-6009,,187166,2014年第3季,,146131,-38779,147261,-40249,,,132854,37984,1862436,2395979,533543,533543,400689,24707.0,97157,,,0.3,0.3,116366,146131,170838,42130.0,,,155.0,,0.0,,14431,1836.0,,,,1609,1862436,1862436,,2395979,2395979,2395979,,-1130,1470
2015-03-26,4,2014,,-63146,21067,74659,50400,,70508,5246,53610,52857,1.16,1.16,3858.0,,,160124,1211.0,0.0,399.0,-399,,743696,2014年度,,588226,658734,578435,642764,2394.0,,677300,71050,7651988,9899878,2247890,2247890,1570590,160124.0,374965,,-5575.0,1.16,1.16,451929,588226,748350,45154.0,,-948.0,,1202.0,11235.0,0.0,53610,16.0,,2394.0,,5246,7651988,7651988,,9899878,9899878,9899878,,9791,15970
2015-05-14,1,2015,,-8655,-1511,5188,947,0.0,-23244,947,12765,-21733,0.29,0.29,0.0,12518.0,-23244.0,40163,,-5120.0,,-5120,,188289,2015年01月01日至2015年03月31日,40163.0,147829,124585,144852,122953,0.0,,199742,-11750,1860285,2432856,572571,572571,372829,,92482,,,0.29,0.29,92058,147829,187992,,,,10375.0,0.0,0.0,0.0,12765,,1324.0,0.0,,947,1860285,1860285,2838.0,2439792,2439792,2432856,4098.0,2977,1632
2015-08-13,2,2015,,-11949,18653,16825,2411,,348,1794,12907,-18305,0.22,0.22,7568.0,,348.0,18031,,-4363.0,0.0,-4363,,213018,2015年第2季,18031.0,118756,119104,114316,116428,0.0,,134821,1966,1920813,2464246,543433,543433,408612,,98745,,,0.22,0.22,96849,118756,136787,617.0,,,-37.0,,0.0,,12907,-2655.0,,0.0,,1794,1920813,1920813,,2464246,2464246,2464246,,4440,2676
