date,season,year,不重分類至損益之項目總額,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,可能重分類至損益之其他項目,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,銀行存款利息,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,,8204,5053,1279.0,2369,3609.0,,2369.0,0.68,,8183.0,,17790,53582,2013年01月01日至2013年03月31日,90749,93118,90749,93118,95282,13257,799190,1206909,407719,407719,312437,202746,,,165.0,0.67,,56109,90749,108539,1168.0,1189.0,,3609.0,,,0.0,0.0
2013-08-08,2,2013,,,,-2255,6013,,408,,,408.0,0.14,,,,4935,55243,2013年04月01日至2013年06月30日,18846,19254,18846,19254,20038,3743,975921,1290590,314669,314669,294631,187358,,,,0.14,,52030,18846,23781,,,15.0,,,,,
2013-11-07,3,2013,,,,-936,4455,,-1858,,,-1858.0,0.27,,,,7236,61109,2013年07月01日至2013年09月30日,36679,34821,36679,34821,40540,3375,1596856,1953276,356420,356420,315880,200343,,,,0.27,,54428,36679,43915,,,144.0,,,,,
2014-02-13,4,2013,,0.0,0.0,11497,20118,,1484,,,1441.0,2.16,,,,59178,234203,2013年01月01日至2013年12月31日,289204,290688,289204,290688,317048,31334,4576406,6176741,1600335,1600335,1283287,827450,,43.0,,2.15,,221634,289204,348382,,,281.0,,,,0.0,0.0
2014-05-09,1,2014,,,,2495,4293,,3454,,,3454.0,1.03,1.03,,,28867,48051,2014年01月01日至2014年03月31日,138434,141888,138434,141888,160531,6770,1200822,1673274,472452,472452,311921,210585,,,,1.03,1.03,53285,138434,167301,,,18.0,,,,,
2014-08-08,2,2014,,0.0,0.0,-5840,11424,,-2727,,,-2727.0,0.86,0.86,,,23310,66201,2014年第2季,114712,111985,114712,111985,132482,5540,1252961,1736024,483063,483063,350581,231184,,,,0.85,0.85,53196,114712,138022,,,44.0,,,,0.0,0.0
2014-11-07,3,2014,,,,4434,14803,,1159,,,1159.0,0.7,,,,19014,61873,2014年第3季,93338,94497,93338,94497,93125,19227,1464058,1924989,460931,460931,367806,250407,,,,0.69,,55526,93338,112352,,,10.0,,,,,
2015-02-12,4,2014,,,,-3020,41717,,9977,,,6011.0,3.27,3.27,,,75154,238992,2014年度,438443,448420,438443,448420,474972,38625,5066955,6952281,1885326,1885326,1410354,952969,,3966.0,,3.25,3.25,218393,438443,513597,,,72.0,,,,,
2015-05-08,1,2015,,,,-682,-3511,,-2117,,-2117.0,,0.83,0.83,,-2117.0,20455,67700,2015年01月01日至2015年03月31日,111140,109023,111140,109023,135797,-4202,1212183,1732477,520294,520294,384497,266752,,,,0.82,0.82,50045,111140,131595,,,9.0,,,1732477.0,,
2015-08-07,2,2015,,0.0,,3727,6675,,-2219,,,-2219.0,0.66,0.66,,-2219.0,19158,65409,2015年第2季,89079,86860,89079,86860,97842,10395,1441954,1947926,505972,505972,408130,288309,,,,0.66,0.66,54412,89079,108237,,,7.0,,1441954.0,1947926.0,0.0,
2015-11-06,3,2015,,0.0,,-3003,4893,,8980,,,8980.0,0.92,0.92,,8980.0,22821,77085,2015年第3季,123175,132155,123175,132155,144133,1863,1544955,2089825,544870,544870,400737,270774,,,,0.91,0.91,52878,123175,145996,,,27.0,,1544955.0,2089825.0,0.0,
2016-02-04,4,2015,-1813.0,0.0,0.0,6563,13301,,1765,,,3578.0,3.69,,,3578.0,88034,294828,2015年度,494240,496005,494240,496005,562453,19821,5568157,7762132,2193975,2193975,1631522,1125149,-1813.0,,,3.66,,211545,494240,582274,,,43.0,,,,0.0,0.0
2016-05-05,1,2016,,0.0,0.0,-11116,6919,,-1154,,,-1154.0,1.19,1.19,,-1154.0,31007,85531,2016年01月01日至2016年03月31日,159654,158500,159654,158500,194858,-4197,1579855,2220117,640262,640262,445404,306650,,,,1.19,1.19,53223,159654,190661,,,0.0,,,,0.0,0.0
2016-08-04,2,2016,,0.0,0.0,2323,4142,,2146,,,2146.0,0.75,,,2146.0,11943,95393,2016年第2季,100968,103114,100968,103114,106446,6465,1365742,1917910,552168,552168,445722,296224,,,,0.75,,54105,100968,112911,,,0.0,,,,0.0,0.0
2016-11-03,3,2016,,0.0,0.0,-5809,4643,,-4441,,,-4441.0,1.01,,,-4441.0,23193,95778,2016年第3季,134937,130496,134937,130496,159296,-1166,1795925,2388492,592567,592567,433271,285106,,,,1.0,,52387,134937,158130,,,0.0,,,,0.0,0.0
