date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-07-03,1,2013,,57515,-29275,24462,110876,53953,0.33,0.33,,50564,-592.0,-1468,,173908,2013年01月01日至2013年03月31日,106940,217816,106940,217816,176002,-18498,4466013,5196874,730861,730861,554859,230276,,,0.33,0.33,150675,106940,157504,12217,,
2013-08-12,2,2013,,-15810,-4781,35782,13818,28598,0.68,0.68,,42019,1030.0,-192,,169832,2013年04月01日至2013年06月30日,222833,236651,222833,236651,248610,16242,5064247,5845267,781020,781020,532410,241332,,,0.67,0.67,121246,222833,264852,14567,,
2013-11-11,3,2013,,17856,-1942,36346,3867,-13470,1.0,1.0,,56662,-519.0,1816,,247486,2013年07月01日至2013年09月30日,328212,332079,328212,332079,364156,20718,5590732,6621984,1031252,1031252,667096,255548,,,0.99,0.99,164062,328212,384874,15502,,
2014-03-10,4,2013,,92168,-313536,114177,195438,105494,2.42,2.42,,241111,-262.0,3836,,861837,2013年01月01日至2013年12月31日,802447,997885,802447,997885,1297709,-254151,21279466,25056004,3776538,3776538,2478829,1004674,,-1962.0,2.39,2.39,612318,802447,1043558,58628,,
2014-05-08,1,2014,,103708,10164,9669,86698,-17915,0.37,0.37,,28951,905.0,586,,234393,2014年01月01日至2014年03月31日,130081,216779,130081,216779,148096,10936,4662944,5443789,780845,780845,632749,246381,,,0.36,0.36,151975,130081,159032,9483,,
2014-08-11,2,2014,,39048,18591,48454,150,-37749,0.83,0.83,,66139,-1149.0,-2708,,214995,2014年第2季,295761,295911,295761,295911,304771,57129,5824736,6780552,955816,955816,651045,266393,,,0.83,0.83,169657,295761,361900,7208,,
2014-11-12,3,2014,,-147332,60290,14431,-89194,57776,1.01,1.01,,57512,362.0,-4541,,230966,2014年第3季,362393,273199,363122,273794,358318,61587,6520947,7591267,1070320,1070320,712002,293669,,,1.0,1.0,187367,362393,419905,8593,-729.0,-595.0
2015-03-23,4,2014,,-100498,181556,113398,-31802,71436,3.16,3.16,,212867,4382.0,-11319,,958015,2014年度,1124595,1092793,1128575,1094381,1087157,250305,23125422,27013224,3887802,3887802,2800645,1118289,,-7122.0,3.11,3.11,724341,1124595,1337462,33330,-3980.0,-1588.0
2015-05-04,1,2015,,-45606,-489,12410,-62079,-15953,0.41,0.41,-62079.0,29192,,-5831,-520.0,226086,2015年01月01日至2015年03月31日,145553,83474,146981,87296,177186,-2441,5181372,6057619,876247,876247,699061,290850,,,0.4,0.4,182125,145553,174745,8531,-1428.0,-3822.0
2015-08-10,2,2015,,-230039,44775,48851,-282212,-51693,0.79,0.79,-282212.0,52469,,-5282,-480.0,190838,2015年第2季,284817,2605,285503,4320,259858,77428,5283049,6203891,920842,920842,660984,286402,,,0.78,0.78,183744,284817,337286,10916,-686.0,-1715.0
2015-11-11,3,2015,,-121592,46730,29276,5618,124542,0.81,0.81,5618.0,73923,,-4434,2668.0,239764,2015年第3季,291231,296849,291569,293975,305815,59339,5878598,6986222,1107624,1107624,801809,354474,,,0.8,0.8,207571,291231,365154,12233,-338.0,2874.0
2016-03-15,4,2015,-15746.0,-46676,131185,111500,-155140,-91193,3.22,3.22,-139394.0,255747,,-19397,-1525.0,887085,2015年度,1149248,994108,1154140,1001540,1223283,181712,22398400,26518732,4120332,4120332,2897049,1241657,-15746.0,,3.16,3.16,768307,1149248,1404995,41576,-4892.0,-7432.0
2016-04-25,1,2016,,-44575,96912,21156,-48016,-2778,0.48,0.48,-48016.0,32140,,-4784,-663.0,190582,2016年01月01日至2016年03月31日,170191,122175,171554,123882,99175,103156,4583609,5362403,778794,778794,679619,304167,,,0.47,0.47,184870,170191,202331,10128,-1363.0,-1707.0
2016-08-08,2,2016,,104974,7850,30737,6073,-98393,0.74,0.74,6073.0,47365,,-4131,-508.0,203757,2016年第2季,265651,271724,265836,273489,288352,24664,5357900,6325408,967508,967508,679156,302436,,,0.72,0.72,172963,265651,313016,9792,-185.0,-1765.0
2016-11-07,3,2016,,609971,-364192,55786,494211,-114804,0.3,0.3,494211.0,92189,,-4046,-956.0,305072,2016年第3季,108707,602918,109517,605642,523805,-322909,6340163,7706216,1366053,1366053,842248,346510,,,0.3,0.3,190666,108707,200896,10457,-810.0,-2724.0
