date,season,year,不動產、廠房及設備減損損失,不動產、廠房及設備減損迴轉利益,不動產、廠房及設備重估價利益,不動產、廠房及設備重估價損失,不重分類至損益之項目總額,什項支出,代理業收入（海陸運輸業適用）,佣金支出,佣金收入,保全費,保證合約損失,倉儲成本,倉儲收入,停工損失,停業單位損益合計,停業單位淨利（淨損）,停業單位稅後損益,停業單位資產或處分群組按公允價值減出售成本衡量損益（稅後）,停業單位資產或處分群組處分損益（稅後）,備供出售金融資產未實現評價損益,債息收入,公允價值調整利益－投資性不動產,公允價值調整損失－投資性不動產,共同控制下前手權益（淨利／損）,其他利息收入,其他利益及損失淨額,其他勞務成本,其他勞務收入,其他勞務收入折讓,其他勞務收入淨額,其他手續費收入,其他收入合計,其他收益,其他收益及費損淨額,其他減損損失,其他減損迴轉利益,其他營業收入,其他營業收入折讓,其他營業收入淨額,其他綜合損益（淨額）,其他費損,其他費用,其他餐旅服務成本,其他餐旅服務收入,出售門票成本,分期付款銷貨收入,利息收入,利息收入合計,利息費用,加工成本,加工收入,加工收入折讓,加工收入淨額,勞務成本,勞務收入,勞務收入合計,勞務收入折讓,勞務收入淨額,可能重分類至損益之其他項目,呆帳損失,商品成本,商品收入,國外營運機構淨投資避險,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構淨投資避險無效而認列於損益之利益,國外營運機構淨投資避險無效而認列於損益之損失,國外營運機構財務報表換算之兌換差額,地產出售成本,地產出售收入（開發投資公司適用）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,壞帳轉回利益,外幣兌換利益,外幣兌換損失,天然氣銷貨成本（天然氣業）,天然氣銷貨收入（天然氣業）,委託研究費,客房成本,客房收入,專櫃銷貨成本（百貨業適用）,專櫃銷貨收入（百貨業適用）,工程成本,工程收入,工程收入淨額,工程收入退回及折讓,已實現銷貨（損）益,廉價購買利益,待出售非流動資產減損損失,待出售非流動資產減損迴轉利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,手續費支出合計,手續費收入合計,技術服務收入,技術服務收入折讓,技術服務收入淨額,技術服務費用,投資性不動產減損損失,投資性不動產減損迴轉利益,投資損失,投資損失合計,投資支出（投資公司適用）合計,投資收入合計,投資收入（投資公司適用）合計,折舊及折耗,拆併櫃收入（海陸運輸業適用）,持有至到期日金融資產利息收入,按攤銷後成本衡量之金融負債利益,按攤銷後成本衡量之金融負債損失,按攤銷後成本衡量之金融資產利息收入,採用權益法之關聯企業及合資利益之份額,採用權益法之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,採用權益法認列之關聯企業及合資之其他綜合損益之份額－其他,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,採用權益法認列之關聯企業及合資之其他綜合損益之份額－現金流量避險中屬有效避險部分之避險工具利益（損失）,採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,採用權益法認列之關聯企業及合資之其他綜合損益之份額－與待出售非流動資產直接相關之權益,採用權益法認列之關聯企業及合資之其他綜合損益之份額－透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）,採用權益法認列之關聯企業及合資之其他綜合損益之份額－重估增值,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,探勘及評估資產減損損失,探勘及評估資產減損迴轉利益,推銷費用合計,旅遊服務成本（觀光飯店業適用）合計,旅遊服務收入合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,標準成本差異合計,權利金收入,權益工具投資之利益（損失）,歸因於所規避風險之被避險項目之利益－公允價值避險,歸因於所規避風險之被避險項目之損失－公允價值避險,歸墊收入,母公司業主（淨利／損）,母公司業主（綜合損益）,沖銷逾期應付款利益,海運收入（海陸運輸業適用）,減損損失合計,減損迴轉利益合計,漁業作業費用,漁貨銷售費用,無形資產減損損失,無形資產減損迴轉利益,無形資產重估價利益,無形資產重估價損失,無活絡市場債券投資利息收入,營建工程成本合計,營建工程收入合計,營建成本,營建收入,營建收入退回及折讓,營建收入（營建業適用）淨額,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),現金流量避險有效而自權益轉列之利益,現金流量避險有效自權益轉列之損失,現金流量避險無效而認列於損益之利益,現金流量避險無效而認列於損益之損失,生物資產減損損失,生物資產減損迴轉利益,生物資產當期公允價值減出售成本之變動之利益,生物資產當期公允價值減出售成本之變動之損失,由信託及受託活動產生之手續費收益,由信託及受託活動產生之手續費費損,由按攤銷後成本衡量之金融資產產生之手續費收益,由攤銷後成本衡量之金融資產產生之手續費費損,當期原始認列生物資產之利益,當期原始認列生物資產之損失,當期所得稅費用（利益）,直接人工差異合計,直接人工效率差異,直接人工費率差異,直接原料價格差異,直接原料差異合計,直接原料數量差異,研究發展費用,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本,租賃成本合計,租賃收入,租賃收入合計,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,空中營業成本,空中營業收入,空運收入（航空業適用）,管理費收入（證券投資信託業適用）,管理費用合計,維修成本,維修收入,維修收入折讓,維修收入淨額,網路服務費,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,育樂成本合計,育樂收入折讓,育樂收入淨額,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分投資利益,處分投資性不動產利益,處分投資損失,處分無形資產利益,虧損性合約損失,裝置成本,裝置收入,裝置收入折讓,裝置收入淨額,製造費用差異合計,製造費用效率差異,製造費用數量差異,製造費用用款差異,設計成本,設計收入,負債性特別股股息,財務成本淨額,貨櫃場作業收入,賠償損失,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,進出口費用,遊樂成本,遊樂收入,運輸收入折讓,運輸收入淨額,違約金收入,遞延所得稅費用（利益）,避險工具之利益－公允價值避險,避險工具之損失－公允價值避險,酬勞收入,重估價之利益（損失）,金融資產減損損失,金融資產減損迴轉利益,金融資產重分類利益,金融資產重分類損失,金融資產重分類淨損益,金融資產（負債）出售淨利益,金融資產（負債）出售淨損失,銀行存款利息,銷售費收入（證券投資信託業適用）,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,門票收入,除列按攤銷後成本衡量之金融資產之利益,除列按攤銷後成本衡量之金融資產之損失,除列按攤銷後成本衡量金融資產淨損益,陸運收入（海陸運輸業適用）,電信成本（電訊網路業）,電話及電報成本,電話及電報收入,非以透過損益按公允價值衡量之金融負債所產生之手續費收益,非以透過損益按公允價值衡量之金融負債所產生之手續費費損,非控制權益（淨利／損）,非控制權益（綜合損益）,餐旅服務成本合計,餐旅服務收入折讓,餐旅服務收入淨額,餐飲成本,餐飲收入
2013-05-07,1,2013,0.0,0.0,0.0,0.0,,1037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,-1037,0.0,0.0,0.0,0.0,0.0,21154,12540.0,12540,0.0,0.0,0.0,0.0,0.0,347886,0.0,,0.0,0.0,0.0,0.0,0.0,21154,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,323534,0.0,0.0,0.73,0.73,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,247453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12987.0,0.0,12987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14478.0,-14478,,0.0,0.0,255224,0.0,0.0,2013年01月01日至2013年03月31日,0.0,730497,1078383,0.0,0.0,11365.0,0.0,0.0,0.0,577630,864443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,986827,-8877,8542688,10102018,1559330,1559330,585043,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87403,,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.73,0.0,0.0,0.0,0.0,242416,0.0,0.0,0.0,0.0,0.0,730497,977950,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14516,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21154.0,0.0,8542688.0,8542688.0,0.0,10102018.0,10102018.0,10102018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152867,213940,0.0,0.0,0.0,0.0,0.0
2013-05-07,2,2013,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-18502,0.0,0.0,0.0,,0.0,86848,0.0,0.0,0.0,0.0,0.0,19945,46751.0,46751,-8939.0,0.0,0.0,0.0,0.0,34158,0.0,,0.0,0.0,0.0,0.0,0.0,19945,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,52660,0.0,0.0,0.78,0.78,0.0,77401.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10188.0,-10188,,0.0,0.0,271187,0.0,0.0,2013年04月01日至2013年06月30日,0.0,661180,695338,0.0,0.0,,0.0,0.0,0.0,612330,690502,0.0,0.0,-8939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709206,51570,7923877,9175614,1251737,1251737,589282,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93057,,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.78,0.0,0.0,0.0,0.0,225038,0.0,0.0,0.0,0.0,0.0,661180,760776,,0.0,0.0,0.0,,0.0,,0.0,508.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45035,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19945.0,0.0,7923877.0,7923877.0,0.0,9175614.0,9175614.0,9175614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48850,4836,0.0,0.0,0.0,0.0,0.0
2013-11-07,3,2013,0.0,0.0,0.0,0.0,,2948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,28296,0.0,0.0,0.0,,0.0,58281,0.0,0.0,0.0,0.0,0.0,48790,28378.0,28378,,0.0,0.0,0.0,0.0,-99473,0.0,,0.0,0.0,0.0,0.0,0.0,24494,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,-127769,0.0,0.0,0.11,0.11,0.0,,-62234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,36368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188017.0,-188017,,0.0,0.0,257711,0.0,0.0,2013年07月01日至2013年09月30日,0.0,99339,-134,0.0,0.0,,0.0,0.0,0.0,84759,7488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263464,-127757,7138245,7929503,791258,791258,556172,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85680,,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,212781,0.0,0.0,0.0,0.0,0.0,99339,135707,,0.0,0.0,0.0,,0.0,,0.0,-1005.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46811,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24494.0,0.0,7138245.0,7138245.0,0.0,7929503.0,7929503.0,7929503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14580,-7622,0.0,0.0,0.0,0.0,0.0
2014-03-13,4,2013,,,,,,,,,,,,,,,,,,,,111224,,,,,97576.0,278235,,,,,,97576,,124856,,,,,,522061,,389147.0,,,,,,97576,,,,,,,,,,,,,,,,,,,408615,,,1.9,1.9,,,,,,,,,,,,,,,,,,,,386520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153909.0,-153909,,,,1033162,,,2013年01月01日至2013年12月31日,,1715482,2237543,,,,,,,1495011,1984662,,,,,,,,,,,,,,,,,,2064932,37070,30155898,34422999,4267101,4267101,2327025,,,,,,,,,,,,,,,,,,,,,,,,,389147,,2222.0,,,,,,,,,,,,904716,,,,,,1715482,2102002,,,,,,0.0,,,,,,,,,,,,,,,,,,,,184832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220471,252881,,,,,
2014-05-08,1,2014,,0.0,0.0,,,27494.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,169237,,0.0,,,26510.0,-27494,,,,,0.0,26510,37813.0,37813,,0.0,,,,226517,0.0,,,,,,,26510,,,,,,,,,,,,0.0,,,,,,,57280,,,0.33,0.33,0.0,0.0,,,,0.0,,,,,,,,,0.0,0.0,,0.0,,85529,0.0,0.0,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,74073.0,-74073,,,0.0,207814,,,2014年01月01日至2014年03月31日,0.0,271403,497920,,0.0,,,,0.0,257649,495421,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,483323,-126391,6967077,7931514,964437,964437,518927,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,93755,,,,,,,0.0,,,,,,,217358,,,,,0.0,271403,356932,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,51334,,0.0,0.0,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13754,2499,,,,,
2014-08-07,2,2014,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,-15010,0.0,,,,0.0,7454,0.0,0.0,0.0,0.0,,30432,43286.0,43286,,,0.0,0.0,0.0,-278931,0.0,,0.0,0.0,0.0,0.0,0.0,30432,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,-263921,0.0,0.0,0.4,0.4,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,92238,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96821.0,-96821,,,,299745,0.0,0.0,2014年第2季,0.0,349701,70770,0.0,0.0,,0.0,0.0,,326178,86648,,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549607,-107668,7035331,8184381,1149050,1149050,642729,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,92238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92046,,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.39,0.0,0.0,0.0,0.0,250938,0.0,0.0,0.0,0.0,0.0,349701,441939,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48733,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,30432.0,0.0,7035331.0,7035331.0,0.0,8184381.0,8184381.0,8184381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,23523,-15878,0.0,0.0,0.0,0.0,0.0
2014-11-06,3,2014,,,,,,,,,,,,,,,,,,,,-21230,,,,,,27730,,,,,,26374,,67638,,,,,,259035,,,,,,,,26374,50004.0,,,,,,,,,,,,,,,,,,280265,,,0.31,,,,,,,,,,,,,,,,,,,,,59943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-83500,,,,240973,,,2014年第3季,,295821,554856,,,,,,,255622,468261,,,,,,,,,,,,,,,,,,435164,-79400,6943311,7831792,888481,888481,520955,,,,,,,,,,,,,,,,,59943.0,,,,,,,,85897,,,,,,,,0.31,,,,,,194085,,,,,,295821,355764,,,,,,0.0,,,,,,,,,,,,,,,,,,,,50004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40199,86595,,,,,
2015-03-12,4,2014,,,,,,,,,,,,,,,,,,,,73871,,,,,,59473,,,,,,109856,,183094,,,,,,624067,,,,,,,,109856,,,,,,,,,,,,,,,,,,,562977,,,1.38,,,,,,,,,,,,,,,,,,,,,303798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-362357,,,,1007374,,,2014年度,,1243746,1867813,,,,,,,1141338,1706818,,,,,,,,,,,,,,,,,,1939858,-392314,27905236,31868574,3963338,3963338,2206574,,,,,,,,,,,,,,,,,,,,,,,,,363035,,-12781.0,,,,,,,,,,,,836165,,,,,,1243746,1547544,,,,,,0.0,,,,,,,,,,,,,,,,,,,,199286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102408,160995,,,,,
2015-05-07,1,2015,,,,,,,,,,,,,,,0.0,,,,,-24256,,,,0.0,,-51848,,,,,,34509,,56165,,,,,,-170752,,,,,,,,34509,,,,,,,,,,,0.0,,,,,0.0,,,-146496,,,0.24,,,,,,,,,,,,,,,,,,,,-170752.0,52579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-147030,0.0,,,211640,,,2015年01月01日至2015年03月31日,,220736,49984,,,,,,,195934,53076,,,,,,,,,,,,,,,,,,481859,-208544,5811391,6755875,944484,944484,518790,,0.0,,,,,,,,,,,,,,,,,,,,,,,77235,,,,,,,,,,,,,,229915,,,,,,220736,273315,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,44175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24802,-3092,,,,,
2015-08-06,2,2015,,,,,,,,,,,,,,,,,,,,-3583,,,,,,136321,,,,,,23003,,38692,,,,,,-175250,,,,,,,,23003,,,,,,,,,,,,,,,,,,,-171667,,,0.42,,,,,,,,,,,,,,,,,,,,-175250.0,15817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20425,,,,257707,,,2015年第2季,,393022,217772,,,,,,,350556,220023,,,,,,,,,,,,,,,,,,308459,100380,5682994,6507520,824526,824526,554759,,,,,,,,,,,,,,,,,,,,,,,,,83910,,,,,,,,0.42,,,,,,213142,,,,,,393022,408839,,,,,,,0.0,,,,,,,,,,,,,,,,,,,38519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42466,-2251,,,,,
