date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,壞帳轉回利益,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,,5518.0,,4807,20019,56625,39043.0,,130821,17062,10001.0,126014,1.98,520.0,33172.0,0.0,0.0,,63783,-4119,86771,2013年01月01日至2013年03月31日,0.0,183342,314163,184760,315581,0.0,184601,62524,1188739,1711100,522361,522361,337760,129155,,,1.98,121834,183342,247125,0.0,,,1088.0,,4869.0,10001,-1678.0,,,,-1418,-1418
2013-08-12,2,2013,,,8651.0,,-1315,-720,38389,20885.0,,71323,18024,7179.0,72638,1.37,-520.0,0.0,10326.0,,,59485,-3880,102269,2013年04月01日至2013年06月30日,,125839,197162,127779,199102,0.0,158714,26610,1309119,1873627,564508,564508,405794,174931,,,1.36,128594,125839,185324,0.0,,,1677.0,16458.0,0.0,7179,3476.0,,,,-1940,-1940
2013-11-11,3,2013,,,38931.0,,686,-56110,38944,23249.0,,-45369,15035,9196.0,-46055,0.97,0.0,,33136.0,0.0,,68000,-3500,121457,2013年07月01日至2013年09月30日,0.0,86729,41360,90997,45628,-25409.0,184591,-29862,1563400,2158940,595540,595540,410949,154018,,,0.96,135474,86729,154729,660.0,,,16293.0,-250.0,0.0,9196,7091.0,,,,-4268,-4268
2014-03-25,4,2013,,,,0.0,8081,-49611,166820,,0.0,234515,166820,,219387,7.76,,,,,,234250,-14419,432547,2013年01月01日至2013年12月31日,,715265,949780,725350,959865,,882894,66621,5571869,8061960,2490091,2490091,1607197,643235,,7047.0,7.7,531415,715265,949515,,,,,,,36169,,,5571869.0,8061960.0,-10085,-10085
2014-05-08,1,2014,,,9631.0,,3487,13503,49109,22462.0,,70368,26785,5763.0,66881,3.09,-138.0,35735.0,,,,69558,-3334,101186,2014年01月01日至2014年03月31日,,287462,357830,288450,358818,,303505,53515,1215443,1934001,718558,718558,415053,162810,,,3.08,151057,287462,357020,,,,420.0,,78.0,5763,,12103.0,,1934001.0,-988,-988
2014-08-08,2,2014,,,9404.0,,1234,-29297,47704,24592.0,,-99137,22974,2719.0,-120676,1.93,138.0,0.0,34071.0,,,117556,-1790,121124,2014年第2季,,178685,79548,180665,81528,0.0,282343,13898,1416213,2114342,698129,698129,415786,156261,,,1.92,138401,178685,296241,,,-20305.0,160.0,13666.0,,2719,672.0,0.0,,,-1980,-1980
2014-11-10,3,2014,,,3337.0,,-2180,18696,54232,30413.0,,97028,23148,,99208,3.28,,26168.0,0.0,,,100549,-30,103301,2014年第3季,,306748,403776,306692,403720,-1727.0,340561,66736,1402999,2176610,773611,773611,433050,178475,,,3.27,151274,306748,407297,671.0,,,5897.0,0.0,0.0,6162,35.0,0.0,,,56,56
2015-03-20,4,2014,,,18214.0,,-2096,66618,219402,120984.0,,302133,97747,18685.0,305088,11.53,,88040.0,0.0,0.0,,292557,-5171,436540,2014年度,0.0,1073896,1376029,1077576,1379709,,1104289,262164,5469944,8303956,2834012,2834012,1729723,676162,,-859.0,11.49,617021,1073896,1366453,671.0,,,10042.0,18331.0,,18685,0.0,11497.0,,8303956.0,-3680,-3680
2015-05-11,1,2015,0.0,0.0,3476.0,,-194,-5550,63973,38980.0,,-78257,24498,3383.0,-78063,1.99,495.0,0.0,341.0,,-78257.0,41493,-459,116872,2015年01月01日至2015年03月31日,,182913,104656,185731,107474,,169825,54581,1209398,1851138,641740,641740,471915,184919,,,1.98,170124,182913,224406,,0.0,,1733.0,0.0,,3383,0.0,,,,-2818,-2818
2015-08-10,2,2015,,,3051,,141,-16275,61293,34843,,-58878,26156,3481,-59019,0.85,294,0,10579,0,-58878,78742,-107,112269,2015年第2季,0,74352,15474,79209,20607,,111664,41430,1240955,1835891,594936,594936,483272,202154,,,0.84,168849,74352,153094,,,,1908,0,737,3481,0,,,,-4857,-5133
