date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,77584,60921,43019,81587,4003.0,-0.55,,7847,,,11471.0,,,6063,2013年01月01日至2013年03月31日,-203447,-121860,-202965,-121378,-300388,104788,621873,406089,-215784,-215784,84604,26072,,,52469,-203447,-195600,,0.0,,10623,406089,-482,-482
2013-08-09,2,2013,,151189,-298287,18940,152686,1497.0,-1.4,,-1499,,,47165.0,,,5313,2013年04月01日至2013年06月30日,-522982,-370296,-520137,-367451,-281102,-243379,636311,420274,-216037,-216037,65065,26394,,,33358,-522982,-524481,,0.0,,11197,420274,-2845,-2845
2013-11-12,3,2013,,-51438,93041,9606,-54410,-2972.0,-0.43,,673,,,-14014.0,,,5589,2013年07月01日至2013年09月30日,-161614,-216024,-159353,-214912,-237368,76427,644272,469768,-174504,-174504,62864,28393,,,28882,-161614,-160941,,0.0,,12206,469768,-2261,-1112
2014-03-26,4,2013,,170670,-204853,91956,201434,,-3.17,,11321,4312.0,4312.0,55568.0,,,23449,2013年01月01日至2013年12月31日,-1188331,-986897,-1180984,-980328,-1075265,-101745,2523936,1735644,-788292,-788292,286973,114090,,26452.0,149434,-1188331,-1177010,,0.0,,44416,1735644,-7347,-6569
2014-05-13,1,2014,,-115983,207816,7053,-111525,,0.13,,6804,4458.0,4458.0,17962.0,,,8953,2014年01月01日至2014年03月31日,47437,-64088,49958,-61390,-169663,223904,550534,459673,-90861,-90861,78802,30230,,,39619,47437,54241,,0.0,,8927,459673,-2521,-2698
2014-08-12,2,2014,,-48507,55367,2761,-52999,,-0.31,,411,-4492.0,-4492.0,12715.0,,,4401,2014年第2季,-118453,-171452,-115545,-169092,-180314,62272,627831,515743,-112088,-112088,68226,30938,,,32887,-118453,-118042,,0.0,,8571,515743,-2908,-2360
2014-11-11,3,2014,,-11367,26670,4850,-7290,,-0.57,,-2908,4077.0,4077.0,-12124.0,,,7874,2014年第3季,-214334,-221624,-210541,-217754,-228310,11068,545625,385152,-160473,-160473,67837,32006,,,27957,-214334,-217242,,0.0,,8328,385152,-3793,-3870
2015-03-20,4,2014,,-267507,402786,30500,-257317,,-1.09,,9881,5728.0,5728.0,4846.0,,,25098,2014年度,-417250,-674567,-405874,-663304,-811231,403862,2166737,1642003,-524734,-524734,286497,120409,,4462.0,140990,-417250,-407369,,0.0,,34270,1642003,-11376,-11263
2015-04-30,1,2015,0.0,-13584,-301003,2236,-13584,,-1.23,-13584.0,-10783,,,0.0,0.0,0.0,5558,2015年第1季,-461974,-475558,-459357,-472484,-165937,-306820,482624,386339,-96285,-96285,69652,29985,0.0,,34109,-461974,-472757,0.0,,0.0,8053,386339,-2617,-3074
2015-08-06,2,2015,0.0,-8194,-306335,136457,-8194,,-1.05,-8194.0,5708,,,0.0,0.0,0.0,5632,2015年第2季,-393237,-401431,-391877,-399795,-210536,-176993,527887,396045,-131842,-131842,78694,26092,0.0,,46970,-393237,-387529,0.0,,0.0,7115,396045,-1360,-1636
2015-11-06,3,2015,0.0,-12204,78199,-74,-12204,,-0.12,-12204.0,5469,,,0.0,0.0,0.0,5674,2015年第3季,-45654,-57858,-45442,-57235,-111217,71032,396942,342241,-54701,-54701,56516,12919,0.0,,37923,-45654,-40185,0.0,,0.0,7093,342241,-212,-623
2016-03-17,4,2015,-9518.0,-25012,-559593,144194,-34530,,-2.65,-25012.0,6135,,,0.0,0.0,0.0,22707,2015年度,-993509,-1028039,-987595,-1021101,-542880,-444494,1737437,1431568,-305869,-305869,237011,88975,-9518.0,,125329,-993509,-987374,0.0,,0.0,29095,1431568,-5914,-6938
2016-05-11,1,2016,,-2588,-86428,6765,-2588,,-0.26,-2588.0,-4434,,,,,,6148,2016年01月01日至2016年03月31日,-99431,-102019,-97978,-100478,-17099,-86766,299703,331090,31387,31387,48486,14801,,,27537,-99431,-103865,,,0.0,7103,331090,-1453,-1541
2016-08-11,2,2016,,-1509,-25546,8605,-1509,,-0.06,-1509.0,488,,,,,,7381,2016年第2季,-23500,-25009,-21927,-23386,705,-23717,299316,350480,51164,51164,50459,16150,,,26928,-23500,-23012,,,0.0,6776,350480,-1573,-1623
2016-11-09,3,2016,,-1294,-34456,1728,-1294,,0.01,-1294.0,0,,,,,,6391,2016年第3季,-331,-1625,2107,857,38428,-38759,306158,389041,82883,82883,44455,17123,,,20941,-331,-331,,,0.0,6031,389041,-2438,-2482
