date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,工程收入淨額,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,1468.0,24284,-12217,7777,,32435,,8087.0,4764,-0.06,47251.0,0.0,,,12719,,1451.0,,-4329,,20434,2013年01月01日至2013年03月31日,-23309,9126,-12496,19353,58000.0,3404.0,6266,-16856,534635,617846,83211,83211,76945,6888,,,,49623,-23309,-10590,,-1936.0,8087,534635,2811.0,633112.0,614442.0,15859.0,-10813,-10227
2013-08-14,2,2013,,1068.0,13922,8100,1997,,14981,,636.0,1796,-0.07,22363.0,0.0,7625.0,,940,,1199.0,,2900,,47867,2013年04月01日至2013年06月30日,-26746,-11765,-13125,1779,13195.0,7625.0,-38167,12361,693799,764539,70740,70740,108907,6853,,,,54187,-26746,-25806,,1936.0,636,693799,1388.0,776552.0,756914.0,18250.0,-13621,-13544
2013-11-11,3,2013,,771.0,-3234,-2162,5512,4083.0,-5548,455.0,,-1945,0.14,0.0,1391.0,12155.0,,3866,,-369.0,,2952,,19250,2013年07月01日至2013年09月30日,11988,6440,26615,21067,0.0,12155.0,10031,5823,596356,700154,103798,103798,93767,5480,,,974.0,69037,11988,15854,,0.0,479,596356,2554.0,713845.0,687999.0,23292.0,-14627,-14627
2014-03-20,4,2013,,4330.0,41791,20565,25061,17826.0,50324,3226.0,,6741,0.16,96090.0,0.0,94230.0,,36732,,3202.0,,-1141,,67238,2013年01月01日至2013年12月31日,-18590,31734,32336,83191,71195.0,94230.0,-15938,34080,2351443,2762165,410722,410722,426660,24778,,7432.0,4009.0,334644,-18590,18142,,8842.0,10405,2351443,6825.0,2747087.0,2667935.0,72327.0,-50926,-51457
2014-05-06,1,2014,,460.0,20732,7569,14449,11108.0,20475,976.0,528.0,-743,0.06,8029.0,,,,2284,,486.0,,-336,,18278,2014年01月01日至2014年03月31日,-3457,17018,12028,32847,0.0,26350.0,-22327,21154,471212,561627,90415,90415,112742,5770,,,2365.0,88694,-3457,-1173,,0.0,528,471212,1338.0,541334.0,535277.0,4719.0,-15485,-15829
2014-08-08,2,2014,,391.0,-1522,-9330,4385,2778.0,-7786,1607.0,526.0,-5257,0.06,0.0,8939.0,27360.0,,2842,,-1007.0,,7837,,16571,2014年第2季,-7026,-14812,11082,5033,0.0,27360.0,-6550,2366,578711,680456,101745,101745,108295,6922,,,,84802,-7026,-4184,,0.0,526,578711,1325.0,666844.0,653096.0,12423.0,-18108,-19845
2014-11-12,3,2014,,5784.0,-3042,22885,8640,7323.0,5024,1317.0,,7072,0.22,28669.0,0.0,120929.0,,9117,,994.0,,1873,,17511,2014年第3季,23191,28215,43243,45904,0.0,120929.0,-630,32938,585270,695506,110236,110236,110866,6163,,,,87192,23191,32308,,0.0,460,585270,4035.0,590136.0,574577.0,11524.0,-20052,-17689
2015-03-20,4,2014,,,18259,38193,84428,,29764,,,10358,0.46,,,,,34514,,2988.0,-5792.0,5792,,80998,2014年度,15959,45723,90329,116837,,,-72831,123304,2083523,2451009,367486,367486,440317,27649,,-2218.0,,331670,15959,50473,,-377.0,5109,2083523,,,,,-74370,-71114
2015-05-11,1,2015,,,21303,10634,8668,,13982,,,-5717,0.11,,,,13982.0,4273,,,,542,-1604.0,52958,2015年01月01日至2015年03月31日,6510,20492,22180,38398,,,-8415,19198,412308,502152,89844,89844,98259,6833,,,,38468,6510,10783,,,646,412308,,,,,-15670,-17906
2015-08-12,2,2015,,,11413,-13131,9121,,-263,,,-10202,-0.11,,,,-263.0,8427,,,,-2526,-1474.0,13820,2015年第2季,-39874,-40137,-22500,-19210,,,-24304,-7143,451774,509088,57314,57314,81618,7368,,,,60430,-39874,-31447,,,607,451774,,,,,-17374,-20927
