date,season,year,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回
2013-05-08,1,2013,,1,0.0,0.0,2069,3349,1051,,-474,-3122,848,1609,4865,0.17,0.17,,463.0,,,-667,,-7987.0,134,,103688,2013年01月01日至2013年03月31日,,22165,19043,22165,19043,0.0,17555,3943,426788,573222,146434,146434,128405,,,1450,0.17,0.17,24717,22165,21498,,2515,1609,18.0,426788,2543,,580303,573222,4538
2013-08-08,2,2013,,820,0.0,0.0,1955,2431,222,,9,3414,731,1609,2917,0.05,,0.0,99.0,0.0,,276,,497.0,-4242,,91856,2013年04月01日至2013年06月30日,0.0,6563,9977,6563,9977,0.0,8304,-1465,247362,377694,130332,130332,122037,,,1478,0.05,,30181,6563,6839,,2810,1609,64.0,247362,6779,,389998,377694,5525
2013-11-13,3,2013,,0,,0.0,4878,2445,74,10.0,10,-4785,729,1610,-2804,0.11,0.11,0.0,163.0,0.0,,2411,,-1981.0,-6715,,78004,2013年07月01日至2013年09月30日,0.0,14941,10156,14941,10156,0.0,18354,-1002,149743,272368,122625,122625,104281,,,1450,0.11,0.11,26277,14941,17352,192.0,4983,1610,58.0,149743,283,,276341,272368,3690
2014-03-24,4,2013,,750,,0.0,18298,10210,1062,,4476,8733,3245,6437,9060,0.48,0.48,,,,,6308,,-9722.0,-27747,,352230,2013年01月01日至2013年12月31日,,63573,72306,63573,72306,0.0,75557,-5676,982513,1512329,529816,529816,458735,,9395.0,5903,0.48,0.48,106505,63573,69881,,19048,6437,,982513,4713,,1538585,1512329,21543
2014-04-29,1,2014,,249,,,3676,2990,573,,10,-1663,802,1609,-862,0.14,0.14,,,,,4447,,-801.0,-5909,,83436,2014年01月01日至2014年03月31日,,18360,16697,18360,16697,,23659,-852,158615,296013,137398,137398,113749,,,1615,0.14,0.14,30313,18360,22807,,3925,1609,,158615,1514,,303687,296013,6160
2014-07-30,2,2014,,1045,,2156.0,14435,3534,1221,,10,380,611,1609,-3531,0.09,0.09,,,,,2068,,1755.0,-15145,,89728,2014年第2季,,11906,12286,11906,12286,,12759,1215,167700,298579,130879,130879,118130,,,1702,0.09,0.09,28402,11906,13974,,15480,1609,,167700,707,,305348,298579,6062
2014-10-29,3,2014,,409,,-2156.0,39454,3282,666,,9,-792,570,1404,5050,0.26,,,,0.0,,5139,,-3686.0,-11154,,96643,2014年第3季,0.0,34678,33886,34678,33886,18701.0,9639,30178,172303,317596,145293,145293,135663,,,1672,0.26,,39020,34678,39817,374.0,58564,1404,,172303,1331,322203.0,322203,317596,3276
2015-02-25,4,2014,,972,,,59568,11351,1302,,1404,10676,2985,5712,8111,0.61,0.61,,-1076.0,,,15230,,-1626.0,-45600,,362481,2014年度,,80524,91200,80524,91200,18701.0,76147,19607,669150,1232868,563718,563718,488975,,4191.0,6690,0.6,0.6,126494,80524,95754,374.0,78165,5712,,669150,5033,,1259542,1232868,21641
2015-04-29,1,2015,,3,,,3686,3446,314,11.0,11,-1775,1459,1090,-2754,0.23,0.23,599.0,,,-1775.0,6085,,,-10428,979.0,97526,2015年01月01日至2015年03月31日,,30461,28686,30461,28686,,40932,-4386,179578,347560,167982,167982,127061,,,1673,0.23,0.23,29535,30461,36546,,3090,1090,,179578,1679,,352046,347560,2807
2015-07-29,2,2015,,28,,0.0,174,7544,2174,,9,-5925,1460,1090,-3279,0.09,0.09,,503.0,,-5925.0,2538,,,-8496,-2646.0,103154,2015年第2季,,11565,5640,11565,5640,,15971,-1868,193225,341473,148248,148248,132286,,,1701,0.09,0.09,29132,11565,14103,2209.0,705,1090,,193225,1461,,347587,341473,4653
2015-11-11,3,2015,,2,,0.0,284,3341,168,,8,8986,1128,1023,9430,0.11,0.11,225.0,,,8986.0,2503,,,-6745,-444.0,101408,2015年第3季,,14419,23405,14419,23405,0.0,21065,-4143,179248,333034,153786,153786,132729,,,1672,0.11,0.11,31321,14419,16922,373.0,61,1023,,179248,1535,,339111,333034,4542
2016-02-26,4,2015,-3335.0,113,,,4125,16936,2875,,477,-10110,4732,4359,-4803,0.6,0.6,292.0,,,-6775.0,15675,292.0,,-34997,-1972.0,393912,2015年度,,79086,68976,79086,68976,0.0,113056,-18295,738645,1369188,630543,630543,517964,-3627.0,,6747,0.59,0.59,124052,79086,94761,2582.0,3946,4359,,738645,4026,,1390005,1369188,16791
2016-05-04,1,2016,,12,,-1760.0,-103,2379,126,10.0,10,1843,614,1090,-889,0.1,0.1,,121.0,,1843.0,4543,,,-11216,4492.0,100362,2016年01月01日至2016年03月31日,,13818,15661,13818,15661,,28391,-10030,192598,349349,156751,156751,128370,,,1639,0.1,0.1,28008,13818,18361,,30,1090,,192598,754,,354482,349349,4379
2016-08-10,2,2016,,52,,-2757.0,108,3477,1281,,10,-14414,515,1090,-5667,0.11,0.11,,712.0,,-14414.0,2340,,,-10879,-5990.0,94501,2016年第2季,,14216,-198,14216,-198,,24940,-8384,195359,343224,147865,147865,122935,,,1671,0.11,0.11,28434,14216,16556,10.0,872,1090,,195359,186,,345552,343224,2142
2016-11-09,3,2016,,30,,-203.0,10373,3806,158,,8,-7352,398,1089,-6775,0.26,0.26,,1094.0,,-7352.0,4344,,,-6703,-374.0,94364,2016年第3季,,34514,27162,34514,27162,,32471,6387,212901,369168,156267,156267,123804,,,1620,0.26,0.26,29440,34514,38858,1630.0,11497,1089,,212901,61,,371683,369168,2454
