date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,公允價值調整利益－投資性不動產,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,投資支出（投資公司適用）合計,投資收入（投資公司適用）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,旅遊服務成本（觀光飯店業適用）合計,旅遊服務收入合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營建工程成本合計,營建工程收入合計,營建成本,營建收入（營建業適用）淨額,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分不動產、廠房及設備損失,處分投資性不動產利益,處分投資性不動產損失,處分無形資產損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,重估價之利益（損失）,重估增值,金融資產（負債）出售淨利益,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）,餐旅服務成本合計,餐旅服務收入淨額
2013-05-14,1,2013,,192418,296538,,-400597,389823,286406,1617915,2382753,1425551,103417,321123,1603301,0.37,0.37,,81094.0,,,553785,,171200,,-324568.0,,1296502,,5152330,6799317,16663970,2013年01月01日至2013年03月31日,3567095,4992646,1872376,3124056,6634,497080,460374,497080,460374,3156275,964605,46683658,57620493,10936835,10936835,7780560,-149720.0,,174844,,,0.37,0.37,2453386,3567095,4120880,,,212425,,518.0,225,321123,92717,,,171200.0,37769346,37942196,1694719,1868590,6799317.0,16663970.0
2013-08-14,2,2013,,25678,-52655,,19192,675999,533869,1906673,2611784,424902,142130,384861,627442,0.43,0.43,144196.0,0.0,277.0,,874929,0.0,31241,,-148583.0,,1088983,,5379662,6963473,17004900,2013年04月01日至2013年06月30日,3934307,4359209,2033678,2261780,3412,1127562,1289634,1127562,1289634,3409923,1399313,49496297,61080543,11584246,11584523,8174600,-1302.0,,148124,,,0.43,0.43,2646814,3934307,4809236,,,211313,,0.0,40,384861,115439,,,,39498589,40142984,1900629,2097429,,
2013-11-05,3,2013,,131545,12129,,-595886,307760,166921,1479121,2506312,-164145,140839,395366,-222847,0.33,0.33,45318.0,0.0,1.0,,793436,,202308,,80977.0,,629032,,5556669,6580603,17140013,2013年07月01日至2013年09月30日,3493642,3329497,1586955,1577412,17170,535887,588103,535887,588103,4341538,-54460,47774435,60480479,12706044,12706045,8364507,-34404.0,,167859,,,0.33,0.33,2639979,3493642,4287078,,,527681,,0.0,600,395366,35792,,,202308.0,39178824,40043743,1906687,1752085,6580603.0,17140013.0
2014-03-24,4,2013,,338228,515409,,-1198488,1633483,1184876,3497304,8162553,2321112,448607,1432622,2474593,1.5,1.5,310965.0,0.0,555.0,,2223481,,530650,,-644214.0,,4197698,,22052202,27151232,68147021,2013年01月01日至2013年12月31日,14284539,16605651,7207081,9540356,214451,5745691,6046806,5745691,6046806,13307949,3200071,192356740,238840657,46483917,46484472,33176523,-132503.0,,675902,,128401.0,1.49,1.49,10448419,14284539,16508020,,20574.0,1356800,,518.0,1912,1432622,402456,,,530650.0,155962513,155953627,7077458,7065295,27151232.0,68147021.0
2014-05-13,1,2014,,92220,-583463,,-362649,282235,173210,1113336,2172661,-373317,109025,448025,446850,0.39,0.39,,84288.0,,,713637,,36060,,-189308.0,,1245030,,5433681,6560872,17073180,2014年第1季,3592372,3219055,1860989,1159772,9740,2096378,2190193,2096378,2190193,3589418,716591,46306614,58243539,11936925,11936925,8347507,-47435.0,,162715,,39.0,0.39,0.39,2751111,3592372,4306009,,,241810,,,1326,448025,66735,0.0,,36060.0,36536028,36771445,1731383,2059283,6560872.0,17073180.0
2014-08-08,2,2014,,29368,3821,3186449.0,2804489,957205,561935,2381858,3303079,-1853364,395270,757581,-1400528,0.92,0.92,0.0,113140.0,278.0,,2087783,,21907,,-436377.0,,1341357,,5275205,6612659,17279046,2014年第2季,6458594,4605230,4443238,2591795,10052,151178,175714,151178,175714,4200907,4345470,45978362,58576151,12597789,12598067,8397160,-20280.0,,181162,,0.0,0.92,0.92,2940793,6458594,8546377,,,222722,,,0,757581,-6678,0.0,,21907.0,36832667,37796405,2015356,2013435,6612659.0,17279046.0
2014-11-11,3,2014,,121819,-154459,1618188.0,1391922,498187,369056,816936,2112031,2166312,129131,498426,1737707,0.59,0.59,71019.0,0.0,0.0,,509977,,14182,,621737.0,,565275,,6088861,6662522,17555297,2014年第3季,4542383,6708695,2894544,4868385,14900,494578,521650,494578,521650,3095402,1956958,47016244,59400821,12384577,12384577,9289175,-38673.0,,192456,,0.0,0.59,0.59,3007858,4542383,5052360,,,216658,,,0,498426,56092,0.0,,14182.0,39042208,39197661,1647839,1840310,6662522.0,17555297.0
2015-03-19,4,2014,,490939,-535233,6222659.0,5606664,1759214,1276780,5281188,9169405,2237258,482434,1934871,2159034,2.25,2.25,632174.0,,556.0,,4409757,,55666,,1032767.0,,4293787,,23855359,26243122,69804586,2014年度,17188302,19425560,11033421,12889364,153155,4836912,5127369,4836912,5127369,11873265,9724794,187644142,235506639,47862497,47863053,35989788,-154945.0,,739094,,-318338.0,2.24,2.24,11395335,17188302,21598059,,-53973.0,879765,,,6478,1934871,282168,0.0,,55666.0,151282920,151349613,6154881,6536196,26243122.0,69804586.0
2015-05-13,1,2015,0.0,160793,139186,2478500.0,3038401,331818,178804,1030859,2197398,718926,153014,646867,-516242,0.54,0.54,,168501.0,,718926.0,2351602,,2608,0.0,,382636.0,382636,1052229.0,5801357,6158641,17272427,2015年第1季,4626504,5345430,2635289,3378591,119160,717641,793213,717641,793213,3872118,3105988,40683059,53529552,12846493,12846493,8974375,,43753.0,188554,0.0,,0.54,0.54,2984464,4626504,6978106,,,109406,983629.0,,511,646867,134643,,,2608.0,32775918,33263906,1991215,1966839,6158641.0,17272427.0
2015-08-11,2,2015,-5434.0,37312,-56677,1318310.0,931838,453009,346225,1399466,2545834,-1495842,106784,566217,-631377,0.73,0.73,,12630.0,278.0,-1490408.0,811428,,69684,-5434.0,,,1185250,-893478.0,5821470,6470645,17468296,2015年第2季,5566081,4070239,3670643,2228704,1544,1264869,1331129,1264869,1331129,4373629,2003880,42221581,55445564,13223983,13224261,8850632,,91124.0,201045,0.0,,0.73,0.73,2828117,5566081,6377509,,,323045,0.0,,-102,566217,-12043,,,69684.0,33086601,34030621,1895438,1841535,6470645.0,17468296.0
