date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,手續費支出合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之權益工具投資利益(損失),推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營建工程成本合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估增值,金融資產重分類淨損益,銀行存款利息,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,,79,,,2022,3071,3064,118,7,2.0,,,39,2.73,2149.0,0.0,,,2011,,,,0.0,,,63923,2013年01月01日至2013年03月31日,,364493,364611,,364493,364611,,,,361413,5091,549784,1017604,467820,467820,106407,,,,2.7,42484,364493,366504,,,,,,,127.0,2.0,,,,,,,,
2013-08-06,2,2013,,,231.0,-199,,0.0,-77,75166,74250,1203,916,0.0,,,1402,1.91,34.0,,0.0,,56831,,,,0.0,,,35364,2013年04月01日至2013年06月30日,0.0,267176,268379,,267237,268440,0.0,,,248918,75089,364576,683348,318772,318772,69854,,,,1.71,34490,267176,324007,,,,,,16.0,,0.0,104.0,,,,,,-61.0,-61.0
2013-11-11,3,2013,,,-48.0,388,,,3562,3832,3664,-1083,168,0.0,,,-1471,4.41,-222.0,,,,57148,,,,0.0,,,76502,2013年07月01日至2013年09月30日,,622408,621325,,622654,621571,,,,672162,7394,1337426,2153403,815977,815977,143815,,,,3.68,67313,622408,679556,,,,,,27.0,,0.0,3709.0,,,,,,-246.0,-246.0
2014-03-04,4,2013,,,267.0,131,,,-1241,78867,76234,1002,2633,,,,774,9.27,2610.0,,,,105900,,,,,,,173743,2013年01月01日至2013年12月31日,,1319527,1320529,,1319527,1320529,,,,1347801,77626,2235092,3879195,1644103,1644103,296302,,,117.0,8.34,122559,1319527,1425427,,,20.0,,,,7935.0,,4351.0,,,,,,,
2014-05-14,1,2014,,,,-62,,,-953,639,505,2212,134,,,,2274,0.1,15.0,,,,5579,,,,,,,27888,2014年01月01日至2014年03月31日,,15557,17769,,15557,17769,968.0,,,21450,-314,90785,158380,67595,67595,46145,,,,0.1,18257,15557,21136,,,,,,,,,,,,,,,,
2014-08-12,2,2014,,,1.0,26,,,-2572,4277,3421,-2044,856,,,,-2070,0.0,-1001.0,,,,3155,,,,,,,4218,2014年第2季,,493,-1551,,493,-1551,,,,1943,1705,21062,46400,25338,25338,23395,,,,0.0,19177,493,3648,,,,,,,,,,1570.0,,,,,0.0,0.0
2014-11-11,3,2014,,,243.0,132,,,-3857,2047,887,2033,1160,0.0,,,1901,-0.07,1559.0,,,,2105,,,,0.0,,,30000,2014年第3季,,-11687,-9654,,-11687,-9654,,,45578.0,-7772,-1810,45578,88981,43403,43403,51175,,,,-0.07,21175,-11687,-9582,,,,,,0.0,,0.0,-5173.0,,,,,,0.0,0.0
2014-11-11,3,2015,,,0.0,-6116,,,4394,4409,3601,774,808,1003.0,,,6890,2.8,4394.0,,,774.0,15565,,,,0.0,,,145944,2015年第3季,,558721,559495,,558721,559495,,,1890050.0,566486,7800,1890050,2638123,748073,748073,181587,,,,2.51,35643,558721,574286,,,,,,,,1003.0,0.0,,,,,,0.0,0.0
2015-03-25,4,2014,,,2058.0,364,,,-4431,9727,5902,6704,3825,,,,6326,2.43,3681.0,,,,47415,,,,,,,124574,2014年度,,390902,397606,,390902,397606,,,,433021,5296,1180673,1826723,646050,646050,213029,,,17.0,2.22,88455,390902,438317,,,3.0,,,,-41.0,,0.0,6095.0,,,,,,
2015-03-25,4,2015,,-753.0,0.0,-1994,,,5571,19387,12341,1280,4699,,,,4027,3.63,-757.0,,,2033.0,26618,,,,,,,229557,2015年度,,727922,729202,,727922,729202,,,,735600,18940,2929571,3991064,1061493,1061493,325893,,-907.0,,3.24,96336,727922,754540,2347.0,-154.0,,,,,0.0,6018.0,6328.0,0.0,,,,,,
