date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,利息收入合計,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,投資支出（投資公司適用）合計,投資收入合計,投資收入（投資公司適用）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本合計,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,97267,100086,151906,,801170,1131286,753746,,335830,475900,305770,0.75,0.75,21728,,208014,41828.0,,32037.0,,350710.0,697271,,1246118,2013年01月01日至2013年03月31日,,1319163,2072909,1103505,1792528,658247,868930,16421372,20225573,3804201,3825929,3167682,-1.0,,108560,,,1445828,1793146,0.75,0.75,1813004,1319163,1527177,80333,13796716,16793204,215658,280381
2013-08-08,2,2013,,-154597,-52326,116558,,946164,1369644,624315,,224633,458503,311318,0.62,0.62,-4049,,388839,0.0,,77067.0,,467618.0,1099045,,1452033,2013年04月01日至2013年06月30日,,967525,1591840,905108,1426558,206072,1150292,17773332,21212219,3438887,3434838,3228766,-24.0,,73271,,,1433382,1813806,0.62,0.62,1703462,967525,1356364,12985,15169153,17493199,62417,165282
2013-11-12,3,2013,,88132,-34477,125303,,930486,1138380,-82610,,306683,498863,-61568,0.45,0.45,-28716,,214404,0.0,,103370.0,,-108927.0,930049,,2273431,2013年07月01日至2013年09月30日,,409079,326469,651609,578383,-384226,1007709,20152952,23912821,3759869,3731153,4115379,-247.0,,84837,,,1512604,1859435,0.45,0.45,1757111,409079,623483,13166,17403179,20312773,-242530,-251914
2014-03-24,4,2013,,169069,14580,614408,,2443534,5232905,1830145,,1155543,2134719,528375,1.62,1.62,1637,,1016226,,,,,1200099.0,3179758,,7178441,2013年01月01日至2013年12月31日,,2291068,4121213,2371183,4001033,-368694,3675988,78882482,93217451,14334969,14336606,14705300,-595.0,,355205,,-66803.0,5852794,7313983,1.62,1.62,7171654,2291068,3307294,132758,69430611,78535844,-80115,120180
2014-05-09,1,2014,,101962,-84381,153465,,522977,1288292,339841,,311729,527100,75772,0.55,0.55,-723,,222362,21700.0,,55040.0,,162098.0,579244,,1838051,2014年01月01日至2014年03月31日,,949223,1289064,797855,1142145,562953,608632,21939462,26124894,4185432,4184709,3621756,9.0,,82997,,,1476068,1869749,0.55,0.55,1700708,949223,1171585,39696,19606988,22384713,151368,146919
2014-08-04,2,2014,,-119828,-38125,148498,,723052,1746195,-500443,,313625,551014,-120427,0.39,0.39,-216,,236026,39407.0,,44418.0,,-260183.0,502030,,1825278,2014年第2季,,541190,40747,564835,110828,230691,546525,24434863,28424516,3989653,3989437,3758746,-5.0,,99427,,,1486210,1861884,0.39,0.39,1834041,541190,777216,65878,21872569,24221005,-23645,-70081
2014-11-10,3,2014,,-7142,-105952,206209,,608885,1628109,472587,,382613,591271,209442,0.8,0.8,-3286,,246687,17648.0,,23505.0,,270275.0,702509,,2651422,2014年第3季,,1517316,1989903,1172649,1574692,981446,782557,27314041,33057967,5743926,5740640,4759194,12.0,,119593,,,1511701,1918394,0.8,0.8,1988179,1517316,1764003,20209,24793194,28896688,344667,415211
2015-03-23,4,2014,,-24878,-389502,649201,,3652284,6625381,1530098,,1618501,2649670,754481,1.51,1.51,744,,801394,,,,,913351.0,3079895,,8710388,2014年度,,2809406,4339504,2210346,3565907,408370,3202430,103258538,120610516,17351978,17352722,16944352,-1125.0,,354114,,-111731.0,6032091,7459189,1.51,1.51,7879850,2809406,3610800,137164,91955662,103876276,599060,773597
2015-05-11,1,2015,7444.0,-113612,-115518,229425,,1259151,1838802,-449235,,329356,615572,-207125,0.6,0.6,474,-456679.0,286125,10437.0,129275.0,129275.0,-8014.0,,764571,-135619.0,2114498,2015年01月01日至2015年03月31日,,1317091,867856,873740,544237,750553,852663,26866967,31664613,4797646,4798120,4047567,,-323.0,87696,15458.0,,1488171,1841693,0.6,0.6,1845373,1317091,1603216,25815,23779852,27239271,443351,323619
2015-08-10,2,2015,-439.0,1489,42518,64995,,1236789,2016697,-317388,,437734,559533,-178002,0.44,0.44,-10668,-316949.0,393491,38778.0,,23926.0,-95.0,,898365,-140594.0,2455980,2015年第2季,,779133,461745,647189,401751,199263,973361,23817000,28437001,4620001,4609333,4410070,,158.0,64734,-344.0,,1513793,1922196,0.44,0.44,1889356,779133,1172624,32517,20589906,23914649,131944,59994
