date,season,year,不動產、廠房及設備減損損失,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,其他費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,投資性不動產減損損失,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,無形資產減損損失,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,金融資產重分類淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,,,13737,533441,77641,35092,1944798,90016.0,1388850,0.19,,-64573,,2994,5631752,2013年01月01日至2013年03月31日,,514570,2459368,514551,2459384,,,28713,421284,84140660,91972997,7832337,7832337,7838716,558344.0,747382,,24504.0,0.19,1369566,514570,449997,,40637.0,,192792,,19,-16
2013-08-07,2,2013,,,,-231609,171405,99576,40064,107104,-1312.0,397580,-0.13,,-189988,,2142,5996672,2013年04月01日至2013年06月30日,,-343454,-236350,-343490,-236067,,,-613280,79838,81899561,89377739,7478178,7478178,8131522,-88813.0,736259,,884.0,-0.13,1399903,-343454,-533442,,-29062.0,,193285,,36,-283
2013-11-05,3,2013,,,,15014,-10192109,282216,45572,-741233,,-681779,-4.82,,494241,,-463,5286841,2013年07月01日至2013年09月30日,,-13119642,-13860875,-13119673,-13861065,,,-2569669,-10055732,85872246,92145560,6273314,6273314,8888555,-73446.0,752296,,-490.0,-4.82,2849418,-13119642,-12625401,,532.0,,145376,,31,190
2014-03-27,4,2013,143102.0,,-808082.0,-274147,-9279893,530124,234508,2262505,1293223.0,1966965,-7.54,,-544387,1523.0,5175,21802936,2013年01月01日至2013年12月31日,,-20519349,-18256844,-20519428,-18256899,10087975.0,9943350.0,-11409666,-9654070,337581776,360132042,22550266,22550266,34194440,402433.0,3091790,,178404.0,-7.54,8006491,-20519349,-21063736,,11150.0,,909476,,79,55
2014-05-08,1,2014,,,,262861,113461,57386,136868,1398019,0.0,1135913,0.0,,144817,,1592,4548073,2014年01月01日至2014年03月31日,,1127,1399146,1118,1399149,,,127244,18700,70349801,76724224,6374423,6374423,6384047,0.0,672818,,0.0,0.0,1163156,1127,145944,,755.0,,153739,,9,-3
2014-08-07,2,2014,,,,216264,120543,67892,71173,-1065385,0.0,-1281669,0.18,,43074,,3894,4887280,2014年第2季,,484699,-580686,484701,-580626,,,662396,-134623,73809020,81336578,7527558,7527558,6936335,0.0,615352,,0.0,0.17,1433703,484699,527773,,-20.0,,326952,,-2,-60
2014-11-06,3,2014,,,,466906,-220680,186691,32309,216382,0.0,-251305,0.24,,399548,,2314,4727995,2014年第3季,,650660,867042,650666,867042,,,1103791,-53583,78007646,85686365,7678719,7678719,6607237,0.0,574269,,0.0,0.23,1304973,650660,1050208,,-781.0,,21908,,-6,0
2015-03-25,4,2014,0.0,,-17599.0,1049440,17599,414732,332759,2438464,0.0,1445638,0.66,,823835,0.0,125629,19143432,2014年度,,1790584,4229048,1790690,4229180,0.0,0.0,2707665,-93246,300742087,329684271,28942184,28942184,26567278,0.0,2524381,,-54382.0,0.63,4899465,1790584,2614419,,2232.0,,651206,0.0,-106,-132
2015-05-07,1,2015,,,,-131225,90746,72589,31052,-2470075,0.0,-2339577,0.06,-2470075.0,160594,,-3413,4541067,2015年01月01日至2015年03月31日,,173134,-2296941,173320,-2296778,,,304110,29618,61284280,67947548,6663268,6663268,6390210,,587258,,,0.06,1261885,173134,333728,,,-727.0,130304,,-186,-163
2015-08-06,2,2015,,,,-389589,-837869,81143,50120,-595277,,-205661,0.0,-595277.0,31652,,1119,3831143,2015年第2季,,2450,-592827,2447,-592824,,,889827,-855725,53887582,60205753,6318171,6318171,5478464,,518955,,,0.0,1128366,2450,34102,,,27.0,100118,,3,-3
2015-11-05,3,2015,,,,-591200,799957,294447,161425,2745874,,3336739,0.06,2745874.0,136596,,439,4614591,2015年第3季,,190894,2936768,190855,2936773,,,-704296,1031786,61768663,67239030,5470367,5470367,6336088,,564140,,,0.06,1157357,190894,327490,,,-335.0,63057,,39,-5
