date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,伙食費,佣金支出,保全費,保險費,修繕費,停業單位損益合計,備供出售金融資產未實現評價損益,其他利息收入,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他減損損失,其他減損迴轉利益,其他營業成本,其他營業收入,其他營業收入淨額,其他綜合損益（淨額）,利息收入合計,利息費用,勞務成本,勞務收入,勞務收入合計,勞務收入淨額,可能重分類至損益之其他項目,各項攤提,呆帳損失,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,工程成本,工程收入,工程收入淨額,廣告費,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,折舊,指定按公允價值衡量之金融負債信用風險變動影響數,捐贈,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－其他,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,文具用品,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,水電瓦斯費,減損損失合計,減損迴轉利益合計,漁業作業費用,漁貨銷售費用,營建工程成本合計,營建工程收入合計,營建成本,營建收入,營建收入（營建業適用）淨額,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),當期所得稅費用（利益）,研究發展費用,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金支出,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,稅捐,管理費用合計,網路服務費,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,職工福利,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,薪資支出,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,訓練費,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,進出口費用,運費,遞延所得稅費用（利益）,郵電費,重估增值,金融資產減損損失,金融資產減損迴轉利益,銀行存款利息,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,,,0.0,100,,,0.0,5250,4,2072,5379,4474,,,0.0,,,,34917,324,8393,54304.0,14159.0,14159.0,14159.0,,,0.0,,28839,1.66,1.66,2298.0,,2934223,3107950,3107950,,,75832,,,,,998.0,998.0,,1876,-1876,,110312,,2013年01月01日至2013年03月31日,,361553,396470,,342912,371898,,,0.0,0.0,0.0,4029787,4712635,1095564.0,1604685.0,1604685.0,440203,-2818,4084091,4726794,642703,642703,202500,,2758.0,0.0,,,,,581,1.66,1.66,,92188,0.0,361553,437385,,,,170.0,,,266,0.0,,,8393,40.0,,0.0,,73074,,,,,320,18641,24572
2013-08-09,2,2013,,,,,0.0,100,,,,-4702,118,9178,17471,15428,,,0.0,162942.0,6488.0,6488.0,2318,1534,7274,,,,,,,0.0,,6352,0.13,0.13,0.0,3193.0,2657598,2777616,2777616,,,17812,,,,,668.0,668.0,0.0,922,-922,,-6246,,2013年04月01日至2013年06月30日,,27611,29929,,27688,28692,,0.0,0.0,0.0,0.0,2657598,2947943,0.0,170327.0,170327.0,26970,18453,2820540,2954431,133891,133891,106921,,3044.0,0.0,,,,,509,0.13,0.13,,113167,0.0,27611,45423,,,,0.0,,,99,12470.0,0.0,,7274,0.0,,0.0,,14768,,,0.0,,1416,-77,1237
2013-11-05,3,2013,,,,,0.0,276,,,,3451,1180,-2429,10562,498,0.0,0.0,,290958.0,13079.0,13079.0,-12681,2074,7032,,,,,,,,,-15786,1.75,1.75,-2346.0,,3130985,3420738,3420738,,,44161,,,,,-281.0,-281.0,0.0,3279,-3279,,153,,2013年07月01日至2013年09月30日,,360599,347918,,361443,351845,,0.0,0.0,0.0,0.0,3130985,3966160,0.0,545422.0,545422.0,406938,-2178,3421943,3979239,557296,557296,150358,,45626.0,,0.0,,,,520,1.75,1.75,,150205,,360599,404760,,7470.0,,65.0,,,83,0.0,,,7032,0.0,,0.0,,-1465,,,,0.0,894,-844,-3927
2014-03-05,4,2013,,,,,0.0,598,,3270.0,,9015,3047,23560,28478,8635,,0.0,,85292.0,30460.0,30460.0,21828,10245,35659,,,,,,1243.0,,,28058,4.06,4.06,0.0,3325.0,11817367,12599569,12599569,187.0,,163538,5946.0,,3074.0,,-3774.0,-3774.0,0.0,8379,-8379,,195924,,2013年01月01日至2013年12月31日,,853176,875004,,836194,852203,,0.0,15000.0,,,13447063,15117651,1629696.0,2518082.0,2518082.0,1008714,8000,13532355,15148111,1615756,1615756,607042,,80807.0,,,,-14594.0,,2128,4.05,4.05,-16600.0,411118,,853176,1016714,3218.0,7470.0,,-3123.0,,,625,12470.0,,700.0,35659,40.0,,,250.0,82731,,,,15000.0,7198,16982,22801
2014-05-09,1,2014,,,,1050.0,,129,5227.0,445.0,,-4278,12,6842,25328,12691,,,,,,,21189,12037,10139,29298.0,28126.0,28126.0,28126.0,,428.0,,,25229,0.48,0.48,3726.0,,2835830,3035654,3035654,45.0,,23090,1562.0,,2106.0,,287.0,287.0,,977,-977,,38,309.0,2014年01月01日至2014年03月31日,,98210,119399,,98742,114531,597.0,,,,,2835830,3035654,0.0,0.0,0.0,100246,21054,2865128,3063780,198652,198652,98406,,17637.0,,,,,,600,0.43,0.43,106.0,98368,,98210,121300,1945.0,,,49.0,,56268.0,64,,,67.0,10139,3180.0,,,50.0,5453,683.0,,,,12025,-532,4868
2014-08-11,2,2014,,,,1036.0,,146,,556.0,,-29073,9,23425,-3121,-8829,,,,,,,-52261,5180,14827,17684.0,32542.0,32542.0,32542.0,,639.0,,,-22853,1.53,1.53,,4274.0,2179335,2285317,2285317,60.0,,4160,1565.0,,2017.0,,-404.0,-404.0,,4285,-4285,,250,,2014年第2季,,313984,261723,,314566,267206,,,,,,2441120,2851049,261785.0,565732.0,565732.0,316952,1192,2458804,2883591,424787,424787,107835,,3063.0,,,,,5941.0,528,1.3,1.3,2088.0,107585,,313984,318144,-956.0,,,-69.0,,61105.0,24,30483.0,,53.0,14827,-2760.0,,,47.0,1097,,,,,5171,-582,-5483
2014-11-14,3,2014,,,2440.0,887.0,,148,,695.0,,-161,20,-11610,14349,4923,,,,,,,20273,3506,17040,28353.0,33836.0,33836.0,33836.0,,613.0,,,20197,0.12,0.12,3222.0,0.0,2264584,2417782,2417782,116.0,,21228,1552.0,,2180.0,,286.0,286.0,,9177,-9177,,162,,2014年第3季,,23571,43844,,25639,41450,951.0,,,,,2264584,2418565,0.0,783.0,783.0,68277,-23478,2292937,2452401,159464,159464,91187,,25880.0,,,,,5374.0,528,0.12,0.12,72.0,91025,,23571,44799,541.0,5392.0,,49.0,,50667.0,49,677.0,,133.0,17040,-13020.0,,,41.0,-4652,,,,,3486,-2068,2394
2015-03-20,4,2014,,,21039.0,3839.0,,566,17063.0,2348.0,,-29335,190,-9,70189,37294,,,,,,,24895,25299,63527,103330.0,126951.0,126951.0,126951.0,,2329.0,,,67952,2.54,2.54,3869.0,0.0,10010874,10688014,10688014,665.0,,59997,6268.0,,8179.0,,863.0,863.0,,5713,-5713,,283,,2014年度,,518087,542982,,523207,533342,2767.0,,0.0,,,10272659,11254529,261785.0,566515.0,566515.0,577144,940,10375989,11381480,1005491,1005491,428347,,62628.0,,,,-17395.0,22534.0,2204,2.24,2.24,6465.0,428064,,518087,578084,2950.0,5392.0,,-2810.0,,,334,34295.0,,704.0,63527,0.0,16800.0,,195.0,-2631,,,,0.0,25109,-5120,9640
2015-05-11,1,2015,0.0,0.0,520.0,931.0,,100,4691.0,532.0,,-7291,2246,-10434,10474,6429,,,,,,,-23279,3423,20436,28876.0,32092.0,32092.0,32092.0,0.0,636.0,,0.0,-15670,0.41,0.41,0.0,15053.0,2227977,2453499,2453499,15.0,-23279.0,21379,1912.0,0.0,1610.0,0.0,,,,4524,-4524,-381.0,31,606.0,2015年01月01日至2015年03月31日,17817.0,84535,61256,0.0,85001,63977,383.0,,,,,2227977,2453499,,,,130834,-24920,2256853,2485591,228738,228738,97904,0.0,,,,0.0,,5505.0,622,0.36,0.36,16.0,97873,,84535,105914,321.0,,0.0,,-63.0,57490.0,198,6237.0,,21.0,20436,0.0,900.0,,40.0,3562,693.0,0.0,,,1177,-466,-2721
2015-08-12,2,2015,,,9386.0,901.0,,100,,588.0,,-4757,1856,-9250,7784,3407,,,,,,,-19818,3828,20516,55216.0,55156.0,55156.0,55156.0,,688.0,,,-14883,0.18,0.18,6895.0,0.0,2358601,2569717,2569717,,-19818.0,57059,2043.0,,370.0,,,,,2107,-2107,-217.0,1025,,2015年第2季,59959.0,36402,16584,,36933,19952,664.0,,,,,2358601,2569717,0.0,0.0,0.0,117550,-24089,2413817,2624873,211056,211056,93506,,,,,,,5745.0,549,0.18,0.18,1204.0,92481,,36402,93461,712.0,,,,-39.0,48846.0,17,85.0,107.0,227.0,20516,0.0,6720.0,,28.0,-2900,,,,,1972,-531,-3368
2015-11-12,3,2015,,,25.0,886.0,93.0,153,,541.0,,-15602,2246,-6064,10797,761,,,,,,,55591,3717,20780,39526.0,69707.0,69707.0,69707.0,,594.0,,,71288,0.5,0.5,7992.0,0.0,2859086,3062252,3062252,,55591.0,36208,1999.0,,3010.0,,,,,5334,-5334,-113.0,1110,,2015年第3季,36284.0,102304,157895,,102670,145352,906.0,,,,,2887739,3104033,28653.0,41781.0,41781.0,159893,-21381,2927265,3173740,246475,246475,86582,,,,,,,5464.0,550,0.46,0.46,809.0,85472,,102304,138512,487.0,5769.0,,,-18.0,51107.0,56,0.0,55.0,414.0,20780,,13920.0,,45.0,-76,,,,,1471,-366,12543
2016-03-22,4,2015,,-20548.0,20319.0,3650.0,169.0,664,15932.0,2296.0,,-17929,8385,-31893,40396,17642,,,,,,,1735,14694,83921,153433.0,195647.0,195647.0,195647.0,,2513.0,-29628.0,,40527,1.58,1.58,2559.0,,10770285,11600278,11600278,,22283.0,125249,7949.0,,5918.0,,,,,15662,-15662,-379.0,3235,,2015年度,127140.0,325551,327286,,326474,320461,2630.0,,,,,10827915,11674614,57630.0,74336.0,74336.0,541880,-91080,10981348,11870261,888913,888913,347033,,,,,-24757.0,,23771.0,2291,1.4,1.4,6715.0,343798,,325551,450800,3138.0,5769.0,-4209.0,,-64.0,215088.0,672,6219.0,,895.0,83921,,19680.0,,162.0,-1891,,,,,6309,-923,6825
2016-05-10,1,2016,,,175.0,911.0,,206,4541.0,959.0,,-5608,2205,24527,12691,8852,,,,,,,132,3197,21166,10376.0,25367.0,25367.0,25367.0,,575.0,-20250.0,,5704,0.71,0.71,12115.0,0.0,2783426,2995642,2995642,,132.0,28966,1969.0,,0.0,,,,27950.0,0,27950,44.0,187,260.0,2016年01月01日至2016年03月31日,22108.0,144711,144843,,146687,150523,446.0,,,,,2783426,2995642,,,,129675,44002,2793802,3021009,227207,227207,97532,,,,,,,7479.0,642,0.59,0.59,602.0,97345,,144711,173677,449.0,,,,8.0,67416.0,133,0.0,,49.0,21166,12720.0,0.0,,45.0,6858,,,,,992,-1976,-5680
