date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之重估增值,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,1170,7166,20030,34814,2749,5093,33644,-0.07,,,3503,,0.0,,34978,2013年01月01日至2013年03月31日,-16310,18504,-14301,19292,-34910,22103,93156,156630,63474,63474,98384,,26935,,,17281,,36471,-16310,-12807,,,,5093,93156.0,156630.0,-2009,-788
2013-08-02,2,2013,,49,3513,18368,28011,679,5038,27962,-0.05,-0.05,,3845,,,,32912,2013年04月01日至2013年06月30日,-11733,16278,-9367,17834,-24731,16843,120164,189843,69679,69679,94410,,26042,,,17689,,35456,-11733,-7888,,,,5038,120164.0,189843.0,-2366,-1556
2013-11-07,3,2013,,1470,2304,17799,-17881,199,4491,-19351,-0.09,-0.09,,2463,,,,36823,2013年07月01日至2013年09月30日,-20798,-38679,-19165,-36567,-33947,15612,109171,172084,62913,62913,96860,2463.0,24582,,,17600,,35455,-20798,-18335,,,,4491,109171.0,172084.0,-1633,-2112
2014-03-20,4,2013,,7543,21437,75324,64434,5758,18593,67627,-0.24,-0.24,,12767,,0.0,,143402,2013年01月01日至2013年12月31日,-56810,7624,-48811,13435,-122211,78168,439494,707029,267535,267535,389746,,101469,,388.0,69566,,144875,-56810,-44043,,11124.0,,18593,439494.0,707029.0,-7999,-5811
2014-05-07,1,2014,,3627,5600,24362,-4244,6775,5473,-7871,0.03,0.03,,5451,,,,37970,2014年第1季,3621,-623,5442,1429,-15417,24489,106630,187711,81081,81081,96498,,23297,,,17587,,35231,3621,9072,,,,5473,106630.0,187711.0,-1821,-2052
2014-08-06,2,2014,,2653,-865,17536,-23670,4629,4137,-26323,-0.02,-0.02,,5308,,,,31482,2014年第2季,-4517,-28187,-4125,-27273,-11743,12534,119598,197676,78078,78078,89821,,22389,,,12907,,35950,-4517,791,,,,4137,119598.0,197676.0,-392,-914
2014-11-11,3,2014,,3692,143729,15375,45840,2801,3759,42148,0.56,,,16579,,,,27980,2014年第3季,114014,159854,114390,159444,-24752,155345,112233,173644,61411,61411,86163,,20613,,,12574,,37570,114014,130593,,,,3759,112233.0,173644.0,-376,410
2015-03-30,4,2014,,15475,154655,78281,62237,18070,16302,60518,0.76,,,12096,,,,139758,2014年度,150478,212715,153103,214409,-54060,216634,481209,798731,317522,317522,371582,,87937,,-995.0,60211,,143887,150478,162574,,12761.0,,16302,481209.0,798731.0,-2625,-1694
2015-05-13,1,2015,,-5002,18353,19102,-20884,2674,2771,-15882,0.13,,-20884.0,3781,,,,29558,2015年01月01日至2015年03月31日,26465,5581,26594,5978,-4438,34684,116654,197479,80825,80825,85263,,20710,,,16428,,34995,26465,30246,,,,2771,116654.0,197479.0,-129,-397
2015-08-06,2,2015,,-6441,25346,19168,-23727,2379,2266,-23961,0.08,,-23727.0,7707,,,,34346,2015年第2季,17418,-6309,16380,-7039,-17123,42248,117136,192649,75513,75513,92636,,23510,,,16789,,34780,17418,25125,,,-6675.0,2266,117136.0,192649.0,1038,730
2015-11-10,3,2015,,0,15138,24928,52852,2840,1780,63429,-0.14,,52852.0,40232,,,,36611,2015年第3季,-28112,24740,-29214,22428,-26166,38286,121510,194349,72839,72839,99005,,24578,,,22088,,37816,-28112,12120,,,10577.0,1780,121510.0,194349.0,1102,2312
2016-03-31,4,2015,435453.0,-14074,362069,80772,412899,9885,8516,-11852,1.27,,-22554.0,98018,516229.0,,516229.0,140062,2015年度,260746,673645,257625,670612,-75561,434325,505479,809073,303594,303594,379155,,92585,-4027.0,,70887,,146508,260746,358764,76749.0,,-3372.0,8516,505479.0,809073.0,3121,3033
2016-05-12,1,2016,,0,516169,23397,-36229,1435,1127,-43526,1.91,,-36229.0,125642,,,,29940,2016年01月01日至2016年03月31日,388998,352769,388123,352497,-23799,538439,102602,163147,60545,60545,84344,,23470,,,21962,1.91,30934,388998,514640,,,-7297.0,1127,,,875,272
2016-08-09,2,2016,,0,-1552,23699,-52059,1261,933,-62520,0.02,,-52059.0,6332,,,,35144,2016年第2季,5785,-46274,3656,-47417,-9097,21214,117088,195647,78559,78559,87656,,23478,,,22438,0.02,29034,5785,12117,,,-10461.0,933,,,2129,1143
2016-11-09,3,2016,,0,-12163,21545,-54705,1069,505,-65693,-0.07,,-54705.0,-1699,,,,30933,2016年第3季,-13317,-68022,-14131,-67779,-23893,8877,111790,173643,61853,61853,85746,,26419,,,20476,,28394,-13317,-15016,,,-10988.0,505,111790.0,173643.0,814,-243
