date,season,year,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,其他費用,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估增值,金融資產減損損失,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-24,1,2013,,,,-10100,49885,10180,,,12741,,150925,,,161025,1.1,1.1,,,33363,,5440,39416,2013年01月01日至2013年03月31日,134635,285560,,125219,263539,,114301,53697,1598748,1855221,256473,256473,154913,0.0,11665,,,1.03,1.03,103832,134635,167998,,,,,,,,11808,,,,,1598748.0,,,1855221,,9416,22021
2013-08-13,2,2013,,,,-6150,8286,11845,,,3459,,78736,,,84886,0.39,0.39,,,15638,,-178,28943,2013年04月01日至2013年06月30日,46097,124833,,45596,112296,,51136,10599,1457883,1671686,213803,213803,166126,0.0,14944,,,0.38,0.38,122239,46097,61735,,,,,,,,9354,,,,,1457883.0,,,1671686,,501,12537
2013-11-11,3,2013,,1688.0,,-1000,-87702,8250,4499.0,,-1988,,-28957,,1933.0,-27957,0.25,0.25,-3550.0,,7243,,15581,38994,2013年07月01日至2013年09月30日,39029,10072,,29050,3617,,119819,-73547,1811990,2107331,295341,295341,173534,0.0,13234,,,0.24,0.24,121306,39029,46272,1818.0,,,,,0.0,84287.0,9676,1823.0,,,,,13119.0,2174089.0,2107331,53639.0,9979,6455
2014-03-13,4,2013,,8362.0,,-22250,-41164,49618,35480.0,,22657,-53686.0,271103,,11788.0,349840,3.57,3.57,37598.0,,125528,,45405,159222,2013年01月01日至2013年12月31日,455842,726945,,417100,656961,0.0,572060,9310,6834789,8056946,1222157,1222157,672754,0.0,51041,,-2801.0,3.4,3.4,462491,455842,581370,2350.0,,,,,,65745.0,44549,0.0,4655.0,,0.0,,60185.0,8261683.0,8056946,144552.0,38742,69984
2014-05-08,1,2014,,3981.0,,-3614,34613,17196,14509.0,,9867,-18923.0,98563,,2687.0,121100,0.02,0.02,26759.0,,6152,,12201,49533,2014年01月01日至2014年03月31日,2786,101349,,2093,90872,,-46369,55307,1479212,1593365,114153,114153,170389,,8794,,,0.02,0.02,112062,2786,8938,,,,,,8674.0,,8703,3161.0,0.0,,,,24166.0,1650339.0,1593365,32808.0,693,10477
2014-08-05,2,2014,,,,-961,-11328,3345,,,646,23030.0,-127665,,3345.0,-149734,0.96,0.96,,,63677,,21810,49053,2014年第2季,112561,-15104,,114063,654,,170778,5460,1771072,2128297,357225,357225,187093,,7189,,,0.92,0.92,130851,112561,176238,,,,,,,,8367,,,,,,12038.0,2173232.0,2128297,32897.0,-1502,-15758
2014-11-07,3,2014,,,,-3025,15299,1355,,,7010,-21170.0,107833,,,132028,1.27,1.27,,,77294,,3578,60126,2014年第3季,160509,268342,,151529,251868,,227822,9981,2038076,2444770,406694,406694,185882,,8319,,,1.22,1.22,117437,160509,237803,,,,,,,,10251,,,,,,17432.0,2519792.0,2444770,57590.0,8980,16474
2015-03-06,4,2014,,,,-10163,93355,12248,,,11705,,352372,,,429537,6.05,6.05,,,348125,,12719,213017,2014年度,738843,1091215,,718804,1048924,,1006624,80344,7770893,9544086,1773193,1773193,778274,,34443,,2694.0,5.77,5.77,530814,738843,1086968,,,69696.0,,,,,37978,,,,,,72109.0,9837806.0,9544086,221611.0,20039,42291
2015-04-28,1,2015,,,,-181,19691,1141,,,6079,,-90195,,,-107089,1.86,1.86,,-90195.0,79641,,-18420,62840,2015年01月01日至2015年03月31日,233849,143654,,222013,138466,,320802,-7312,2035290,2542308,507018,507018,192295,,8816,,,1.77,1.77,120639,233849,313490,,,,-17075.0,,,,9724,,,,,,14912.0,2607529.0,2542308,50309.0,11836,5188
2015-08-10,2,2015,,,,-2996,4356,1751,,2870.0,2870,,-74551,,,-85375,1.13,1.13,,-74551.0,120016,,14989,52982,2015年第2季,151965,77414,,138764,68296,,258206,13775,1918814,2366107,447293,447293,191957,,6099,,,1.03,1.03,132876,151965,271981,,,,-13820.0,,,,7321,,,,,,6398.0,2393182.0,2366107,20677.0,13201,9118
