date,season,year,不重分類至損益之項目總額,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,,,-125,724,,,,0.53,,,8613,2369,2013年01月01日至2013年03月31日,,73852,73852,73852,73852,100386,-17921,601252,716529,115277,115277,14891,,,0.48,12522,73852,82465,18520,0.0,
2013-08-08,2,2013,,,,780,1051,1051.0,,,0.41,,,5479,1678,2013年04月01日至2013年06月30日,,56796,56796,56796,56796,77264,-14989,905046,996568,91522,91522,14258,,,0.37,12580,56796,62275,16820,0.0,
2013-11-04,3,2013,,,,309,455,455.0,,,0.37,,,12046,2327,2013年07月01日至2013年09月30日,,61435,61435,61435,61435,87958,-14477,811146,917564,106418,106418,18460,,,0.35,16133,61435,73481,15241,0.0,
2014-03-11,4,2013,,0.0,0.0,940,4347,4347.0,-485.0,,1.2,0.0,,25527,8728,2013年01月01日至2013年12月31日,0.0,190669,190184,190669,190184,276390,-60194,3134796,3472787,337991,337991,61601,,-485.0,1.13,52873,190669,216196,65481,0.0,0.0
2014-05-09,1,2014,,,,-898,1215,,,,0.22,,,7391,3317,2014年01月01日至2014年03月31日,,39336,39336,39336,39336,56822,-10095,563036,637597,74561,74561,17739,,,0.22,14422,39336,46727,10412,0.0,
2014-08-08,2,2014,,,,672,2042,2042.0,,,0.13,,,10224,3091,2014年第2季,,23449,23449,23449,23449,43713,-10040,859179,918387,59208,59208,15495,,,0.13,12404,23449,33673,12754,0.0,
2014-11-11,3,2014,,,,1361,1243,1243.0,,,-0.05,,,-1216,2303,2014年第3季,,-8257,-8257,-8257,-8257,5699,-15172,620163,641712,21549,21549,15850,,,-0.05,13547,-8257,-9473,17776,0.0,
2015-03-19,4,2014,,,,1551,7975,7975.0,611.0,,0.35,,,18340,11839,2014年度,,64551,65162,64551,65162,133145,-50254,2697046,2888292,191246,191246,58101,,611.0,0.35,46262,64551,82891,59780,,
2015-04-30,1,2015,,,,-1966,974,,,,0.02,,,971,2945,2015年01月01日至2015年03月31日,,4332,4332,4380,4332,24809,-19506,651858,690518,38660,38660,13851,,,0.02,10906,4332,5303,18514,-48.0,
2015-07-30,2,2015,,,,-6168,1532,1532.0,-1825.0,-1825.0,0.04,,-1825.0,3096,47488,2015年第2季,,1783,-42,7602,-42,27527,-22648,607864,700903,93039,93039,65512,,,0.04,18024,1783,4879,18012,-5819.0,
2015-11-10,3,2015,,,,30976,1372,1372.0,-15066.0,-15066.0,0.48,,-15066.0,7233,-2149,2015年第3季,,96894,81828,89313,81828,88221,15906,606621,713088,106467,106467,18246,,,0.48,20395,96894,104127,16442,7581.0,
2016-03-15,4,2015,-1016.0,,,24286,5874,5874.0,-21506.0,-20490.0,1.02,,-20490.0,28588,50226,2015年度,,190834,169328,189418,167912,259164,-39742,2643370,3025020,381650,381650,122486,-1016.0,,1.02,72260,190834,219422,69902,1416.0,1416.0
2016-05-04,1,2016,,,,-9271,1329,,18554.0,18554.0,0.07,,18554.0,3017,3496,2016年01月01日至2016年03月31日,,8194,26748,12696,23106,34722,-23511,539248,592899,53651,53651,18929,,,0.07,15433,8194,11211,15569,-4502.0,3642.0
2016-08-02,2,2016,,,,-3154,1988,,11546.0,11546.0,0.29,,11546.0,18400,-1406,2016年第2季,,50963,62509,53984,60462,86212,-16849,576754,683260,106506,106506,20294,,,0.29,21700,50963,69363,15683,-3021.0,2047.0
2016-11-10,3,2016,,,,3838,2318,2318.0,-30903.0,-30903.0,0.06,,-30903.0,-240,12227,2016年第3季,,-8650,-39553,-11587,-29415,6774,-15664,407581,442441,34860,34860,28086,,,0.06,15859,-8650,-8890,21820,2937.0,-10138.0
