date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分投資利益,財務成本淨額,重估增值,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,,,12786,13838,104956,39842,24170,,184285,15672,8258.0,170447,2.38,117742.0,0.0,,,207968,,,302472,302472,323213,2013年01月01日至2013年03月31日,25907.0,683844,868129,,678798,861326,452800,439012,4297179,5279187,982008,956101,503301,,,2.37,180088,683844,891812,,,,,8258,,4297179,5279187.0,5279187,5279187,5046,6803
2013-08-12,2,2013,,,9735,8237,26282,38465,27869,,74535,10596,8058.0,66298,2.62,36017.0,,82303.0,,291459,,,222719,222719,253331,2013年04月01日至2013年06月30日,,746101,820636,,744657,812975,758152,279408,4640169,5753930,1113761,1196064,437912,,,2.6,184581,746101,1037560,,,,,8058,,4640169,5753930.0,5753930,5753930,1444,7661
2013-11-11,3,2013,,,12345,-6392,2206,27009,11361,,-48980,13987,3516.0,-42588,2.93,14551.0,0.0,-37001.0,,320292,,,191358,191358,330683,2013年07月01日至2013年09月30日,,832545,783565,,833086,779710,935780,217057,6224606,7697244,1472638,1435637,499857,,,2.9,169174,832545,1152837,1661.0,,,,3516,,6224606,7697244.0,7697244,7697244,-541,3855
2014-03-26,4,2013,,,17760,21045,173475,221109,147454,-9156.0,374393,73655,,308642,10.21,191235.0,,,,1021184,,,913654,913654,1173504,2013年01月01日至2013年12月31日,47950.0,2919841,3294234,,2907457,3261811,2659300,1281725,20764585,25309024,4544439,4496489,1837189,,53862.0,10.15,663685,2919841,3941025,,,,0.0,26513,,20764585,25309024.0,25309024,25309024,12384,32423
2014-05-09,1,2014,,,25222,10128,5739,43461,27985,,181837,15476,8811,171709,2.54,30961,0,,,210742,,,351678,351678,345200,2014年01月01日至2014年03月31日,-16808,743223,925060,,724563,899100,561898,392067,4578892,5671418,1092526,1109334,547436,,,2.53,202236,743223,953965,,,,,8811,,4578892,5671418,5671418,5671418,18660,25960
2014-08-12,2,2014,,,6877,-12972,-23775,46884,32628,,-212085,14256,9647.0,-199113,2.46,-16898.0,,60003.0,,229430,,,216725,216725,393997,2014年第2季,,714454,502369,,701350,499068,713697,230187,5512875,6763387,1250512,1310515,596818,,,2.45,202821,714454,943884,,,,,9647,,5512875,6763387.0,6763387,6763387,13104,3301
2014-08-12,3,2014,,,7839,-8279,43286,59110,34875,,21269,20311,2456.0,29548,3.33,51125.0,0.0,-38912.0,,250351,,,388152,388152,319557,2014年第3季,,987432,1008701,,996365,1021718,749691,488092,6434791,7725124,1290333,1251421,501730,,,3.32,182173,987432,1237783,3924.0,,,,2456,,6434791,7725124.0,7725124,7725124,-8933,-13017
2015-03-25,4,2014,,,15688,-7926,157079,289627,213750,3405.0,291907,75877,,316457,11.2,172767.0,,,,880520,,,1189369,1189369,1354885,2014年度,77508.0,3389752,3681659,,3349849,3632863,2661411,1608861,22346862,27217143,4870281,4792773,2131362,,-20029.0,11.13,776477,3389752,4270272,,,,0.0,27214,,22346862,27217143.0,27217143,27217143,39903,48796
2015-05-11,1,2015,,,16316,8630,-18507,25411,4513,,-430903,20898,,-439533,2.35,-2191.0,,32652.0,-430903.0,176282,,,266709,266709,360812,2015年01月01日至2015年03月31日,,714121,283218,,702702,301612,628606,261797,5044284,6197835,1153551,1186203,557597,,,2.34,196785,714121,890403,,,,,11816,,5044284,6197835.0,6197835,6197835,11419,-18394
2015-08-11,2,2015,,,13124,-10808,32262,45425,30789,,-86663,14636,-242.0,-75855,1.96,-18895.0,,70456.0,-86663.0,277496,,,-51524,-51524,301660,2015年第2季,,594055,507392,,586188,499308,845146,26405,5805324,7036400,1231076,1301532,456386,,,1.95,154726,594055,871551,,,,64281.0,-242,,5805324,,7036400,7036400,7867,8084
