date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨收入淨額
2014-03-24,4,2013,,176683,118726,5688,182,0.6,,38877,273945,2013年01月01日至2013年12月31日,367330,373018,367330,373018,165031,241176,17679209,18274707,595498,595498,430467,53420,,5506.0,0.6,103102,367330,406207,54233,
2014-04-28,1,2014,,19066,22658,-28,-28,0.13,,19749,65831,2014年01月01日至2014年03月31日,80050,80022,80050,80022,65214,34585,4332447,4503321,170874,170874,105660,14124,,,0.13,25705,80050,99799,7139,
2014-08-12,2,2014,,-20645,57888,-133,-133,-0.12,,-349,76258,2014年第2季,-75086,-75219,-75086,-75219,-97659,22224,4702315,4714510,12195,12195,109854,14469,,,-0.12,19127,-75086,-75435,15019,
2014-11-07,3,2014,,-33705,32484,187,187,0.04,,6936,71681,2014年第3季,25100,25287,25100,25287,41087,-9051,4102577,4253079,150502,150502,109415,13801,,,0.04,23933,25100,32036,7830,
2015-03-20,4,2014,,5710,136287,7561,254,0.09,,28192,289936,2014年度,57318,64879,57318,64879,-28293,113803,17756529,18172168,415639,415639,443932,55235,,7307.0,0.09,98761,57318,85510,28194,
2015-05-08,1,2015,,32287,24039,-62,-62,-0.11,-62.0,-10577,77301,2015年第1季,-66885,-66947,-66885,-66947,-125576,48114,4035116,4025006,-10110,-10110,115466,13599,,,-0.11,24566,-66885,-77462,8212,4025006.0
2015-07-28,2,2015,,59752,45411,-109,-109,0.44,-109.0,22158,75357,2015年第2季,270235,270126,270235,270126,193331,99062,3876503,4196056,319553,319553,126222,14550,,,,36315,270235,292393,6101,
2015-11-12,3,2015,,17321,37576,496,496,-0.15,496.0,-14399,63852,2015年第3季,-92151,-91655,-92151,-91655,-167038,60488,3338319,3271102,-67217,-67217,99821,14982,,,-0.15,20987,-92151,-106550,-5591,3271102.0
2016-03-25,4,2015,-1791.0,86966,140776,-1727,64,0.22,64.0,9764,288574,2015年度,132151,130424,132151,130424,-75085,217000,14600527,14990727,390200,390200,465285,62480,-1791.0,,0.22,114231,132151,141915,10742,
2016-05-06,1,2016,,-29278,34561,-116,-116,0.03,-116.0,4352,63358,2016年01月01日至2016年03月31日,15428,15312,15428,15312,19826,-46,2860348,2991825,131477,131477,111651,19626,,,0.03,28667,15428,19780,5329,2991825.0
2016-08-12,2,2016,,-58577,51018,-152,-152,0.08,-152.0,17579,69517,2016年第2季,49850,49698,49850,49698,86614,-19185,3088963,3295090,206127,206127,119513,19392,,,0.08,30604,49850,67429,11626,
2016-11-04,3,2016,,-12011,45439,-303,-303,0.05,-303.0,2182,69300,2016年第3季,30003,29700,30003,29700,11551,20634,3024201,3151499,127298,127298,115747,17239,,,0.05,29208,30003,32185,12794,
