date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,重估增值,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2014-03-12,4,2013,,,,,5755,27455,27455,0,-9352,45660,,,55012,6.03,,,,123341,,,-96,,69168,2013年01月01日至2013年12月31日,,352699,398359,,352699,398359,446023,30017,453700,1115172,661472,661472,215449,,31816,,5.99,,114465,352699,476040,,,3097,,453700,1115172,,
2015-03-23,4,2014,,,,,25898,6301,6301,,-8852,43219,,,52071,5.32,5.32,,,94666,,,0,,120448,2014年度,,323568,366787,,323568,366787,389741,28493,664901,1336101,671200,671200,281459,,30623,,5.31,5.31,130388,323568,418234,,,3706,,664901,1336101,,0
2015-05-12,1,2015,0,0,0,0,2120,429,,0,,-14208,0,0,-17118,0.64,0.64,0,-14208,22655,0,0,,0,33758,2015年01月01日至2015年03月31日,0,39108,24900,0,39108,24900,60963,800,134358,270815,136457,136457,75494,0,7982,0,0.64,0.64,33754,39108,61763,0,-2910,1749,0,134358,270815,0,0
2015-08-11,2,2015,,,,,-3779,3257,,,,-17659,,,-21275,1.54,1.54,,-17659,24591,,,,,36137,2015年第2季,,93921,76262,,93921,76262,121895,-3383,190058,393201,203143,203143,81248,,8471,,1.54,1.54,36640,93921,118512,,-3616,2861,,190058,393201,,
2016-03-23,4,2015,,,,,3353,6779,6779,,,-11657,,,-14044,3.89,3.89,,-11657,67024,,,,,152178,2015年度,,240615,228958,,240615,228958,307881,-242,730713,1367062,636349,636349,328468,,38173,,3.88,3.88,138117,240615,307639,,-2387,10374,,730713,1367062,,
2016-05-11,1,2016,,,,,-3351,1470,,,,-20763,,,-25016,0.33,0.33,,-20763,5485,,,,,35524,2016年01月01日至2016年03月31日,,22369,1606,,22369,1606,31484,-3630,157943,268162,110219,110219,78735,,12889,,0.33,0.33,30322,22369,27854,,-4253,1749,,157943,268162,,
2016-08-10,2,2016,,,0,,-8687,1160,,0,,-32458,,,-39106,0.96,0.96,,-32458,14733,,,,,35374,2016年第2季,,64195,31737,,64195,31737,87919,-8991,229431,393958,164527,164527,76608,,13449,,0.96,0.96,27785,64195,78928,,-6648,1464,,229431,393958,,
