date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額
2013-04-29,1,2013,,,4721,-859,47995,608526,603805,1.49,1.49,,-191356,,-11948.0,141866,2013年01月01日至2013年03月31日,1048006,1656532,1048006,1656532,915195,-58545,10011818,12320549,2308731,2308731,1393536,521002,,,1.4,1.4,730668,1048006,856650,,,93733
2013-08-12,2,2013,,,13,70209,68028,405945,386811,1.11,1.11,,205388,19121.0,-10103.0,118827,2013年04月01日至2013年06月30日,816489,1222434,816489,1222434,986805,35072,10186249,12367890,2181641,2181641,1194836,533198,,,1.05,1.05,542811,816489,1021877,,,93062
2013-11-13,3,2013,,,7216,-309,117494,-220562,-227778,1.94,1.94,,250734,,-48179.0,236111,2013年07月01日至2013年09月30日,1436099,1215537,1436099,1215537,1712716,-25883,13967193,16994441,3027248,3027248,1314532,553606,,,1.82,1.82,524815,1436099,1686833,,,94889
2014-03-25,4,2013,,,48199,12269,341580,1338119,1289349,7.41,7.41,,599119,,-87275.0,770541,2013年01月01日至2013年12月31日,5470812,6808931,5470812,6808931,6186118,-116187,52589550,64483145,11893595,11893595,5707477,2171870,,688.0,6.88,6.88,2765066,5470812,6069931,,117.0,382761
2014-05-12,1,2014,,,17048,-927,108932,-244679,-261727,1.23,1.23,,131931,,-10967.0,216767,2014年01月01日至2014年03月31日,911493,666814,911493,666814,1072652,-29228,12467807,14845412,2377605,2377605,1304953,503370,,,1.16,1.16,584816,911493,1043424,,,126266
2014-08-13,2,2014,,,16630,18090,101181,-397268,-413898,1.33,1.33,,63532,,0.0,189810,2014年第2季,983812,586544,983812,586544,1040606,6738,13486247,15942439,2456192,2456192,1415586,603921,,,1.24,1.24,621855,983812,1047344,,,112533
2014-11-10,3,2014,,,28382,97715,80786,822206,793824,2.16,2.16,,371496,,0.0,249489,2014年第3季,1593850,2416056,1593850,2416056,1920559,44787,15604278,19214449,3610171,3610171,1689612,762342,,,1.87,1.87,677781,1593850,1965346,,,133714
2015-03-20,4,2014,,,34352,169831,405664,907946,873930,9.12,9.12,,1249322,,-10967.0,931396,2014年度,6734684,7642630,6734684,7642630,7916774,67232,61630696,75953540,14322844,14322844,6406070,2744340,,-405.0,8.1,8.1,2730334,6734684,7984006,,-69.0,497296
2015-05-12,1,2015,,,16055,218965,218545,-293728,-309783,1.85,1.85,-293728.0,357586,,0.0,259456,2015年01月01日至2015年03月31日,1374914,1081186,1374914,1081186,1422346,310154,14656123,17772284,3116161,3116161,1693815,711959,,,1.62,1.62,722400,1374914,1732500,,,127356
2015-08-10,2,2015,,,-28511,173751,243334,-493317,-464806,1.91,1.91,-493317.0,262233,,0.0,285329,2015年第2季,1532906,1039589,1532906,1039589,1475296,319843,15476279,18667167,3190888,3190888,1715592,742874,,,1.77,1.77,687389,1532906,1795139,,,97242
2015-11-10,3,2015,,,-2547,-168605,225433,1241143,1243690,2.67,2.67,1241143.0,640768,,0.0,370150,2015年第3季,2150941,3392084,2150941,3392084,2835512,-43803,17507671,22441823,4934152,4934152,2098640,916417,,,2.45,2.45,812073,2150941,2791709,,,100631
2016-03-22,4,2015,1540710.0,1539939.0,-22164,410203,1062232,-548121,-2065896,9.8,9.8,-2088060.0,1661707,,0.0,1210292,2015年度,7730720,7182599,7730720,7182599,8355594,1036833,69310302,85737736,16427434,16427434,8071840,3537754,-929.0,,8.79,8.79,3323794,7730720,9392427,-158.0,,435602
2016-05-12,1,2016,1317682.0,1317682.0,4978,-117467,112999,-591050,-1913710,0.39,0.39,-1908732.0,172881,,,151025,2016年01月01日至2016年03月31日,310967,-280083,310967,-280083,593175,-109327,12950514,15397803,2447289,2447289,1854114,878164,,,0.38,0.38,824925,310967,483848,,,104859
2016-08-11,2,2016,181982.0,181982.0,-5375,108881,177565,-1089460,-1266067,0.4,0.4,-1271442.0,156433,,,180531,2016年第2季,318519,-770941,318519,-770941,283603,191349,13611174,15522646,1911472,1911472,1627869,900091,,,0.4,0.4,547247,318519,474952,,,95097
2016-11-10,3,2016,-1125198.0,-1125198.0,-983,-165026,266178,-1016776,109405,1.76,1.76,108422.0,281514,,0.0,283551,2016年第3季,1418714,401938,1418714,401938,1694084,6144,18275386,22085152,3809766,3809766,2115682,1040338,,,1.63,1.63,791793,1418714,1700228,,,95008
