date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,,,0.0,0.0,16807,35767,35767,,277284,277284,1.34,16807.0,,,,71719,145224,2013年01月01日至2013年03月31日,,372214,649498,349058,589550,432127,11806,3243848,3983950,740102,740102,307975,6634,,,1.3,156117,372214,443933,40768,3983950,23156,59948
2013-08-09,2,2013,,,0.0,0.0,31748,1029,1029,,24359,24359,1.53,31748.0,,,,107193,187740,2013年04月01日至2013年06月30日,,417940,442299,396273,396467,539071,-13938,3833475,4765801,932326,932326,393255,6655,,,1.47,198860,417940,525133,46715,4765801,21667,45832
2013-11-08,3,2013,,,0.0,0.0,-26487,25666,25666,,-187783,-187783,1.32,-26487.0,,,,77708,192914,2013年07月01日至2013年09月30日,,347064,159281,342460,161361,475322,-50550,3925019,4802503,877484,877484,402162,7698,,,1.26,201550,347064,424772,49729,4802503,4604,-2080
2014-03-28,4,2013,,,0.0,0.0,28253,84183,84183,142.0,122834,123525,4.27,28253.0,,0.0,,227262,688836,2013年01月01日至2013年12月31日,0.0,1130253,1253087,1110310,1161631,1436049,-78534,13708821,16605620,2896799,2896799,1460750,33464,,-833.0,4.13,738450,1130253,1357515,190970,16605620,19943,91456
2014-05-13,1,2014,,,0.0,,-4068,32770,32770,,193569,193569,0.86,-4068.0,,,,47048,168359,2014年01月01日至2014年03月31日,,223263,416832,223587,411952,297970,-27659,3655638,4331202,675564,675564,377594,14123,,,0.83,195112,223263,270311,56361,4331202,-324,4880
2014-08-12,2,2014,,,0.0,11015.0,7228,61210,61210,,-205636,-216651,1.18,7228.0,,,,98957,189353,2014年第2季,,326283,120647,306086,120628,417943,7297,4000143,4849561,849418,849418,431475,15237,,,1.14,226885,326283,425240,61141,4849561,20197,19
2014-11-11,3,2014,,,0.0,-621.0,101529,-7290,-7290,,105620,106241,1.62,101529.0,,,,80536,199710,2014年第3季,,420705,526325,420125,506668,469645,31596,3892813,4797940,905127,905127,435482,16511,,,1.57,219261,420705,501241,62643,4797940,580,19657
2015-03-31,4,2014,,,0.0,6769.0,134595,102292,102292,611.0,415743,411954,3.72,134595.0,,0.0,,205900,719613,2014年度,0.0,935284,1351027,966212,1328095,1149533,-8349,14425540,17226474,2800934,2800934,1651401,63281,,-3591.0,3.62,868507,935284,1141184,245236,17226474,-30928,22932
2015-05-08,1,2015,,,0.0,1064.0,37262,15367,15367,,-289702,-290766,0.97,37262.0,,,-289702.0,60209,177464,2015年01月01日至2015年03月31日,,259212,-30490,253021,-17620,330328,-10907,3399291,4153767,754476,754476,424148,15803,,,0.97,230881,259212,319421,63536,4153767,6191,-12870
2015-08-11,2,2015,,,,-1155.0,-5912,18921,18921,,-295075,-293920,1.4,-5912.0,,,-295075.0,87455,204263,2015年第2季,,433792,138717,412152,133386,567117,-45870,3913813,4995852,1082039,1082039,514922,18212,,,1.37,292447,433792,521247,58879,4995852,21640,5331
2015-11-12,3,2015,,,0.0,-3820.0,-104633,28556,28556,,-263834,-260014,0.74,-104633.0,,,-263834.0,48489,201851,2015年第3季,,177041,-86793,228624,9406,359075,-133545,3597584,4411398,813814,813814,454739,15518,,,0.73,237370,177041,225530,57468,4411398,-51583,-96199
2016-03-29,4,2015,69.0,-339.0,,-7042.0,-85678,90381,90381,,-869561,-862180,3.26,-85678.0,,0.0,-869222.0,144942,739555,2015年度,0.0,886141,16580,948965,210024,1264115,-233032,13512705,16578377,3065672,3065672,1801557,63577,-408.0,,3.2,998425,886141,1031083,237735,16578377,-62824,-193444
2016-05-12,1,2016,,,0.0,643.0,34845,-9604,-9604,,-12117,-12760,0.71,34845.0,,,-12117.0,56885,165985,2016年01月01日至2016年03月31日,,208802,196685,208319,195244,298936,-33249,3183942,3876679,692737,692737,393801,16358,,,0.7,211458,208802,265687,58490,3876679,483,1441
2016-08-10,2,2016,,,,-828.0,-31798,67165,67165,,-271896,-271068,1.6,-31798.0,,,-271896.0,114123,225266,2016年第2季,,491139,219243,469675,251903,628882,-23620,3638755,4730969,1092214,1092214,463332,15421,,,1.57,222645,491139,605262,58987,4730969,21464,-32660
2016-11-11,3,2016,,,,-1542.0,-76420,30452,30452,,-369563,-368021,1.39,,76420.0,,-369563.0,110086,224079,2016年第3季,,407390,37827,407465,91735,619689,-102213,3582677,4644646,1061969,1061969,442280,15418,,,1.39,202783,407390,517476,56245,4644646,-75,-53908
