date,season,year,不重分類至損益之項目總額,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額
2013-08-14,2,2013,,-42728,-0.40,338593,31466,6712,312231,14768,-0.45,-0.05,,10929,-559,254,,50419,2013年01月01日至2013年06月30日,-48676,263555,-48676,263555,-19896,24877,798085,905527,107442,107442,127338,15460,,0,,,61459,-5948,4981,40571,,13555
2014-03-31,4,2013,,-82353,-3.15,449785,56692,33063,414544,19086,1.64,4.79,,11011,-897,162,,104055,2013年01月01日至2013年12月31日,42871,457415,42871,457415,65592,70643,2145334,2468753,323419,323419,257827,30770,,583,,,123002,125224,136235,54013,,19274
2015-03-09,4,2014,,117020,,-73147,-2342,68174,-51763,13063,5.38,3.43,,6909,-328,-390,,180546,2014年度,323079,271316,323079,271316,153110,59858,4048224,4602925,554701,554701,401591,48337,,-129,5.35,3.42,172708,206059,212968,-8778,,5584
2015-05-13,1,2015,,0,,42964,-15769,10220,32231,-5515,1.31,1.31,32231,-4079,,-176,-62,44790,2015年01月01日至2015年03月31日,78466,110697,78466,110697,82139,-7752,819874,1002340,182466,182466,100327,12004,,,1.31,1.31,43533,78466,74387,,5156,2027
2015-08-12,2,2015,,0,,-177223,6502,9055,-164402,-8323,1.71,1.71,-164402,26198,,3,-123,43146,2015年第2季,102668,-61734,102668,-61734,114985,13881,955171,1164596,209425,209425,94440,10172,,,1.70,1.70,41122,102668,128866,,-21267,1679
2015-11-12,3,2015,,0,,-110094,23280,21358,-71181,25382,2.51,2.51,-71181,10142,,0,319,49530,2015年第3季,165164,93983,165164,93983,132217,43089,1155404,1410932,255528,255528,123311,13769,,,2.49,2.49,60012,165164,175306,,-13212,1549
2016-02-25,4,2015,72,0,,-222104,3234,48457,-199728,-6431,8.11,8.11,-199800,43884,,-173,2083,192183,2015年度,515030,315302,515030,315302,514059,44855,4464762,5409181,944419,944419,430360,54259,72,,8.02,8.02,183918,515030,558914,,-26652,6663
2016-05-12,1,2016,,,,12659,-31720,27036,-4519,-15659,1.12,1.12,-4519,12172,,0,0,54598,2016年01月01日至2016年03月31日,76252,71733,76252,71733,93874,-5450,2146453,2342996,196543,196543,102669,9997,,,1.12,1.12,38074,76252,88424,,1519,766
2016-08-10,2,2016,,,,-30688,24158,9421,-53441,-26436,2.05,2.05,-53441,51513,,0,0,59087,2016年第2季,139299,85858,139299,85858,158342,32470,1131786,1401250,269464,269464,111122,12445,,,2.03,2.03,39590,139299,190812,,-3683,1109
