date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業成本,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估價之利益（損失）,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,10551,83040,-45924,55169,28284,17487,297220,,317370,26885,7246,11187,0.35,0.35,51450.0,0.0,,,73707,,183563.0,404354,,322217,2013年01月01日至2013年03月31日,18389.0,498057,815427,480891,752179,,165411,406353,8644798,10062683,1417885,1399496,1234085,37710.0,,343965,,,,,567903,498057,571764,,-1870.0,,,172503.0,7246,85680.0,,,8627311,9765463,17166,63248
2013-08-08,2,2013,,7413,929200,66310,60499,31092,53434,315919,,1088054,29407,9540,5202,0.58,0.58,83567.0,0.0,,,88093,,144526.0,385879,,362812,2013年04月01日至2013年06月30日,-6802.0,828301,1916355,789921,1857329,,413246,503148,7124904,8556179,1431275,1438077,1024831,10996.0,,398881,,,,,263138,828301,916394,,1870.0,,0.0,17984.0,9540,8140.0,0.0,,7071470,8240260,38380,59026
2013-11-12,3,2013,,98532,43054,-61461,86176,51130,21691,300385,,40860,35046,7337,-1328,0.37,0.37,0.0,30282.0,,,69686,,-866.0,184916,,342186,2013年07月01日至2013年09月30日,-13206.0,573638,614498,499385,554527,,441030,202294,6717911,8174956,1457045,1470251,1029221,0.0,,459736,,,,,227299,573638,643324,,,,23139.0,,7337,44214.0,0.0,,6696220,7874571,74253,59971
2014-03-24,4,2013,,36909,1023953,45768,307127,180568,937470,1338835,-25524.0,1916382,126559,28024,88358,1.86,1.86,154866.0,0.0,27927.0,,314926,,632893.0,1360568,,596377,2013年01月01日至2013年12月31日,,2751022,4667404,2531878,4368486,139490.0,1380509,1685439,30385269,35539825,5154556,5182483,3801974,48706.0,,1830214,,,,,1375383,2751022,3065948,,,,140970.0,,28024,,73669.0,147996.0,29447799,34200990,219144,298918
2014-05-12,1,2014,,5461,5127,91509,54798,14695,18014,392377,,21457,40103,9343,659,0.61,0.61,11506.0,,,,170456,,17719.0,258655,,455072,2014年01月01日至2014年03月31日,32585.0,894715,916172,835512,862303,,669552,395619,8244300,10097704,1853404,1820819,1151267,-2467.0,,442277,,,,,253918,894715,1065171,,-419.0,,38002.0,0.0,9343,47462.0,0.0,,8226286,9705327,59203,53869
2014-08-08,2,2014,,11096,28843,-87343,62959,25604,18924,317343,,-111721,37355,6858,-589,0.52,0.52,0.0,38466.0,,,105343,,-142023.0,170402,,415253,2014年第2季,4230.0,780972,669251,698576,610167,71438.0,747155,139160,8017377,9874605,1857228,1852998,1105843,2467.0,,390852,,,,,299738,780972,886315,,419.0,,24073.0,,6858,9584.0,0.0,,7998453,9557262,82396,59084
2014-11-10,3,2014,,10459,107010,-2335,89258,50331,21794,171476,,236958,38927,6246,530,0.49,0.49,51749.0,0.0,,,95850,,139689.0,194754,,244094,2014年第3季,-25478.0,718638,955596,669186,871561,0.0,539057,275431,6987895,8506538,1518643,1544121,1005064,-12375.0,,477883,,,0.48,0.48,283087,718638,814488,,-2104.0,,16384.0,0.0,6246,0.0,60009.0,,6966101,8335062,49452,84035
2015-03-24,4,2014,,19190,248114,550,312083,157658,782315,1184080,,732318,154425,21313,66064,1.88,1.88,107254.0,,8606.0,,418187,,438725.0,978415,,760460,2014年度,,2821712,3554030,2558290,3223882,129130.0,1970164,1269735,29897969,35951427,6053458,6062064,4091900,0.0,,2131257,,-24801.0,1.88,1.88,1200183,2821712,3239899,,-4216.0,,76151.0,,21313,,34535.0,,29115654,34767347,263422,330148
2015-05-11,1,2015,,5391,-18445,10215,60335,10674,58903,508275,,-138917,49661,5700,-2191,0.73,0.73,0.0,19857.0,,-138917.0,152371,,,242105,-118281.0,488878,2015年01月01日至2015年03月31日,38268.0,1064028,925111,988640,869037,,909444,306955,8718523,10881082,2162559,2124291,1214847,,0.0,436980,,,0.72,0.72,288989,1064028,1216399,,,0.0,13286.0,,5700,22177.0,,,8659620,10372807,75388,56074
2015-08-10,2,2015,,4317,-11417,15684,79954,22518,44083,293975,,-160801,57436,10305,-8873,0.68,0.68,,26602.0,,-160801.0,161822,,,292212,-140511.0,368668,2015年第2季,-11369.0,1008968,848167,932601,795473,1677.0,793245,377545,7341143,9183695,1842552,1853921,1060676,,0.0,447440,,,0.68,0.68,244568,1008968,1170790,,,0.0,23113.0,,10305,25167.0,,,7297060,8889720,76367,52694
2015-11-09,3,2015,,4144,-54513,119774,121107,53800,37948,256152,,227273,67307,2944,19850,0.51,0.51,131714.0,,,227273.0,77255,,,230493,262436.0,269297,2015年第3季,11515.0,769486,996759,700090,851144,441.0,378311,468430,6817641,8427276,1609635,1598120,1219809,,-500.0,650100,,,0.51,0.51,300412,769486,846741,,,0.0,5713.0,,2944,0.0,13068.0,,6779693,8171124,69396,145615
2016-03-28,4,2015,-189846.0,24197,-53552,83251,362299,135942,890427,1357945,,-544138,226357,17465,-46057,2.32,2.32,0.0,12783.0,9914.0,-354292.0,386541,-102959.0,,1247729,-256085.0,948827,2015年度,,3504688,2960550,3166104,2667467,36590.0,2215415,1675814,30181234,36884447,6703213,6713127,4497712,,1689.0,2444982,-104683.0,,2.32,2.32,1103903,3504688,3891229,-17796.0,,287.0,93584.0,,17465,63237.0,0.0,,29290807,35526502,338584,293083
2016-05-13,1,2016,-20.0,3588,2972,-8131,70138,13255,68767,378084,,-85370,56883,3239,-3874,0.77,0.77,,32461.0,,-85350.0,151164,-20.0,,380939,-83835.0,402325,2016年01月01日至2016年03月31日,13267.0,1163090,1077720,1045130,969576,,874547,439707,8790934,10838415,2047481,2034214,1159667,,-739.0,479510,,,0.77,0.77,277832,1163090,1314254,,,-126.0,28231.0,,3239,0.0,313.0,,8722167,10460331,117960,108144
2016-08-04,2,2016,-223.0,11474,2761,-67019,82208,31639,47342,401517,,-184309,50569,3059,-15921,0.7,0.7,,62727.0,0.0,-184086.0,128066,-223.0,,389086,-169730.0,395847,2016年第2季,4775.0,1056258,871949,960949,824939,4331.0,783108,401216,8625412,10686672,2061260,2056485,1273377,,-1441.0,600038,,,0.7,0.7,277492,1056258,1184324,,,-245.0,11170.0,,3059,343.0,,,8578070,10285155,95309,47010
2016-11-07,3,2016,756.0,783,-47360,-116218,112295,52193,55679,373001,,-280860,60102,2822,-20808,0.62,0.62,0.0,110799.0,7913.0,-281616.0,91736,756.0,,331645,-213855.0,371987,2016年第3季,0.0,921505,640645,846255,625312,3157.0,688341,324900,8043103,10035156,1992053,1999966,1311625,,491.0,665741,,,0.62,0.62,273897,921505,1013241,,,84.0,30.0,,2822,0.0,1509.0,,7987424,9662155,75250,15333
