date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,重估增值,非控制權益（綜合損益）
2013-05-10,1,2013,,,,,,5299,10494,,,0,6968,8388,0.71,0.71,514,,11133,,,15293,36635,2013年01月01日至2013年03月31日,63,54379,61347,,54379,61347,34426,31086,827937,959797,131860,132311,97885,28158,,,0.71,0.71,33092,54379,65512,,1420.0,,,,0.0
2013-08-08,2,2013,,,0.0,,51.0,-5762,8960,8960.0,-131.0,-131,5047,6021,0.81,0.81,456,,11999,,,14719,32179,2013年04月01日至2013年06月30日,3350,61594,66641,,61594,66641,55676,17917,752471,902413,149942,147048,91241,29323,,,0.81,0.81,29739,61594,73593,,1025.0,,,,
2013-11-08,3,2013,,,,0.0,-58.0,-4638,10063,10063.0,-14.0,-14,-2486,-2927,0.98,0.98,524,,13777,,,12850,30701,2013年07月01日至2013年09月30日,2262,74575,72089,,74575,72089,70077,18275,885049,1054204,169155,167417,97326,36025,,,0.98,0.98,30600,74575,88352,,-499.0,,,,
2014-03-14,4,2013,,,,,,-7774,45195,45195.0,-222.0,-222,-12940,16840,4.02,4.02,2011,,60926,,,59750,140189,2013年01月01日至2013年12月31日,5684,306380,293440,,306380,293440,270135,97171,3526623,4203616,676993,673320,402963,130943,,-32437.0,4.02,4.02,131831,306380,367306,,-2657.0,,,,
2014-05-09,1,2014,,,0.0,,,-2031,11558,,,-143,1575,1892,1.35,1.35,507,,25721,,,9436,47966,2014年01月01日至2014年03月31日,3329,102545,104120,,102545,104120,109303,18963,938770,1170798,232028,229206,119760,34385,,,1.34,1.34,37409,102545,128266,,317.0,,,,
2014-08-07,2,2014,,,,,0.0,-7772,8134,8134.0,-6.0,-6,-5656,-6809,1.21,1.21,521,,16863,,,8109,48301,2014年第2季,333,92395,86739,,92395,86739,100787,8471,1000059,1224457,224398,224586,123793,40567,,,1.21,1.21,34925,92395,109258,,-1153.0,,,,
2014-11-13,3,2014,,,,,0.0,6860,6735,6735.0,0.0,0,5143,6196,1.2,1.2,570,,18695,,,2158,44334,2014年第3季,4478,91275,96418,,91275,96418,94217,15753,1042274,1253677,211403,207495,113278,36484,,,1.2,1.2,32460,91275,109970,,1053.0,,,,
2015-03-20,4,2014,,,,,,5711,33886,33886.0,-561.0,-561,368,17142,4.9,4.9,2198,,79943,,,24538,200757,2014年度,11915,373453,373821,,373453,373821,389261,64135,4061688,4962422,900734,891017,501195,159484,,-16714.0,4.89,4.89,140954,373453,453396,,60.0,,,,
2015-05-02,1,2015,,,,,,-3450,10226,,,0,-8079,-9734,2.24,2.24,2938,-8079.0,33928,,,17357,54210,2015年第1季,695,170396,162317,,170396,162317,180191,24133,1303672,1610395,306723,308966,128775,35720,,,2.23,2.23,38845,170396,204324,,,-1655.0,,,
2015-08-10,2,2015,0.0,0.0,,,10.0,-14847,10271,,-185.0,-185,-2770,-3349,1.22,1.22,4285,-2770.0,18311,0.0,0.0,13972,57667,2015年第2季,361,93127,90357,0.0,93127,90357,102042,9396,1110885,1341047,230162,234086,131859,38145,0.0,,1.22,1.22,36047,93127,111438,0.0,,-569.0,0.0,0.0,
