date,season,year,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,利息費用,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,金融資產減損損失,金融資產重分類淨損益,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,5902,0.0,11788,-1209,5909,3086,,0.0,8578,731,18312,,,-3210,0.17,,-5430,0.0,,20742,0.0,,19483,2013年01月01日至2013年03月31日,0.0,63869,72447,69554,79103,,98223,-13612,1051860,1203671,151811,151811,53588,,,,2092,0.17,,34105,63869,84611,,,,10123,18312,0.0,,0.0,2736.0,1206407.0,1206407.0,1203671.0,0.0,-5685,-6656
2013-08-08,2,2013,,6226,0.0,-17818,-8201,7433,4649,,0.0,-18972,684,17444,,,-1154,0.11,,-1975,0.0,,10901,0.0,,33250,2013年04月01日至2013年06月30日,0.0,42224,23252,46151,27300,,71337,-18212,981797,1121734,139937,139937,68600,,,,2100,0.11,,35350,42224,53125,,,,0,17444,0.0,,0.0,3013.0,1124747.0,1124747.0,1121734.0,0.0,-3927,-4048
2013-11-08,3,2013,,6508,,-211,-5457,6000,3383,,,278,517,16981,,,489,0.14,,3801,,,14486,,,33140,2013年07月01日至2013年09月30日,,53016,53294,55302,55301,,83940,-16438,1040150,1195803,155653,155653,71713,,,,2100,0.14,,38573,53016,67502,,,,-2750,16981,0.0,,,1724.0,,1197527.0,1195803.0,,-2286,-2007
2014-03-25,4,2013,,39556,,-7850,-28701,38627,27598,,,-10140,2662,69349,,,-7152,0.44,,-4792,,,48891,,,122108,2013年01月01日至2013年12月31日,,162817,152677,179445,171043,,271131,-59423,4327188,4869590,542402,542402,271271,,,4862.0,8367,0.44,,149163,162817,211708,,,,15647,69349,0.0,,,9695.0,,4879285.0,4869590.0,,-16628,-18366
2014-05-08,1,2014,,3284,0.0,6210,-5346,4200,1176,,0.0,12131,639,15444,,,5921,0.18,,-2084,0.0,,17869,0.0,,31110,2014年01月01日至2014年03月31日,0.0,68510,80641,73015,82881,,102969,-16590,1052909,1219347,166438,166438,63469,,,,2385,0.18,,32359,68510,86379,,,,22,15444,0.0,,0.0,1630.0,1220977.0,1220977.0,1219347.0,0.0,-4505,-2240
2014-08-12,2,2014,,3035,0.0,-8942,50542,8233,5464,,0.0,-8322,1096,14801,,,620,0.37,,7120,0.0,,26172,0.0,,33370,2014年第2季,0.0,150408,142086,151560,142920,,132606,43974,1077310,1276260,198950,198950,66344,,,,1673,0.37,,32974,150408,176580,,,,46457,14801,0.0,,0.0,1812.0,1278072.0,1278072.0,1276260.0,0.0,-1152,-834
2014-11-07,3,2014,,3298,,-10542,-10389,13256,9673,,,-12941,366,14524,,,-2399,0.2,,-5233,,,19165,,,31355,2014年第3季,,77193,64252,81378,68982,,108015,-11657,1061583,1236683,175100,175100,67085,,,,3217,0.2,,35730,77193,96358,,,,-1858,14524,,,,2450.0,,1239133.0,1236683.0,,-4185,-4730
2015-03-24,4,2014,,13266,,-4101,27305,28540,17530,,,11775,2894,58351,,,1239,0.94,,-4050,,,70993,,,139773,2014年度,,367067,378842,379540,390167,,440566,-2506,4360174,5099198,739024,739024,298458,,,14637.0,8116,0.93,,158685,367067,438060,,,,44621,58351,,,,,,,,,-12473,-11325
2015-05-12,1,2015,,4518,,1353,-3164,3960,912,,,1625,615,12288,0.0,0.0,272,0.39,,373,,1625.0,31941,,0.0,29937,2015年01月01日至2015年03月31日,,155005,156630,156298,157746,3185.0,198438,-11492,1021426,1290902,269476,269476,71038,0.0,,,2433,0.38,,41101,155005,186946,,0.0,0.0,4166,12288,,,,,,,,,-1293,-1116
2015-08-11,2,2015,,12014,,-12250,-9326,9918,1188,,-9647.0,-12436,845,11429,,,-186,0.39,,2564,,-12436.0,53379,,,30563,2015年第2季,,153855,141419,159250,146692,0.0,218071,-10837,1041486,1346059,304573,304573,76855,,,,2432,0.39,,46292,153855,207234,5453.0,,,124,11429,,,,,,,,,-5395,-5273
