date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之現金流量避險中屬有效避險部分之避險工具利益(損失),推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,-2400,151995,9067,9067,7169,5352,38393,9202,40793,0.68,0.68,,26640,,,1446,,,,86393,2013年01月01日至2013年03月31日,100530,138923,108457,146850,-31216,158386,420216,605615,185399,185399,216615,55434,,0.0,0.68,0.68,74788,100530,127170,4122,413047,591061,-7927,-7927
2013-08-09,2,2013,,44696,-6351,9880,9880,3144,6766,65106,14603,20410,0.55,0.55,,26250,,,884,,,,109364,2013年04月01日至2013年06月30日,84137,149243,87815,152921,108927,1460,718187,1100418,382231,382231,273304,65727,,0.0,0.55,0.55,98213,84137,110387,2953,715043,1079049,-3678,-3678
2013-11-01,3,2013,,2551,-16097,15587,15587,8366,5001,-9045,16390,-11596,0.27,0.27,,17729,,,1943,,,,103581,2013年07月01日至2013年09月30日,42274,33229,44287,35242,63236,-3233,590367,888429,298062,298062,234826,73873,,0.0,0.27,0.27,57372,42274,60003,4666,582001,867038,-2013,-2013
2014-03-13,4,2013,,119028,138298,47646,47646,31330,30083,185091,57881,71496,1.8,1.8,,72642,,,5197,,,,387683,2013年01月01日至2013年12月31日,271231,456322,285785,470876,170609,173264,2311124,3437566,1126442,1126442,955833,279141,,-5433.0,1.78,1.78,289009,271231,343873,17877,2279794,3349602,-14554,-14554
2014-04-29,1,2014,,40536,-10575,8066,8066,8294,3374,56144,14276,15608,0.33,0.33,,14363,,,1724,,,,92709,2014年01月01日至2014年03月31日,51479,107623,51898,108042,71831,-5989,554972,854523,299551,299551,227720,63667,,,0.32,0.32,71344,51479,65842,5204,546678,836873,-419,-419
2014-07-31,2,2014,,-39837,4600,9311,9311,11602,5723,-73311,23278,-33474,0.5,0.5,,22631,,,316,,,,129447,2014年第2季,77075,3764,79345,6034,90407,9299,667297,1038841,371544,371544,281137,67687,,,0.5,0.5,84003,77075,99706,4928,655695,1009840,-2270,-2270
2014-10-30,3,2014,,-23724,-1037,38130,38130,8586,4275,9014,20277,32738,0.33,0.33,,13811,,,1750,,,,106869,2014年第3季,42037,51051,52422,61436,22476,33372,574539,853430,278891,278891,256415,79531,,,0.33,0.33,70015,42037,55848,5471,565953,828878,-10385,-10385
2015-03-26,4,2014,,-23012,-1121,87206,87206,38305,19471,58348,67469,83181,1.53,1.53,,54709,584.0,584.0,5512,,,,464206,2014年度,228445,286793,243189,301537,212921,70233,2489948,3740395,1250447,1250447,1037526,272752,,-2405.0,1.52,1.52,300568,228445,283154,21364,2451643,3653455,-14744,-14744
2015-04-29,1,2015,,23963,-15971,13381,13381,5759,5283,1275,12154,-22987,-0.19,-0.19,1275.0,2639,,,1352,299.0,299.0,,109809,2015年01月01日至2015年03月31日,-47129,-45854,-30497,-29222,-37446,-7044,447912,640723,192811,192811,230257,53267,,,-0.19,-0.19,67181,-47129,-44490,5806,442153,623286,-16632,-16632
2015-07-30,2,2015,,-8079,-5606,9988,9988,8689,8735,-23107,12488,-15293,0.32,0.32,-23107.0,19969,,,2857,,265.0,265.0,124925,2015年第2季,35904,12797,51409,28302,55015,858,679385,983086,303701,303701,248686,54289,,,0.32,0.32,69472,35904,55873,6381,670696,961863,-15505,-15505
2015-10-29,3,2015,,-26796,-41811,38856,38856,8334,12299,14008,15047,41368,0.0,0.0,14008.0,13226,,,1631,,-564.0,,122101,2015年第3季,-31739,-17731,221,14229,-12320,-6193,634464,862908,228444,228444,240764,57572,,,0.0,0.0,61091,-31739,-18513,4869,626130,835562,-31960,-31960
2016-03-22,4,2015,-5203.0,52724,-478394,81153,81153,29574,30141,16602,51795,-30919,-3.12,-3.12,21805.0,86867,,,7052,,0.0,,469858,2015年度,-729577,-712975,-495895,-479293,-224114,-418596,2618736,3362717,743981,743981,968095,226002,-5203.0,,-3.12,-3.12,272235,-729577,-642710,28407,2589162,3280781,-233682,-233682
2016-04-25,1,2016,,-23345,-13920,6719,6719,7103,6081,-44171,11507,-20826,0.31,0.31,-44171.0,4499,,,1579,0.0,0.0,0.0,104255,2016年01月01日至2016年03月31日,44004,-167,49294,5123,62301,-13798,614523,904355,289832,289832,227531,54629,,,0.31,0.31,68647,44004,48503,8176,607420,886767,-5290,-5290
2016-08-11,2,2016,,7623,-21851,7162,7162,9141,3333,-29613,16982,-37236,0.3,0.3,-29613.0,-7217,,,1741,,0.0,0.0,102596,2016年第2季,42520,12907,45361,18398,54853,-19550,675017,950964,275947,275947,221094,46604,,,0.3,0.3,71894,42520,35303,6602,665876,930649,-2841,-5491
2016-11-01,3,2016,,81764,-38089,50785,50785,7722,5645,25304,15477,-56460,0.42,0.42,25304.0,2959,,,1708,,0.0,0.0,110978,2016年第3季,61690,86994,63186,90873,55693,8956,629839,931582,301743,301743,246050,63694,,,0.42,0.42,71378,61690,64649,5448,622117,910460,-1496,-3879
