date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,6005,22557,75383,398397,392138,-0.19,-0.19,,2439,254.0,,268424,2013年01月01日至2013年03月31日,-543266,-144869,-524127,-125730,-542336,1509,4161442,4182810,21368,21368,563704,78578,,,-0.19,-0.19,216702,-543266,-540827,,,,96431,-19139,-19139
2013-08-13,2,2013,,2779,1937,28947,-116275,-119388,-0.21,-0.21,,6273,334.0,,312491,2013年04月01日至2013年06月30日,-581292,-697567,-560141,-676416,-518128,-56891,3940242,3978260,38018,38018,556146,85299,,,-0.21,-0.21,158356,-581292,-575019,,,,87775,-21151,-21151
2013-11-13,3,2013,,157,-65476,81062,-118293,-118566,-0.24,-0.24,,6698,116.0,,208551,2013年07月01日至2013年09月30日,-658878,-777171,-640353,-758646,-596306,-55874,3657777,3528573,-129204,-129204,467102,82810,,,-0.24,-0.24,175741,-658878,-652180,,,,71460,-18525,-18525
2014-03-31,4,2013,,26716,-756090,226648,160939,130603,-1.31,-1.31,,226778,920.0,,1035956,2013年01月01日至2013年12月31日,-3663250,-3502311,-3535005,-3399767,-2567748,-868724,16169449,15706084,-463365,-463365,2104383,327467,,3912.0,-1.31,-1.31,740960,-3663250,-3436472,,1212.0,,339282,-128245,-102544
2014-05-13,1,2014,,-13012,9149,24897,138627,152191,-0.19,-0.19,,13049,-552.0,,221712,2014年01月01日至2014年03月31日,-520427,-381800,-517087,-374200,-469679,-37699,3930648,3939122,8474,8474,478153,80078,,,,,176363,-520427,-507378,,,,71745,-3340,-7600
2014-08-14,2,2014,,201,-26880,40311,-157464,-157814,-0.16,-0.16,,15514,149.0,,261559,2014年第2季,-446514,-603978,-439830,-599045,-371858,-59142,3848753,3963074,114321,114321,486179,86543,,,,,138077,-446514,-431000,,,,72573,-6684,-4933
2014-11-12,3,2014,,134455,53589,34749,302588,167354,-0.15,-0.15,,17040,779.0,,263481,2014年第3季,-405449,-102861,-402866,-98666,-403498,15089,3934937,4026430,91493,91493,494991,82593,,,,,148917,-405449,-388409,,,,73249,-2583,-4195
2015-03-27,4,2014,,98551,43486,157572,470429,379919,-0.67,-0.67,,91245,1370.0,,1001258,2014年度,-1729115,-1258686,-1726346,-1247838,-1550585,-87285,15723674,16136590,412916,412916,1963501,333108,,-11300.0,,,629135,-1729115,-1637870,,-1889.0,,288343,-2769,-10848
2015-05-11,1,2015,,6957,13102,21243,-54161,-60809,-0.18,-0.18,-54161.0,14380,,-309.0,238946,2015年01月01日至2015年03月31日,-451909,-506070,-453142,-508580,-405789,-31740,3405804,3490453,84649,84649,490438,81111,,,,,170381,-451909,-437529,,,,66085,1233,2510
2015-08-11,2,2015,,-9070,28399,40976,-177213,-167849,-0.16,-0.16,-177213.0,22543,,-294.0,276931,2015年第2季,-338791,-516004,-338816,-517257,-322639,6391,3283865,3450865,167000,167000,489639,82270,,,,,130438,-338791,-316248,,,,62984,25,1253
2015-11-12,3,2015,0.0,-27910,-55033,46056,169739,196469,-0.26,-0.26,169739.0,36945,,1180.0,221112,2015年第3季,-547864,-378125,-542933,-365185,-441658,-69261,3147143,3154349,7206,7206,448864,74520,0.0,,,,153232,-547864,-510919,,,0.0,60284,-4931,-12940
2016-03-23,4,2015,-77971.0,22639,-924411,162179,-145730,-90865,-1.31,-1.31,-67759.0,150241,,467.0,938658,2015年度,-2857320,-3003050,-2696771,-2836569,-1693268,-1013811,12607296,12788344,181048,181048,1874316,319118,-93772.0,,,,616540,-2857320,-2707079,-15801.0,,,251579,-160549,-166481
2016-05-12,1,2016,,-4371,-39424,43190,-66513,-61787,-0.19,-0.19,-66513.0,14198,,-355.0,197049,2016年01月01日至2016年03月31日,-383204,-449717,-387970,-456413,-317951,-51055,2677383,2799172,121789,121789,439740,87186,,,,,155505,-383204,-369006,,,,54821,4766,6696
2016-08-12,2,2016,,-4432,8973,42098,-19338,-15056,-0.13,-0.13,-19338.0,30292,,150.0,243689,2016年第2季,-254038,-273376,-261319,-279233,-220688,-3058,2786531,3002540,216009,216009,436697,72848,,,,,120160,-254038,-223746,,,,54129,7281,5857
2016-11-10,3,2016,,-7437,-26875,46718,-148995,-141214,-0.22,-0.22,-148995.0,32365,,-344.0,271770,2016年第3季,-417021,-566016,-424978,-569163,-356023,-28633,2669125,2805995,136870,136870,492893,70827,,,,,150296,-417021,-384656,,,,48476,7957,3147
