date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,8376,70087,296070,342847,0.75,,130648,,,9788,,822231.0,2013年01月01日至2013年03月31日,469648,765718,403118,631501,530861,69435,7069433,8665890,1596457,1596457,1065596,243365,,,,469648,600296,,46777.0,,18816,,,,66530,134217
2013-08-12,2,2013,,-5322,163436,24942,25496,1.15,,224522,,,15075,,862558.0,2013年04月01日至2013年06月30日,704806,729748,637615,640319,775158,154170,7835586,9736196,1900610,1900610,1125452,262894,,,,704806,929328,,554.0,,19019,,,,67191,89429
2013-11-11,3,2013,,-32479,151127,-164314,-193451,1.17,,220623,,,25322,,866151.0,2013年07月01日至2013年09月30日,776093,611779,652091,509837,867588,129128,7576502,9586122,2009620,2009620,1142032,275881,,,,776093,996716,,-29137.0,,14842,,,,124002,101942
2014-03-17,4,2013,,-52663,548028,89460,296676,4.12,,769385,,2706.0,60285,,3445061.0,2013年01月01日至2013年12月31日,2623678,2713138,2294038,2361022,2905181,487882,30707869,38148361,7440492,7440492,4535311,1090250,,-171469.0,,2623678,3393063,,38453.0,,67768,38148361.0,38148361.0,38148361.0,329640,352116
2014-05-13,1,2014,,17092,178980,224923,264843,1.18,,253983,,995.0,7416,,894825.0,2014年01月01日至2014年03月31日,735431,960354,655799,855561,801037,188377,8258186,10230203,1972017,1972017,1170980,276155,,,,735431,989414,,40915.0,,15111,,,,79632,104793
2014-08-12,2,2014,,-92606,156780,-210942,-245135,1.06,,596862,,-1516.0,15159,,930183.0,2014年第2季,715123,504181,616032,441687,1246968,65017,9417929,11899200,2481271,2481271,1234303,304120,,,,715123,1311985,,-35709.0,,14316,,,,99091,62494
2014-11-10,3,2014,,-35180,183480,175876,204752,1.51,,355464,,1335.0,19056,,1047303.0,2014年第3季,969975,1145851,873989,1021494,1172555,152884,9850914,12418785,2567871,2567871,1395316,348013,,,,969975,1325439,,30211.0,,14472,,,,95986,124357
2015-03-20,4,2014,,-127462,687242,538736,755146,5.33,,1612530,,3773.0,54281,,3989570.0,2014年度,3442429,3981165,3087151,3543037,4500904,554055,37885211,47653564,9768353,9768353,5267449,1277879,,-105099.0,,3442429,5054959,,115084.0,,60006,47653564.0,47653564.0,47653564.0,355278,438128
2015-05-11,1,2015,,5125,173427,-130898,-152244,1.45,-130898.0,321008,,,-9197,-1086.0,1050111.0,2015年01月01日至2015年03月31日,905693,774795,837941,728423,1074204,152497,9863280,12318017,2454737,2454737,1380533,330422,,,,905693,1226701,,,-22432.0,16858,,,,67752,46372
2015-08-10,2,2015,,-25667,156404,-163720,-193237,1.64,-163720.0,363060,,,22073,-685.0,1128224.0,2015年第2季,1075682,911962,976045,828587,1305664,133078,11062335,13861422,2799087,2799087,1493423,365199,,,,1075682,1438742,,,-30202.0,19732,,,,99637,83375
2015-11-12,3,2015,,120434,168998,605163,718829,2.1,605163.0,455021,,,36655,1451.0,1215247.0,2015年第3季,1385597,1990760,1254104,1816147,1527267,313351,11708111,14848705,3140594,3140594,1613327,398080,,,,1385597,1840618,,,115117.0,12736,,,,131493,174613
2016-03-18,4,2015,-116731.0,19941,709337,95417,262263,7.11,212148.0,1596593,-384.0,,67276,-1490.0,,2015年度,4662109,4757526,4237984,4358593,5522270,736432,44037830,55803777,11765947,11765947,6243677,1597295,-178999.0,,4646382.0,4662109,6258702,-62652.0,,48625.0,60122,55803777.0,55803777.0,55803777.0,424125,398933
2016-05-12,1,2016,,-149724,215027,-278417,-278773,1.53,-278417.0,400510,,,-12109,-460.0,,2016年01月01日至2016年03月31日,1024557,746140,914101,663398,1384175,40892,11010863,14104990,3094127,3094127,1709952,427016,,,1282936.0,1024557,1425067,,,-816.0,12302,,,,110456,82742
2016-08-11,2,2016,,15672,207480,-109284,-108455,2.09,-109284.0,476680,,,6346,-725.0,,2016年第2季,1547923,1438639,1397504,1324332,1809598,215005,11865295,15470283,3604988,3604988,1795390,472935,,,1322455.0,1547923,2024603,,,104.0,14493,,,,150419,114307
2016-11-11,3,2016,,-84327,192116,-509679,-509930,1.74,-509679.0,418449,,,25183,-997.0,,2016年第3季,1304316,794637,1165235,719192,1599334,123431,10741756,14100055,3358299,3358299,1758965,479868,,,1279097.0,1304316,1722765,,,-1248.0,9541,,,,139081,75445
