date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,工程收入淨額,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營建工程成本合計,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分投資利益,財務成本淨額,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,,,-721,-14765,2615,40479,112103,15751,,16686,1.29,,,125948.0,0.0,,37001,2622.0,15466,,163900,2013年01月01日至2013年03月31日,,193088,208839,192758,208509,,107616,125948,227922,2167,3456521,3955705,499184,499184,271262,,,1.27,107362,193088,230089,,2836.0,,,1149,3308426,,3717654.0,3717654,,330,330
2013-08-09,2,2013,,,-17959,6552,35752,27767,104215,-13552,,4891,1.5,,,95131.0,0.0,,56580,348.0,22641,,149774,2013年04月01日至2013年06月30日,,229152,215600,228577,215025,,86539,95131,223205,62527,3508452,4010486,502034,502034,278829,,,1.47,129055,229152,285732,,832.0,,,2418,3394146,,3811140.0,3811140,,575,575
2013-11-01,3,2013,,,-4175,-3266,2316,23377,115721,-9968,,-6825,1.3,,,115240.0,0.0,,42561,-233.0,19192,,152356,2013年07月01日至2013年09月30日,,199686,189718,199389,189421,,106510,115240,225018,17229,3391361,3891828,500467,500467,275449,,,1.29,123093,199686,242247,,-1265.0,,,1013,3261474,,3660867.0,3660867,,297,297
2014-03-21,4,2013,,,12917,-28445,53675,130229,457915,24534,,26131,5.22,,,,0.0,,179490,-182.0,75591,,587856,2013年01月01日至2013年12月31日,,799109,823643,797569,822103,,444174,507046,885945,92654,13591684,15554749,1963065,1963065,1077120,,-11433.0,5.06,489264,799109,978599,,2899.0,,,8167,13017281,,,14589788,,1540,1540
2014-05-02,1,2014,,,8106,-11607,7925,43690,129391,12541,,5152,1.15,,,,,,37506,75.0,24672,,163468,2014年01月01日至2014年03月31日,,178715,191256,178066,190607,,107898,130943,197679,18542,3497753,3993038,495285,495285,297606,,,1.14,134138,178715,216221,,792.0,,,2448,3346165,,,3732704,,649,649
2014-07-31,2,2015,,-4435.0,-3530,2785,27518,37520,135972,-8048,,-5458,1.49,,0.0,,,-8048.0,68752,,53571,-52.0,186559,2015年第2季,,236438,228390,235858,227810,1650.0,226703,254108,225119,80071,3957637,4527498,569861,569861,344742,,,1.48,158183,236438,305190,,,-992.0,,3803,3693414,,,4137418,,580,580
2014-08-08,2,2014,,,5879,4871,16875,38857,138833,-4354,,-12129,1.41,,,,,,53618,-62.0,12410,,163246,2014年第2季,,218948,214594,218808,214454,,219922,248599,240492,32074,4176276,4727715,551439,551439,310947,,,1.4,147701,218948,272566,,-1958.0,,,2082,3917497,,,4340283,,140,140
2014-11-07,3,2014,,,-5377,7617,14419,34445,134131,-1199,,5048,1.55,,,,,,42773,199.0,28075,,165450,2014年第3季,,245323,244124,244489,243290,,278486,297867,240447,47649,4214137,4779113,564976,564976,324529,,,1.54,159079,245323,288096,,1069.0,,,2462,3901206,,,4347115,,834,834
2015-03-12,4,2014,,,4564,4834,45640,156370,560790,6450,,20445,5.44,,,,0.0,,189425,249.0,94299,,678714,2014年度,,861913,868363,859697,866147,,923814,995124,916556,134782,15925100,18092281,2167181,2167181,1250625,,-18171.0,5.4,571911,861913,1051338,,637.0,,,9991,14844916,,,16536367,,2216,2216
2015-04-29,1,2015,,-538.0,5895,-18387,3705,37585,131494,-24018,,-35490,1.38,3683.0,0.0,,,-24018.0,60404,,24399,-25.0,168429,2015年01月01日至2015年03月31日,,217881,193863,217564,193546,22608.0,295776,330242,272107,6178,4327887,4926879,598992,598992,326885,,,1.37,158456,217881,278285,,,-5602.0,,3539,3994526,,,4465143,0.0,317,317
