date,season,year,不動產、廠房及設備減損損失,不重分類至損益之項目總額,什項支出,停業單位損益合計,停業單位淨利（淨損）,停業單位稅後損益,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構淨投資避險,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,壞帳轉回利益,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,無形資產減損損失,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,當期所得稅費用（利益）,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估價之利益（損失）,金融資產重分類淨損益,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-06,1,2013,,,,-1719.0,-0.03,-1719.0,0.0,,,4246,1565,553,0.0,3549,138.0,334.0,0.0,3549,0.25,,135.0,4827.0,0.0,,,3050,0.0,1113,1113,5389,2013年01月01日至2013年03月31日,,,14605,18154,0.0,14605,18154,,,12784,6590,125716,156781,31065,31065,18281,0.0,,,0.0,,0.25,12892,16324,0.28,19374,739.0,0.0,,0.0,,,,,334.0,0.0,581.0,0.0,,,,125716,39.0,,157480.0,156781,660.0,,0.0,0.0
2013-08-14,2,2013,,,,-1076.0,-0.02,,0.0,0.0,0.0,484,757,388,,-2111,204.0,305.0,,-2111,0.19,0.21,165.0,1936.0,0.0,,,2170,,2421,2421,5119,2013年04月01日至2013年06月30日,,,11169,9058,,11169,9058,,,11058,3357,120082,148239,28157,28157,17099,,,,,,,11980,12245,,14415,0.0,0.0,,,,0.0,,,305.0,0.0,1452.0,,,,,120082,702.0,,149161.0,148239,220.0,,0.0,0.0
2013-11-11,3,2013,0.0,,456.0,,0.0,,,0.0,0.0,-3248,1790,621,,-3036,655.0,253.0,,-3036,0.02,0.02,-14.0,0.0,718.0,,,2399,,1105,1105,5057,2013年07月01日至2013年09月30日,,,1887,-1149,,1887,-1149,0.0,,4892,-606,121525,154795,33270,33270,28378,,,,,,,23321,1887,,4286,528.0,0.0,,,,2845.0,,,253.0,771.0,0.0,,,,,121525,428.0,,155303.0,154795,80.0,,0.0,0.0
2014-03-30,4,2013,,,1307.0,0.0,,,1526.0,,,4728,5436,4169,,-8374,,,,-13091,0.69,,,16355.0,,,,11551,,5628,5628,21502,2013年01月01日至2013年12月31日,,,52544,44170,,52544,44170,0.0,,48303,15792,552851,697143,144292,144292,95989,,,,3191.0,,,74487,52544,,64095,1267.0,,,,,9114.0,,,0.0,,1206.0,,0.0,,,552851,,,,697143,,0.0,,
2014-05-14,1,2014,,,726.0,,,,,,,440,1383,1383,,4885,,,,4885,0.18,,,1348.0,,,,3200,,1002,1002,5641,2014年01月01日至2014年03月31日,,,16931,21816,,16931,21816,,,17306,2825,238363,289084,50721,50721,33415,,,,,,,27774,16931,,20131,,,,,,92.0,,,,,90.0,,,,238363.0,238363,,,,289084,,,,
2014-08-13,2,2014,,,1653.0,0.0,,,,0.0,0.0,-9106,2556,2556,,-2675,,,,-2675,0.05,,,-7391.0,,0.0,,651,,2397,2397,5135,2014年第2季,0.0,,4610,1935,,4610,1935,,,9414,-4153,128326,171065,42739,42739,33325,,,,,,,28190,4610,,5261,,0.0,,,,191.0,,,0.0,,-129.0,,0.0,,,128326,688.0,,173089.0,171065,1336.0,0.0,0.0,0.0
2014-11-13,3,2014,,,23.0,,,,,,,7331,1638,1434,,2392,68.0,,,2392,0.12,,,7442.0,,,,1380,,1941,1941,4945,2014年第3季,,,11429,13821,,11429,13821,,,1899,10910,135962,173446,37484,37484,35585,,1380.0,,,,,30640,11429,,12809,136.0,,,,,0.0,,,,,88.0,,,68.0,135962.0,135962,1049.0,174624.0,174624.0,173446,129.0,,,
2015-03-30,4,2014,,,97.0,,,,-935.0,,,19952,6432,2483,,4772,3813.0,3448.0,,8750,0.53,,,19753.0,,,,9354,,6510,6510,20245,2014年度,,,49224,53996,,49224,53996,0.0,,29132,29446,651771,817541,165770,165770,136638,,9354.0,,-3043.0,,,116393,49224,,58578,136.0,,,,,283.0,,,3448.0,579.0,0.0,,,3813.0,651771.0,651771,2689.0,823675.0,823675.0,817541,3445.0,,,
2015-05-12,1,2015,,,668.0,,,,,,,-8092,1550,1550,,-868,,,,-868,-0.04,,,0.0,7694.0,,-868.0,0,,830,830,5149,2015年01月01日至2015年03月31日,,,-3696,-4564,,-3696,-4564,,,2016,-5712,133973,169236,35263,35263,33247,,,,,,,28098,-3696,,-3696,,,,,,16.0,,1401.0,,1687.0,0.0,,,,133973.0,133973,,,,169236,,,,
2015-08-11,2,2015,,,513.0,0.0,,,,0.0,0.0,-3466,3613,2985,,-2900,628.0,756.0,,-2900,-0.05,-0.05,,,4414.0,0.0,-2900.0,1004,,1915,1915,5284,2015年第2季,0.0,,-3456,-6356,,-5097,-7997,,,-3758,1306,207648,239287,31639,31639,35397,,,,,,,30113,-3456,,-2452,0.0,,0.0,,1221.0,0.0,,0.0,756.0,240.0,,,0.0,628.0,207648.0,207648,813.0,240164.0,240164.0,239287,64.0,0.0,1641.0,1641.0
2015-11-06,3,2015,,,1113.0,,,,,,,-6724,2616,1673,,28934,265.0,,,28934,-0.19,,,-5036.0,,,28934.0,3633,,1028,1028,11896,2015年第3季,,3633.0,-23191,5743,,-17604,7016,,,-16478,-3080,158699,185649,26950,26950,43428,,,,,,,31532,-23191,,-19558,678.0,,,,-260.0,,,0.0,,-315.0,,,,265.0,158699.0,158699,619.0,186312.0,186312.0,185649,44.0,,-5587.0,-1273.0
2016-03-30,4,2015,,-3883.0,829.0,,,,734.0,,,-26590,11733,3849,,19687,2954.0,4106.0,,22836,-0.44,,,-27818.0,,,23570.0,8143,,5435,5435,35293,2015年度,,8143.0,-51281,-31594,,-41239,-22346,0.0,,-29610,-13528,637829,760659,122830,122830,152440,,,-3883.0,,4027.0,,117147,-51281,,-43138,903.0,,,,,-991.0,,254.0,4106.0,1320.0,0.0,,,2954.0,637829.0,637829,2505.0,763450.0,763450.0,760659,286.0,,-10042.0,-9248.0
2016-05-12,1,2016,,,1302.0,,,,,,,-3864,3235,3235,,-9491,,,,-9491,-0.01,,,,2031.0,,-9491.0,583,,657,657,4005,2016年01月01日至2016年03月31日,,,-3911,-13402,,-828,-7813,,,-3356,28,113710,141850,28140,28140,31496,,,,,,,27491,-3911,,-3328,,,,,,66.0,,0.0,,-465.0,0.0,,,,113710.0,113710,,,,141850,,,-3083.0,-5589.0
