date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,停工損失,其他利息收入,其他利益及損失淨額,其他收入合計,其他收入－其他,其他減損損失,其他綜合損益（淨額）,利息收入合計,利息費用,可能重分類至損益之其他項目,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,遞延所得稅費用（利益）,金融資產減損損失,銀行存款利息,銷貨成本,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,13340,,,109805,223111,61729,,1108861,161382,216034,,1048470,14.19,14.19,132127.0,,,1292535,63474.0,,63474.0,,,137738,-137738,,,,287697,2013年01月01日至2013年03月31日,,4769579,5878440,4642256,5729515,,6082970,-20856,40655134,49433013,8777879,8777879,2694909,1104656.0,1187739,,,13.18,13.18,1219473,4769579,6062114,,3083.0,,,216034,,8982.0,187879,,161382,40655134,40655134,49433013.0,127323,148925
2013-08-12,2,2013,,,73203,,,-104818,793353,624415,,226558,168938,230495,,218529,9.59,9.59,0.0,14813.0,,-340070,3703.0,,3703.0,,,130767,-130767,,,,234164,2013年04月01日至2013年06月30日,,3224174,3450732,3140313,3360836,,2556831,327273,32821389,38284651,5463262,5463262,2906431,555076.0,1480370,,,9.02,9.02,1191897,3224174,2884104,,-4326.0,,,230495,0.0,16802.0,-895146,,168938,32821389,32821389,38284651.0,83861,89896
2013-11-13,3,2013,,,5799,,,-100360,437831,232112,,-533252,205719,279720,,-507706,3.08,3.08,0.0,95580.0,,-106467,-27642.0,,-27642.0,,,232225,-232225,,,,193186,2013年07月01日至2013年09月30日,,1098347,565095,1013462,487254,,1166354,-174474,25802388,29466587,3664199,3664199,2497845,-215218.0,1399604,,,3.06,3.06,905055,1098347,991880,,-2096.0,,,279720,1019.0,0.0,108751,,205719,25802388,25802388,29466587.0,84885,77841
2014-03-25,4,2013,,,101171,,,-38206,1952481,1132566,,1084711,819915,1078076,,1051780,21.9,21.9,93638.0,,,1289616,37457.0,,37457.0,,,1923186,-1923186,,,,984022,2013年01月01日至2013年12月31日,,7614567,8699278,7188503,8244305,,9991170,-1086987,138136906,159067439,20930533,20930533,10939363,1708589.0,5416368,,1041.0,21.21,21.21,4538973,7614567,8904183,,5567.0,,,1078076,,30673.0,-418973,,819915,138136906,138136906,159067439.0,426064,454973
2014-05-06,1,2014,,,7201,,,-117368,515584,134420,,866657,381164,411375,,851978,0.39,0.39,0.0,122035.0,,-70573,17343.0,,17343.0,,,177827,-177827,,,,197529,2014年01月01日至2014年03月31日,,169322,1035979,128977,980194,,289735,-190986,23949671,26618446,2668775,2668775,2379040,-67166.0,1125079,,,0.39,0.39,1056432,169322,98749,,2664.0,,,411375,11868.0,0.0,-3407,,381164,23949671,23949671,26618446.0,40345,55785
2014-08-07,2,2014,,,9688,,,-123059,992528,634217,,-769675,358311,349055,,-772210,0.98,0.98,0.0,73548.0,,-192672,-7567.0,,-7567.0,,,428424,-428424,,,,216420,2014年第2季,,382715,-386960,322744,-439062,,98053,91990,27965955,30704099,2738144,2738144,2640091,205739.0,1377975,,,0.98,0.98,1045696,382715,190043,,-10102.0,,,349055,,39823.0,-398411,,358311,27965955,27965955,,59971,52102
2014-11-04,3,2014,,,7276,,,37276,380346,93063,,716871,287283,341051,,718173,-0.73,-0.73,126876.0,0.0,,-115658,907.0,,907.0,,,46327,-46327,,,,217217,2014年第3季,,-166847,550024,-240881,463772,,-312749,30244,30445495,32613450,2167955,2167955,2480704,132105.0,1170441,,,-0.73,-0.73,1093046,-166847,-282505,,2209.0,,,341051,0.0,82324.0,-247763,,287283,30445495,30445495,32613450.0,74034,86252
2015-03-03,4,2014,,,43942,,,-231773,2482153,1171212,290693.0,2413884,1310941,1430786,,2406376,0.84,0.84,219361.0,,,8430,9499.0,-261.0,9707.0,53.0,,389068,-389068,,,,902364,2014年度,,566982,2980866,277067,2644637,290693.0,144886,430526,119035186,129516919,10481733,10481733,10336847,516464.0,4982839,,3494.0,0.84,0.84,4451644,566982,575412,,5485.0,,,1430786,,116499.0,-508034,,1310941,119035186,119035186,129516919.0,289915,336229
2015-05-12,1,2015,-513758.0,-513758.0,1221845,,,-1168208,359747,57414,,-446284,302333,330528,,64164,-3.06,-3.06,,6404.0,67474.0,-94857,,,,,,53242,-53242,57.0,1928.0,1871.0,209020,2015年01月01日至2015年03月31日,200257.0,-1007408,-1453692,-1014120,-1453626,,89966,-1192231,27054060,28949360,1895300,1895300,1805334,,306484,,,-3.06,-3.06,1289830,-1007408,-1102265,,,-1382.0,,330528,60041.0,,-295114,,302333,27054060,27054060,28949360.0,6712,-66
2015-08-12,2,2015,-693783,-693783,10084,0,,-5724,602046,375005,,-614448,227041,333022,,80353,-1.77,-1.77,69085,0,79335,-288937,,,,,,52301,-52301,-121,-1018,-897,182597,2015年第2季,131416,-615005,-1229453,-618070,-1221334,,-1114941,210999,23239808,23741148,501340,501340,1616281,,248106,,,-1.77,-1.77,1185578,-615005,-903942,,,0,,333022,,64725,-420353,,227041,23239808,23239808,23741148,3065,-8119
