date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,-2276,593,,-73.0,-73.0,-0.88,1,56732,2013年01月01日至2013年03月31日,-124608,-124681,-55246,-55252,-114350,-10257,242635,241359,-1276,-1276,113074,2765,,,53577,-124608,-124607,,8574,,-69362,-69429
2013-08-13,2,2013,,0.0,-93496,350,3.0,53.0,50.0,-1.89,158,67425,2013年04月01日至2013年06月30日,-207288,-207235,-119521,-119515,-103908,-103222,248492,267909,19417,19417,123325,2939,,,52961,-207288,-207130,,10076,267909.0,-87767,-87720
2013-11-12,3,2013,,0.0,61174,111,,0.0,0.0,-0.06,-67,40410,2013年07月01日至2013年09月30日,-9690,-9690,-3832,-3832,-63103,53346,209307,222453,13146,13146,76249,1385,,,34454,-9690,-9757,0.0,7939,,-5858,-5858
2014-03-25,4,2013,,0.0,5653,11507,,8490.0,-22.0,-2.11,225,181606,2013年01月01日至2013年12月31日,-313218,-304728,-132783,-124426,-296181,-16812,878732,945826,67094,67094,363275,7104,,8509.0,174565,-313218,-312993,-3.0,33972,,-180435,-180302
2014-05-12,1,2014,,,147215,667,,0.0,0.0,0.82,695,19368,2014年01月01日至2014年03月31日,109062,109062,51574,51574,-31079,140836,164583,183394,18811,18811,49890,16,,,30506,109062,109757,,7046,,57488,57488
2014-08-08,2,2014,,,152816,33702,0.0,0.0,0.0,3.47,-62,18429,2014年第2季,144404,144404,218406,218406,-35853,180195,148955,164718,15763,15763,51616,16,,,33171,144404,144342,,6323,164718.0,-74002,-74002
2014-11-12,3,2014,,,17287,1341,,0.0,0.0,-0.07,141,14631,2014年第3季,-18866,-18866,-4265,-4265,-31032,12307,133033,143592,10559,10559,41591,14,,,26946,-18866,-18725,0.0,6321,,-14601,-14601
2015-03-30,4,2014,,,287918,39815,,3751.0,0.0,3.52,753,17239,2014年度,150298,154049,221493,224819,-150711,301762,588409,640046,51637,51637,202348,60,,3751.0,185049,150298,151051,0.0,25971,,-71195,-70770
2015-05-13,1,2015,,,1535,2394,,,,-0.19,0,12273,2015年01月01日至2015年03月31日,-21342,-21342,-12100,-12100,-19162,-2180,76309,94071,17762,17762,36924,14,,,24637,-21342,-21342,,6109,,-9242,-9242
2015-08-12,2,2015,,,-3812,3259,,,,-0.21,0,11110,2015年第2季,-24351,-24351,-13774,-13774,-17672,-6679,88055,109836,21781,21781,39453,15,,,28328,-24351,-24351,,6126,109836.0,-10577,-10577
2015-11-12,3,2015,,,-2538,6568,,,,-0.21,0,14156,2015年第3季,-21440,-21440,-13275,-13275,-19244,-2196,81318,100540,19222,19222,38466,260,,,24050,-21440,-21440,,6226,,-8165,-8165
2016-03-25,4,2015,-239.0,,-8173,105758,,-239.0,,0.47,0,47836,2015年度,-4637,-4876,30210,30092,-77604,72967,319621,394389,74768,74768,152372,769,-239.0,,103767,-4637,-4637,,24618,,-34847,-34968
2016-05-11,1,2016,-2631.0,,317,8337,,-2631.0,,-0.15,0,9341,2016年01月01日至2016年03月31日,-16324,-18955,-10411,-13042,-18899,2575,65988,80574,14586,14586,33485,98,-2631.0,,24046,-16324,-16324,,6079,,-5913,-5913
2016-08-10,2,2016,0.0,,-885,10403,,0.0,,-0.16,0,10328,2016年第2季,-18315,-18315,-11401,-11401,-21775,3460,71741,86344,14603,14603,36378,35,0.0,,26015,-18315,-18315,,6058,86344.0,-6914,-6914
2016-11-09,3,2016,0.0,,-490,2014,,0.0,,-0.15,0,10130,2016年第3季,-16443,-16443,-10863,-10863,-11858,-4585,63361,80149,16788,16788,28646,14,0.0,,18502,-16443,-16443,,6109,,-5580,-5580
