date,season,year,不重分類至損益之項目總額,什項支出,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－其他,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之權益工具投資利益(損失),推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分無形資產利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,重估增值,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,0.0,0.0,15005,,,297031,44387,20237.0,,56708,20804.0,41645,13.79,343503.0,0.0,,163699,,,58.0,58.0,-4320,,,64522,2013年01月01日至2013年03月31日,,1849221,1905929,,1849221,1905929,1675822,337098,2966637,5102761,2136124,2136124,460302,264230,,,3346.0,13.61,131550,1849221,2012920,,-34425.0,0.0,309.0,-73.0,,-12283.0,,,2966637,,,,5102761,,0.0,0.0
2013-08-05,2,2013,,,0.0,-19695,0.0,0.0,176825,42682,,,3605,,23247,15.17,,,,637530,,,53.0,53.0,-16241,,,62243,2013年04月01日至2013年06月30日,,2035401,2039006,,2035401,2039006,2469665,203266,2902189,5857532,2955343,2955343,485678,289642,,,,14.98,133793,2035401,2672931,,,,,,0.0,,,2902189.0,2902189,4802.0,,6012050.0,5857532,149716.0,0.0,0.0
2013-11-11,3,2013,,,,15460,,,-148252,49348,,0.0,-11090,,-26513,17.3,,,,390275,,,-37.0,-37.0,-12729,,,92877,2013年07月01日至2013年09月30日,,2320543,2309453,,2320543,2309453,2822457,-111639,3792368,7170877,3378509,3378509,556052,342744,,,,17.15,120431,2320543,2710818,,,,,,6.0,,,3792368.0,3792368,4252.0,7217226.0,7217226.0,7170877,42097.0,,
2014-03-18,4,2013,,,,22762,0.0,0.0,634924,136243,,,103436,,81731,71.64,,,,1890924,,,109.0,,-51447,,,283310,2013年01月01日至2013年12月31日,,9609791,9713227,,9609791,9713227,10781033,719682,14472392,27433293,12960901,12960901,2179868,1292632,,-1166.0,,70.63,603926,9609791,11500715,,,,,,38.0,,,14472392.0,14472392,38893.0,27797452.0,27797452.0,27433293,325266.0,0.0,0.0
2014-05-08,1,2014,,,0.0,14908,,,270297,61207,,,11866,,-3075,22.36,,,,527700,,,33.0,33.0,-12314,,,53874,2014年01月01日至2014年03月31日,,2999700,3011566,,2999700,3011566,3213108,314292,3044646,6858274,3813628,3813628,600520,397529,,,,22.1,149117,2999700,3527400,,,,,,4898.0,,,,3044646,,,,6858274,,0.0,0.0
2014-07-29,2,2014,,,0.0,2691,0.0,0.0,-225474,70854,,,-42758,,-45486,27.75,,,,1290582,,,37.0,37.0,43218,,,65019,2014年第2季,,3722062,3679304,,3722062,3679304,5123980,-111336,4169956,9975008,5805052,5805052,681072,431276,,,,27.5,184777,3722062,5012644,,,,,,-66.0,,,4169956.0,4169956,22580.0,,10046563.0,9975008,48975.0,0.0,0.0
2014-11-10,3,2014,,,,-6304,,,572721,62966,,0.0,62523,,69132,39.4,,,,750348,,,-305.0,-305.0,-7199,,,100165,2014年第3季,,5285545,5348068,,5285545,5348068,5407393,628500,5743169,12088090,6344921,6344921,937528,582179,,,,39.11,255184,5285545,6035893,,,,,,-12.0,,,5743169.0,5743169,21219.0,12188481.0,12188481.0,12088090,79172.0,,
2015-03-17,4,2014,,,,21575,0.0,0.0,1609187,260411,,,137914,,120563,144.91,,,,3524997,,,-222.0,,31514,,,363127,2014年度,,19438094,19576008,,19438094,19576008,21066834,1896257,21290568,45810263,24519695,24519695,3452861,2103443,,-4002.0,,142.94,986291,19438094,22963091,,,,,,4855.0,,,21290568.0,21290568,104225.0,46166131.0,46166131.0,45810263,251643.0,0.0,0.0
2015-04-27,1,2015,0.0,,0.0,-7332,,,-186531,86574,,,-39047,,-31728,32.86,,,-39047.0,675162,0.0,,,,1272,13.0,,78045,2015年01月01日至2015年03月31日,,4407254,4368207,0.0,4407254,4368207,5181101,-98685,4573522,10567179,5993657,5993657,812556,491313,0.0,,,32.47,243198,4407254,5082416,0.0,,,,,0.0,,0.0,,4573522,,,,10567179,,0.0,0.0
2015-07-30,2,2015,,,0.0,-39606,0.0,0.0,-231499,100541,,,-88165,,-48573,35.96,,,-88165.0,2147546,,,,,-2812,14.0,,93393,2015年第2季,,4824184,4736019,,4824184,4736019,7105500,-133770,5825059,13775771,7950712,7950712,845212,516223,,,,35.62,235596,4824184,6971730,,,,,,0.0,,,5825059.0,5825059,,,,13775771,,0.0,0.0
