date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,倉儲成本,倉儲收入,停業單位損益合計,備供出售金融資產未實現評價損益,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他減損損失,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,可能重分類至損益之其他項目,國外營運機構淨投資避險,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃成本,租賃成本合計,租賃收入合計,租金收入,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估價之利益（損失）,重估增值,金融資產重分類淨損益,銀行存款利息,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,,701.0,5271.0,,,,192,381,2.0,0.0,,,,354.0,33.0,,,,,-0.01,-0.01,6.0,0.0,,,0.0,,,,,,0.0,2013年01月01日至2013年03月31日,,,-1219,-1219,,-1219,-1219,,-1759,540,1045,5867,4822,4822,6581,,,,,,701.0,5271.0,25.0,6581,-1219,-1219,,,,,64.0,33,122.0,,,,,354.0,344.0,344.0,596.0,596.0,596.0,,0.0,0.0
2013-08-09,2,2013,,,,725.0,5342.0,,,,-590,2546,7.0,,0.0,,,637.0,32.0,,,,,-0.01,-0.01,13.0,0.0,,,0.0,,,,,,0.0,2013年04月01日至2013年06月30日,,,-1714,-1714,,-1714,-1714,0.0,-3638,1924,902,5718,4816,4816,8454,,,,,,725.0,5342.0,36.0,8454,-1714,-1714,1866.0,,,,0.0,32,,603.0,,,,637.0,177.0,177.0,376.0,376.0,376.0,,0.0,0.0
2013-11-07,3,2013,,,240.0,793.0,5786.0,,,0.0,-303,2359,1.0,0.0,0.0,,,604.0,33.0,,,,,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,2013年07月01日至2013年09月30日,,,462,462,,462,462,0.0,-1561,2023,857,5960,5103,5103,6664,,,,,,793.0,5786.0,37.0,6664,462,462,1717.0,,,,,33,0.0,63.0,,,,604.0,64.0,64.0,174.0,174.0,174.0,,0.0,0.0
2014-03-20,4,2013,,,,,,0.0,,,-3745,6172,6172.0,,,0.0,0.0,,,,0.0,,0.0,-0.09,-0.09,,,,,,,,0.0,,,0.0,2013年01月01日至2013年12月31日,,,-11247,-11247,0.0,-11247,-11247,,-13543,2296,3598,23939,20341,20341,33884,0.0,,,0.0,,2959.0,22565.0,,33884,-11247,-11247,,,0.0,,,131,,,0.0,,,,,639.0,,,1374.0,,,
2014-05-06,1,2014,,,,,,,,,125,606,606.0,,,,,,,,,,,0.0,,,,,,,,,,,,,2014年01月01日至2014年03月31日,,,3,3,,3,3,,-709,712,798,6399,5601,5601,6310,,,,,740.0,740.0,6219.0,,6310,3,3,,,,,,19,,,,,,,58.0,58.0,180.0,180.0,180.0,,,
2014-08-14,2,2014,,,,,,,,,713,907,907.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,2014年第2季,,,9,9,,9,9,,-1592,1601,751,6378,5627,5627,7219,,,,,,737.0,6299.0,,7219,9,9,,,,,,19,,,,,,,,14.0,,,79.0,,,
2014-10-30,3,2014,,,,,,,,,-273,1381,1381.0,,,,,,,,,,,0.0,,,,,,,,,,,,,2014年第3季,,,973,973,,973,973,,-116,1089,846,6888,6042,6042,6158,,,,,,722.0,6599.0,,6158,973,973,,,,,,19,,,,,,,,124.0,,,289.0,,,
2015-03-10,4,2014,,,,,,0.0,,,2034,3632,,0.0,,,,,,,,,,-0.01,-0.01,,,,,0.0,,,,,,,2014年度,,,-1655,-1655,,-1655,-1655,,-7244,5589,3210,26906,23696,23696,30940,,,,,,2958.0,26192.0,,30940,-1655,-1655,,,,,,77,,,,,,,,252.0,,,714.0,,,
2015-05-07,1,2015,,,,,,,,,-1029,737,,,,,,,,,,,,0.01,,,,,,,,,,,,,2015年01月01日至2015年03月31日,,,723,723,,723,723,,1034,-311,805,7118,6313,6313,5279,,,,,,,,,5279,723,723,,,,,,19,,,,,,,,,,,,,,
2015-08-14,2,2015,,,,,,,,,-1415,1573,1573.0,0.0,,,,,,,,,,-0.01,,,,,,,,,,,,,2015年第2季,,,-685,-685,,-685,-685,,-822,137,762,7460,6698,6698,7520,,,,,,720.0,7298.0,,7520,-685,-685,,,,,,21,,,,,,,,42.0,,,162.0,,,
2015-11-05,3,2015,,,,,,,,,-10194,12289,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,2015年第3季,,,594,594,,594,594,,-1481,2075,808,7456,6648,6648,8129,,,,,,705.0,7230.0,,8129,594,594,,,,,,20,,,,,,,,103.0,,,226.0,,0.0,
2016-03-15,4,2015,0.0,0.0,,,,,0.0,0.0,-13414,15636,15636.0,,,,0.0,,,0.0,,0.0,0.0,-0.03,,,,,0.0,39.0,0.0,0.0,,,0.0,,2015年度,,,-3617,-3617,0.0,-3617,-3617,,-5720,2142,3459,29947,26488,26488,32208,,0.0,0.0,,,2937.0,29064.0,,32208,-3617,-3578,,0.0,,0.0,,80,,,,0.0,,,,522.0,,,883.0,,0.0,0.0
2016-05-09,1,2016,0.0,0.0,,,,,0.0,0.0,-3346,876,876.0,,,,0.0,,,0.0,,0.0,0.0,-0.05,-0.05,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,2016年01月01日至2016年03月31日,,0.0,-6163,-6163,0.0,-6163,-6163,,-3680,-2483,655,5513,4858,4858,8538,,0.0,0.0,,,570.0,5202.0,,8538,-6163,-6163,,0.0,,0.0,,13,,,,0.0,0.0,,,85.0,,,311.0,0.0,0.0,0.0
2016-08-04,2,2016,0.0,0.0,,,,,0.0,0.0,-2336,3254,3254.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2016年第2季,0.0,0.0,-377,-377,0.0,-377,-377,,-1277,900,627,7393,6766,6766,8043,,0.0,0.0,,,569.0,7142.0,,8043,-377,-377,,0.0,,0.0,,18,,,,0.0,0.0,,,58.0,,,251.0,0.0,0.0,0.0
2016-11-02,3,2016,0.0,0.0,,,,,0.0,0.0,-742,1234,1234.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,2016年第3季,,,29,29,0.0,29,29,,-447,476,713,8247,7534,7534,7981,,0.0,0.0,,,633.0,8000.0,,7981,29,29,,0.0,,0.0,,16,,,,0.0,,,,80.0,,,247.0,,0.0,0.0
